,"(mm) Precipitation (CHIRPS) at Batticaloa, 2007-01-01 to 2025-12-31"
"2010-04-24",4.2304
"2010-04-25",0
"2010-04-26",6.5818
"2010-04-27",1.9291
"2010-04-28",0
"2010-04-29",3.8582
"2010-04-30",9.6304
"2010-05-01",0.863
"2010-05-02",3.2526
"2010-05-03",2.9428
"2010-05-04",0.5261
"2010-05-05",0.6344
"2010-05-06",1.7253
"2010-05-07",0.2119
"2010-05-08",1.8789
"2010-05-09",1.8774
"2010-05-10",0.0091
"2010-05-11",0
"2010-05-12",0
"2010-05-13",0
"2010-05-14",0.9752
"2010-05-15",0.4673
"2010-05-16",1.6063
"2010-05-17",1.6881
"2010-05-18",0.9246
"2010-05-19",0.4502
"2010-05-20",0.0947
"2010-05-21",0.5043
"2010-05-22",0.8118
"2010-05-23",0.3422
"2010-05-24",0.5515
"2010-05-25",0
"2010-05-26",0
"2010-05-27",0
"2010-05-28",0
"2010-05-29",0
"2010-05-30",0
"2010-05-31",0.0472
"2010-06-01",0
"2010-06-02",0
"2010-06-03",0
"2010-06-04",0
"2010-06-05",1.1247
"2010-06-06",0.4868
"2010-06-07",0.428
"2010-06-08",2.3201
"2010-06-09",0.1299
"2010-06-10",0.3784
"2010-06-11",1.7244
"2010-06-12",0
"2010-06-13",0
"2010-06-14",0
"2010-06-15",0.103
"2010-06-16",0.709
"2010-06-17",0.3759
"2010-06-18",0.3379
"2010-06-19",0.0619
"2010-06-20",0.3944
"2010-06-21",0.2263
"2010-06-22",0.127
"2010-06-23",0.0023
"2010-06-24",0.0988
"2010-06-25",0
"2010-06-26",0
"2010-06-27",0
"2010-06-28",0.2615
"2010-06-29",0.112
"2010-06-30",0
"2010-07-01",0
"2010-07-02",0
"2010-07-03",0
"2010-07-04",0
"2010-07-05",3.791
"2010-07-06",9.0156
"2010-07-07",0.8887
"2010-07-08",0
"2010-07-09",0
"2010-07-10",0.0975
"2010-07-11",5.0145
"2010-07-12",0
"2010-07-13",0
"2010-07-14",0.0141
"2010-07-15",1.2425
"2010-07-16",0.5276
"2010-07-17",3.9062
"2010-07-18",2.7841
"2010-07-19",4.1936
"2010-07-20",5.7501
"2010-07-21",0.5708
"2010-07-22",2.2642
"2010-07-23",2.2139
"2010-07-24",0
"2010-07-25",0
"2010-07-26",0.1764
"2010-07-27",1.6308
"2010-07-28",1.5041
"2010-07-29",1.8174
"2010-07-30",3.3973
"2010-07-31",0
"2010-08-01",0
"2010-08-02",3.9723
"2010-08-03",2.5068
"2010-08-04",0.8347
"2010-08-05",0
"2010-08-06",0
"2010-08-07",0.1508
"2010-08-08",0
"2010-08-09",0.2757
"2010-08-10",0.2498
"2010-08-11",0.1727
"2010-08-12",6.1678
"2010-08-13",1.1847
"2010-08-14",9.94
"2010-08-15",6.1508
"2010-08-16",0.2103
"2010-08-17",0
"2010-08-18",0.3017
"2010-08-19",17.1257
"2010-08-20",16.9149
"2010-08-21",7.9676
"2010-08-22",0.2037
"2010-08-23",0.3899
"2010-08-24",14.7179
"2010-08-25",0.9634
"2010-08-26",6.3168
"2010-08-27",0.9752
"2010-08-28",0
"2010-08-29",15.2637
"2010-08-30",0.5858
"2010-08-31",0
"2010-09-01",0
"2010-09-02",0.4005
"2010-09-03",7.5919
"2010-09-04",0
"2010-09-05",0
"2010-09-06",0
"2010-09-07",0
"2010-09-08",1.016
"2010-09-09",2.8169
"2010-09-10",11.6609
"2010-09-11",4.0135
"2010-09-12",2.7459
"2010-09-13",7.5477
"2010-09-14",7.0689
"2010-09-15",0
"2010-09-16",0
"2010-09-17",0
"2010-09-18",0
"2010-09-19",4.1079
"2010-09-20",6.2585
"2010-09-21",2.4882
"2010-09-22",11.6979
"2010-09-23",2.1924
"2010-09-24",3.4922
"2010-09-25",4.5166
"2010-09-26",13.9116
"2010-09-27",5.747
"2010-09-28",16.4686
"2010-09-29",20.4287
"2010-09-30",7.8643
"2010-10-01",2.5533
"2010-10-02",19.1439
"2010-10-03",9.8427
"2010-10-04",0
"2010-10-05",4.8325
"2010-10-06",0
"2010-10-07",0.4359
"2010-10-08",0
"2010-10-09",0
"2010-10-10",23.4833
"2010-10-11",0.1207
"2010-10-12",3.8483
"2010-10-13",0
"2010-10-14",0
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",0.0287
"2010-10-19",3.9951
"2010-10-20",0.7973
"2010-10-21",1.4963
"2010-10-22",0
"2010-10-23",0
"2010-10-24",0
"2010-10-25",0.0096
"2010-10-26",2.4442
"2010-10-27",17.7613
"2010-10-28",20.6862
"2010-10-29",2.3044
"2010-10-30",5.1265
"2010-10-31",3.896
"2010-11-01",15.2232
"2010-11-02",8.1207
"2010-11-03",0
"2010-11-04",13.311
"2010-11-05",24.168
"2010-11-06",45.773
"2010-11-07",10.2085
"2010-11-08",0
"2010-11-09",1.8237
"2010-11-10",0.8314
"2010-11-11",0.9484
"2010-11-12",0
"2010-11-13",0
"2010-11-14",0
"2010-11-15",0
"2010-11-16",0
"2010-11-17",0.7708
"2010-11-18",0.8041
"2010-11-19",43.485
"2010-11-20",35.577
"2010-11-21",1.7001
"2010-11-22",25.1712
"2010-11-23",19.0135
"2010-11-24",39.0403
"2010-11-25",22.7407
"2010-11-26",11.5828
"2010-11-27",12.8609
"2010-11-28",5.8998
"2010-11-29",10.3779
"2010-11-30",49.5416
"2010-12-01",47.939
"2010-12-02",40.507
"2010-12-03",86.4845
"2010-12-04",26.6449
"2010-12-05",29.7245
"2010-12-06",2.3438
"2010-12-07",14.3195
"2010-12-08",4.4082
"2010-12-09",3.5194
"2010-12-10",0
"2010-12-11",0
"2010-12-12",2.5742
"2010-12-13",0
"2010-12-14",0
"2010-12-15",0
"2010-12-16",0
"2010-12-17",0
"2010-12-18",0.0936
"2010-12-19",0.2162
"2010-12-20",26.7737
"2010-12-21",20.4465
"2010-12-22",72.8399
"2010-12-23",55.7835
"2010-12-24",52.2539
"2010-12-25",85.4023
"2010-12-26",17.0158
"2010-12-27",13.1955
"2010-12-28",27.159
"2010-12-29",27.0154
"2010-12-30",25.9086
"2010-12-31",14.8672
"2011-01-01",15.8452
"2011-01-02",34.3282
"2011-01-03",43.0216
"2011-01-04",43.318
"2011-01-05",15.6678
"2011-01-06",29.7149
"2011-01-07",40.3669
"2011-01-08",40.2015
"2011-01-09",89.1567
"2011-01-10",77.2069
"2011-01-11",80.6913
"2011-01-12",79.3912
"2011-01-13",0.4569
"2011-01-14",3.1982
"2011-01-15",1.3456
"2011-01-16",1.6538
"2011-01-17",0
"2011-01-18",0
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",0
"2011-01-26",73.4364
"2011-01-27",4.6804
"2011-01-28",49.8109
"2011-01-29",13.9935
"2011-01-30",1.291
"2011-01-31",4.7525
"2011-02-01",59.4463
"2011-02-02",57.7979
"2011-02-03",58.8968
"2011-02-04",46.7226
"2011-02-05",23.887
"2011-02-06",54.845
"2011-02-07",58.9079
"2011-02-08",27.9221
"2011-02-09",8.1334
"2011-02-10",12.1846
"2011-02-11",0
"2011-02-12",0.724
"2011-02-13",0
"2011-02-14",1.5902
"2011-02-15",0.0464
"2011-02-16",0
"2011-02-17",0
"2011-02-18",0
"2011-02-19",0
"2011-02-20",0
"2011-02-21",0.7727
"2011-02-22",0
"2011-02-23",0
"2011-02-24",0
"2011-02-25",1.9826
"2011-02-26",9.1843
"2011-02-27",23.7335
"2011-02-28",1.7258
"2011-03-01",14.6672
"2011-03-02",0.6048
"2011-03-03",10.556
"2011-03-04",0
"2011-03-05",0
"2011-03-06",0
"2011-03-07",0
"2011-03-08",0
"2011-03-09",0
"2011-03-10",0
"2011-03-11",0
"2011-03-12",0.591
"2011-03-13",0.3892
"2011-03-14",0.0507
"2011-03-15",0.3917
"2011-03-16",0
"2011-03-17",0
"2011-03-18",0
"2011-03-19",0
"2011-03-20",0
"2011-03-21",0
"2011-03-22",0.2349
"2011-03-23",0
"2011-03-24",5.8464
"2011-03-25",5.2009
"2011-03-26",0.0851
"2011-03-27",0
"2011-03-28",0
"2011-03-29",0
"2011-03-30",0.2918
"2011-03-31",0
"2011-04-01",0
"2011-04-02",0
"2011-04-03",0
"2011-04-04",0
"2011-04-05",0
"2011-04-06",0
"2011-04-07",0
"2011-04-08",1.5667
"2011-04-09",0.7728
"2011-04-10",0
"2011-04-11",6.6235
"2011-04-12",5.3253
"2011-04-13",0.0051
"2011-04-14",5.1272
"2011-04-15",0.7702
"2011-04-16",4.3179
"2011-04-17",8.2143
"2011-04-18",6.0376
"2011-04-19",8.6295
"2011-04-20",6.4955
"2011-04-21",9.8603
"2011-04-22",10.433
"2011-04-23",15.4359
"2011-04-24",14.9172
"2011-04-25",10.5529
"2011-04-26",12.0831
"2011-04-27",13.2338
"2011-04-28",6.1476
"2011-04-29",0.5049
"2011-04-30",11.4865
"2011-05-01",4.5707
"2011-05-02",0.5398
"2011-05-03",0.3388
"2011-05-04",3.2669
"2011-05-05",0.5514
"2011-05-06",0.0103
"2011-05-07",0
"2011-05-08",0
"2011-05-09",0.0117
"2011-05-10",0
"2011-05-11",0
"2011-05-12",0
"2011-05-13",0.0847
"2011-05-14",0
"2011-05-15",0
"2011-05-16",0
"2011-05-17",0
"2011-05-18",0
"2011-05-19",0
"2011-05-20",0
"2011-05-21",1.2323
"2011-05-22",0.8637
"2011-05-23",1.7821
"2011-05-24",0.0524
"2011-05-25",0.0263
"2011-05-26",0.4672
"2011-05-27",0.4322
"2011-05-28",0
"2011-05-29",0
"2011-05-30",0
"2011-05-31",0
"2011-06-01",0.8459
"2011-06-02",0.8038
"2011-06-03",0
"2011-06-04",0
"2011-06-05",0
"2011-06-06",0.3763
"2011-06-07",0.1275
"2011-06-08",0
"2011-06-09",0
"2011-06-10",0
"2011-06-11",0
"2011-06-12",0
"2011-06-13",0
"2011-06-14",0
"2011-06-15",0.1946
"2011-06-16",0
"2011-06-17",0
"2011-06-18",0
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0
"2011-06-26",0
"2011-06-27",0
"2011-06-28",0.0179
"2011-06-29",0
"2011-06-30",0
"2011-07-01",0.1599
"2011-07-02",0.0289
"2011-07-03",0.3671
"2011-07-04",0
"2011-07-05",1.6561
"2011-07-06",0.1162
"2011-07-07",0
"2011-07-08",3.9079
"2011-07-09",0.6538
"2011-07-10",0.8892
"2011-07-11",3.4732
"2011-07-12",2.2755
"2011-07-13",0.0109
"2011-07-14",0
"2011-07-15",0
"2011-07-16",0
"2011-07-17",0.4463
"2011-07-18",0
"2011-07-19",0.0352
"2011-07-20",0
"2011-07-21",0
"2011-07-22",0.0851
"2011-07-23",1.9445
"2011-07-24",0.1052
"2011-07-25",12.2593
"2011-07-26",0.6273
"2011-07-27",0
"2011-07-28",0
"2011-07-29",0.3275
"2011-07-30",0.1563
"2011-07-31",0.1065
"2011-08-01",0
"2011-08-02",0
"2011-08-03",0.0427
"2011-08-04",0
"2011-08-05",1.6855
"2011-08-06",0
"2011-08-07",0
"2011-08-08",0
"2011-08-09",0
"2011-08-10",0.0347
"2011-08-11",0
"2011-08-12",0.3462
"2011-08-13",2.3385
"2011-08-14",3.322
"2011-08-15",5.0565
"2011-08-16",3.7281
"2011-08-17",18.8769
"2011-08-18",2.6968
"2011-08-19",0.1092
"2011-08-20",0
"2011-08-21",0
"2011-08-22",1.6789
"2011-08-23",3.0468
"2011-08-24",0.6679
"2011-08-25",0
"2011-08-26",0.5077
"2011-08-27",11.4892
"2011-08-28",0.3474
"2011-08-29",0
"2011-08-30",0.0395
"2011-08-31",0
"2011-09-01",0
"2011-09-02",0
"2011-09-03",0
"2011-09-04",0.0152
"2011-09-05",0
"2011-09-06",4.6736
"2011-09-07",0
"2011-09-08",0.5361
"2011-09-09",0.4517
"2011-09-10",4.7281
"2011-09-11",0
"2011-09-12",23.9059
"2011-09-13",0.4985
"2011-09-14",8.4952
"2011-09-15",0
"2011-09-16",0.0018
"2011-09-17",0
"2011-09-18",0
"2011-09-19",0
"2011-09-20",0
"2011-09-21",0.854
"2011-09-22",0.0279
"2011-09-23",0
"2011-09-24",0
"2011-09-25",0
"2011-09-26",0
"2011-09-27",0
"2011-09-28",0
"2011-09-29",0.8754
"2011-09-30",0.3675
"2011-10-01",0
"2011-10-02",0
"2011-10-03",3.7054
"2011-10-04",15.59
"2011-10-05",2.7024
"2011-10-06",4.994
"2011-10-07",2.157
"2011-10-08",1.863
"2011-10-09",3.1049
"2011-10-10",0.6806
"2011-10-11",12.0403
"2011-10-12",12.4903
"2011-10-13",2.3928
"2011-10-14",5.7805
"2011-10-15",8.1549
"2011-10-16",4.054
"2011-10-17",0.5153
"2011-10-18",0.9096
"2011-10-19",11.3735
"2011-10-20",0
"2011-10-21",0
"2011-10-22",11.5509
"2011-10-23",17.7179
"2011-10-24",24.0894
"2011-10-25",20.0542
"2011-10-26",11.9349
"2011-10-27",9.8903
"2011-10-28",49.244
"2011-10-29",37.6216
"2011-10-30",17.4971
"2011-10-31",3.0892
"2011-11-01",3.4821
"2011-11-02",6.1403
"2011-11-03",0.5203
"2011-11-04",2.1232
"2011-11-05",6.9128
"2011-11-06",0.1242
"2011-11-07",0.2932
"2011-11-08",0
"2011-11-09",0
"2011-11-10",0.7534
"2011-11-11",0
"2011-11-12",0
"2011-11-13",0
"2011-11-14",0
"2011-11-15",0
"2011-11-16",0.1484
"2011-11-17",0.1871
"2011-11-18",1.0418
"2011-11-19",25.7126
"2011-11-20",42.8577
"2011-11-21",36.9902
"2011-11-22",16.5791
"2011-11-23",45.9403
"2011-11-24",33.917
"2011-11-25",43.4109
"2011-11-26",17.6364
"2011-11-27",2.3148
"2011-11-28",7.0786
"2011-11-29",0.0129
"2011-11-30",8.0139
"2011-12-01",5.9256
"2011-12-02",0
"2011-12-03",0
"2011-12-04",0
"2011-12-05",0
"2011-12-06",0
"2011-12-07",0
"2011-12-08",0
"2011-12-09",2.2575
"2011-12-10",8.8782
"2011-12-11",26.0515
"2011-12-12",12.0654
"2011-12-13",30.9608
"2011-12-14",13.6274
"2011-12-15",10.4877
"2011-12-16",0.2859
"2011-12-17",0.9782
"2011-12-18",23.9241
"2011-12-19",45.1044
"2011-12-20",35.8543
"2011-12-21",6.3269
"2011-12-22",23.6848
"2011-12-23",72.7447
"2011-12-24",16.4212
"2011-12-25",0
"2011-12-26",0.5019
"2011-12-27",16.5912
"2011-12-28",16.6983
"2011-12-29",0.7614
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",0
"2012-01-05",4.9637
"2012-01-06",41.2715
"2012-01-07",0
"2012-01-08",0
"2012-01-09",0
"2012-01-10",0
"2012-01-11",0
"2012-01-12",0
"2012-01-13",0
"2012-01-14",0
"2012-01-15",0
"2012-01-16",0
"2012-01-17",0.0789
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",0
"2012-01-22",0
"2012-01-23",9.1436
"2012-01-24",4.9858
"2012-01-25",0
"2012-01-26",0
"2012-01-27",0
"2012-01-28",0
"2012-01-29",0
"2012-01-30",0
"2012-01-31",0
"2012-02-01",0.024
"2012-02-02",0.2493
"2012-02-03",0
"2012-02-04",0.0131
"2012-02-05",38.5156
"2012-02-06",17.5962
"2012-02-07",28.9809
"2012-02-08",20.1561
"2012-02-09",20.544
"2012-02-10",0.8787
"2012-02-11",0
"2012-02-12",0
"2012-02-13",0
"2012-02-14",43.7781
"2012-02-15",16.4681
"2012-02-16",0.9415
"2012-02-17",0
"2012-02-18",0
"2012-02-19",0
"2012-02-20",0
"2012-02-21",0
"2012-02-22",3.7078
"2012-02-23",0.1661
"2012-02-24",10.5451
"2012-02-25",0
"2012-02-26",0
"2012-02-27",6.0909
"2012-02-28",3.806
"2012-02-29",0
"2012-03-01",0
"2012-03-02",0
"2012-03-03",0
"2012-03-04",0.084
"2012-03-05",0
"2012-03-06",0
"2012-03-07",0.0067
"2012-03-08",0
"2012-03-09",0.0006
"2012-03-10",0
"2012-03-11",1.2444
"2012-03-12",0
"2012-03-13",0
"2012-03-14",0
"2012-03-15",0.1374
"2012-03-16",0
"2012-03-17",0
"2012-03-18",0
"2012-03-19",0
"2012-03-20",0
"2012-03-21",0
"2012-03-22",0
"2012-03-23",0
"2012-03-24",0
"2012-03-25",0
"2012-03-26",0
"2012-03-27",0
"2012-03-28",14.2273
"2012-03-29",17.4141
"2012-03-30",3.14
"2012-03-31",0.3965
"2012-04-01",1.1424
"2012-04-02",5.9079
"2012-04-03",10.2823
"2012-04-04",7.6436
"2012-04-05",0
"2012-04-06",4.0575
"2012-04-07",0.1057
"2012-04-08",6.2924
"2012-04-09",0.9403
"2012-04-10",9.9654
"2012-04-11",1.6026
"2012-04-12",4.7157
"2012-04-13",4.5573
"2012-04-14",7.366
"2012-04-15",5.3083
"2012-04-16",3.6237
"2012-04-17",4.732
"2012-04-18",0
"2012-04-19",9.7268
"2012-04-20",0
"2012-04-21",0.3152
"2012-04-22",8.569
"2012-04-23",5.6833
"2012-04-24",2.2907
"2012-04-25",0.4902
"2012-04-26",2.0644
"2012-04-27",0
"2012-04-28",0.1859
"2012-04-29",0.8855
"2012-04-30",0.9311
"2012-05-01",0
"2012-05-02",0
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0
"2012-05-06",0
"2012-05-07",2.0186
"2012-05-08",0
"2012-05-09",1.2003
"2012-05-10",0
"2012-05-11",0
"2012-05-12",0
"2012-05-13",0
"2012-05-14",0
"2012-05-15",0
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0
"2012-05-19",0
"2012-05-20",0
"2012-05-21",0.3068
"2012-05-22",0
"2012-05-23",0
"2012-05-24",0.2299
"2012-05-25",0.0172
"2012-05-26",1.6039
"2012-05-27",0
"2012-05-28",0
"2012-05-29",0
"2012-05-30",0
"2012-05-31",0
"2012-06-01",0
"2012-06-02",0
"2012-06-03",0
"2012-06-04",0
"2012-06-05",0
"2012-06-06",0.5443
"2012-06-07",0.3623
"2012-06-08",0.0042
"2012-06-09",0.0063
"2012-06-10",0.0413
"2012-06-11",0
"2012-06-12",0
"2012-06-13",0
"2012-06-14",0
"2012-06-15",0
"2012-06-16",0
"2012-06-17",0.8321
"2012-06-18",0.4577
"2012-06-19",0
"2012-06-20",0.0162
"2012-06-21",0.5757
"2012-06-22",0
"2012-06-23",0.0001
"2012-06-24",0
"2012-06-25",0.5259
"2012-06-26",0
"2012-06-27",0.2
"2012-06-28",0
"2012-06-29",0
"2012-06-30",0
"2012-07-01",0.2852
"2012-07-02",2.1514
"2012-07-03",0
"2012-07-04",0
"2012-07-05",0
"2012-07-06",0
"2012-07-07",0
"2012-07-08",0
"2012-07-09",0.7651
"2012-07-10",1.713
"2012-07-11",0
"2012-07-12",4.8587
"2012-07-13",6.3763
"2012-07-14",9.8211
"2012-07-15",2.6767
"2012-07-16",2.894
"2012-07-17",0.2585
"2012-07-18",0.1147
"2012-07-19",0
"2012-07-20",0
"2012-07-21",0.0296
"2012-07-22",0
"2012-07-23",0
"2012-07-24",0
"2012-07-25",0
"2012-07-26",0
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0
"2012-07-30",0
"2012-07-31",0
"2012-08-01",0
"2012-08-02",0.3822
"2012-08-03",1.6033
"2012-08-04",1.5524
"2012-08-05",0.6847
"2012-08-06",3.0409
"2012-08-07",2.4324
"2012-08-08",0
"2012-08-09",0
"2012-08-10",0.2076
"2012-08-11",0.4365
"2012-08-12",0.0783
"2012-08-13",0.1447
"2012-08-14",1.1099
"2012-08-15",0.4529
"2012-08-16",0.5858
"2012-08-17",0.2034
"2012-08-18",0
"2012-08-19",0
"2012-08-20",0
"2012-08-21",0.0835
"2012-08-22",0
"2012-08-23",0.685
"2012-08-24",4.3367
"2012-08-25",0.0172
"2012-08-26",0
"2012-08-27",0.6408
"2012-08-28",0.5738
"2012-08-29",4.4583
"2012-08-30",0
"2012-08-31",0.0708
"2012-09-01",3.3567
"2012-09-02",0
"2012-09-03",0.7771
"2012-09-04",3.8953
"2012-09-05",0
"2012-09-06",0
"2012-09-07",4.6243
"2012-09-08",4.0161
"2012-09-09",0.117
"2012-09-10",3.4065
"2012-09-11",0.2238
"2012-09-12",0
"2012-09-13",0
"2012-09-14",0
"2012-09-15",0
"2012-09-16",1.6725
"2012-09-17",0.0524
"2012-09-18",1.7048
"2012-09-19",0
"2012-09-20",2.4273
"2012-09-21",0.5387
"2012-09-22",3.3739
"2012-09-23",4.2329
"2012-09-24",0.5168
"2012-09-25",6.1901
"2012-09-26",3.9834
"2012-09-27",14.6354
"2012-09-28",4.726
"2012-09-29",0
"2012-09-30",0
"2012-10-01",0
"2012-10-02",0
"2012-10-03",0
"2012-10-04",0
"2012-10-05",0
"2012-10-06",0
"2012-10-07",0.011
"2012-10-08",7.3696
"2012-10-09",14.8059
"2012-10-10",4.995
"2012-10-11",0.1264
"2012-10-12",0.6198
"2012-10-13",14.8654
"2012-10-14",11.0693
"2012-10-15",7.731
"2012-10-16",21.7821
"2012-10-17",21.6293
"2012-10-18",18.5738
"2012-10-19",19.127
"2012-10-20",1.3986
"2012-10-21",0
"2012-10-22",20.2289
"2012-10-23",13.8508
"2012-10-24",8.322
"2012-10-25",0
"2012-10-26",1.8801
"2012-10-27",6.9406
"2012-10-28",34.9935
"2012-10-29",47.197
"2012-10-30",47.197
"2012-10-31",28.2386
"2012-11-01",16.1469
"2012-11-02",0
"2012-11-03",0.5752
"2012-11-04",0
"2012-11-05",8.3845
"2012-11-06",0.2113
"2012-11-07",0.0519
"2012-11-08",2.794
"2012-11-09",0.2823
"2012-11-10",16.7224
"2012-11-11",20.5597
"2012-11-12",14.001
"2012-11-13",5.9874
"2012-11-14",1.6496
"2012-11-15",31.1219
"2012-11-16",7.2023
"2012-11-17",0
"2012-11-18",0
"2012-11-19",0
"2012-11-20",0
"2012-11-21",0
"2012-11-22",0
"2012-11-23",0
"2012-11-24",6.7738
"2012-11-25",40.9833
"2012-11-26",13.036
"2012-11-27",16.2733
"2012-11-28",5.2955
"2012-11-29",21.3583
"2012-11-30",0.4632
"2012-12-01",0
"2012-12-02",0
"2012-12-03",0
"2012-12-04",0
"2012-12-05",2.0034
"2012-12-06",36.5021
"2012-12-07",0.8717
"2012-12-08",0.3991
"2012-12-09",4.2525
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0
"2012-12-13",0
"2012-12-14",0.0296
"2012-12-15",48.1424
"2012-12-16",86.7812
"2012-12-17",94.6644
"2012-12-18",86.6038
"2012-12-19",52.0835
"2012-12-20",22.9429
"2012-12-21",45.3026
"2012-12-22",108.2588
"2012-12-23",46.7783
"2012-12-24",5.2158
"2012-12-25",0
"2012-12-26",0.1081
"2012-12-27",0.6402
"2012-12-28",0
"2012-12-29",0
"2012-12-30",0
"2012-12-31",0
"2013-01-01",24.3382
"2013-01-02",15.6883
"2013-01-03",33.9025
"2013-01-04",37.5582
"2013-01-05",26.3276
"2013-01-06",25.4885
"2013-01-07",89.314
"2013-01-08",1.824
"2013-01-09",19.9019
"2013-01-10",74.123
"2013-01-11",0.3218
"2013-01-12",0
"2013-01-13",6.9131
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",0
"2013-01-21",0
"2013-01-22",0
"2013-01-23",16.1166
"2013-01-24",69.3576
"2013-01-25",53.1934
"2013-01-26",0
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",39.0398
"2013-02-05",16.7521
"2013-02-06",21.2155
"2013-02-07",14.3702
"2013-02-08",14.6446
"2013-02-09",0
"2013-02-10",0
"2013-02-11",35.6534
"2013-02-12",62.9839
"2013-02-13",39.2826
"2013-02-14",17.5294
"2013-02-15",0.9145
"2013-02-16",0
"2013-02-17",0
"2013-02-18",0
"2013-02-19",0
"2013-02-20",0
"2013-02-21",0
"2013-02-22",0
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",0
"2013-03-01",0
"2013-03-02",0
"2013-03-03",54.1639
"2013-03-04",45.2166
"2013-03-05",1.251
"2013-03-06",2.7982
"2013-03-07",0
"2013-03-08",3.6964
"2013-03-09",10.055
"2013-03-10",0
"2013-03-11",0.2745
"2013-03-12",0
"2013-03-13",0
"2013-03-14",14.2661
"2013-03-15",22.0715
"2013-03-16",0.2293
"2013-03-17",0
"2013-03-18",0
"2013-03-19",0
"2013-03-20",0
"2013-03-21",2.3063
"2013-03-22",2.6726
"2013-03-23",7.913
"2013-03-24",18.6645
"2013-03-25",21.2559
"2013-03-26",12.6693
"2013-03-27",0
"2013-03-28",0
"2013-03-29",0
"2013-03-30",0
"2013-03-31",0.007
"2013-04-01",0
"2013-04-02",1.4376
"2013-04-03",1.9652
"2013-04-04",1.2544
"2013-04-05",0
"2013-04-06",0.5252
"2013-04-07",0
"2013-04-08",0
"2013-04-09",0
"2013-04-10",0.6617
"2013-04-11",0
"2013-04-12",0
"2013-04-13",5.9579
"2013-04-14",3.7578
"2013-04-15",5.9595
"2013-04-16",0
"2013-04-17",0
"2013-04-18",0.4041
"2013-04-19",0
"2013-04-20",0.8681
"2013-04-21",0.6207
"2013-04-22",0.3467
"2013-04-23",0
"2013-04-24",0.009
"2013-04-25",4.7078
"2013-04-26",0
"2013-04-27",0.3217
"2013-04-28",2.6117
"2013-04-29",0.1407
"2013-04-30",0.3974
"2013-05-01",0.6399
"2013-05-02",2.0894
"2013-05-03",1.8664
"2013-05-04",1.2232
"2013-05-05",2.029
"2013-05-06",2.2533
"2013-05-07",0
"2013-05-08",1.8336
"2013-05-09",0
"2013-05-10",1.2489
"2013-05-11",2.4549
"2013-05-12",6.2131
"2013-05-13",3.9814
"2013-05-14",0
"2013-05-15",0.7528
"2013-05-16",0
"2013-05-17",0
"2013-05-18",0
"2013-05-19",1.086
"2013-05-20",0.4619
"2013-05-21",0.0009
"2013-05-22",0
"2013-05-23",0
"2013-05-24",0
"2013-05-25",0
"2013-05-26",0
"2013-05-27",0
"2013-05-28",0
"2013-05-29",0
"2013-05-30",0.0963
"2013-05-31",2.9063
"2013-06-01",0.1062
"2013-06-02",0
"2013-06-03",0
"2013-06-04",0.1274
"2013-06-05",1.2124
"2013-06-06",0.1717
"2013-06-07",0
"2013-06-08",0.0532
"2013-06-09",0
"2013-06-10",0
"2013-06-11",0
"2013-06-12",1.1004
"2013-06-13",0
"2013-06-14",0
"2013-06-15",0.097
"2013-06-16",0.0133
"2013-06-17",0.8014
"2013-06-18",0
"2013-06-19",0.1299
"2013-06-20",0
"2013-06-21",0
"2013-06-22",2.4901
"2013-06-23",0.3194
"2013-06-24",0
"2013-06-25",0.0164
"2013-06-26",0.5522
"2013-06-27",0.0861
"2013-06-28",1.383
"2013-06-29",0.0884
"2013-06-30",0.9929
"2013-07-01",1.0993
"2013-07-02",0.2805
"2013-07-03",0.0726
"2013-07-04",0.403
"2013-07-05",6.3783
"2013-07-06",4.0766
"2013-07-07",0.3577
"2013-07-08",1.1975
"2013-07-09",2.8808
"2013-07-10",4.585
"2013-07-11",1.0233
"2013-07-12",0
"2013-07-13",0
"2013-07-14",0
"2013-07-15",3.4406
"2013-07-16",0.2152
"2013-07-17",0.6633
"2013-07-18",1.9685
"2013-07-19",0.1148
"2013-07-20",2.2612
"2013-07-21",4.4564
"2013-07-22",0.0231
"2013-07-23",0
"2013-07-24",2.0839
"2013-07-25",0.2611
"2013-07-26",0
"2013-07-27",0
"2013-07-28",0
