,"(mm) Precipitation (CHIRPS) at Galle, 2007-01-01 to 2025-12-31"
"2010-03-20",0.029
"2010-03-21",11.2315
"2010-03-22",0
"2010-03-23",3.0719
"2010-03-24",0.9785
"2010-03-25",0
"2010-03-26",19.9752
"2010-03-27",30.2174
"2010-03-28",6.7274
"2010-03-29",30.512
"2010-03-30",15.55
"2010-03-31",2.7336
"2010-04-01",2.5139
"2010-04-02",0
"2010-04-03",0.1483
"2010-04-04",9.3066
"2010-04-05",13.2818
"2010-04-06",13.4716
"2010-04-07",9.8278
"2010-04-08",15.6093
"2010-04-09",7.7729
"2010-04-10",23.93
"2010-04-11",14.7834
"2010-04-12",4.7236
"2010-04-13",7.807
"2010-04-14",22.8677
"2010-04-15",0.0174
"2010-04-16",13.4023
"2010-04-17",11.9313
"2010-04-18",22.6135
"2010-04-19",1.111
"2010-04-20",5.6278
"2010-04-21",36.3262
"2010-04-22",19.4833
"2010-04-23",40.6854
"2010-04-24",33.2743
"2010-04-25",1.2983
"2010-04-26",23.2471
"2010-04-27",2.0204
"2010-04-28",8.3936
"2010-04-29",9.4516
"2010-04-30",0
"2010-05-01",0
"2010-05-02",0.2019
"2010-05-03",0
"2010-05-04",8.0214
"2010-05-05",38.9338
"2010-05-06",16.0245
"2010-05-07",17.025
"2010-05-08",20.0162
"2010-05-09",39.8325
"2010-05-10",0
"2010-05-11",36.2771
"2010-05-12",49.759
"2010-05-13",14.617
"2010-05-14",51.7313
"2010-05-15",11.5652
"2010-05-16",62.5079
"2010-05-17",77.5255
"2010-05-18",47.6771
"2010-05-19",51.1944
"2010-05-20",69.3333
"2010-05-21",43.4554
"2010-05-22",4.1925
"2010-05-23",47.9467
"2010-05-24",32.3778
"2010-05-25",60.1368
"2010-05-26",0
"2010-05-27",0
"2010-05-28",0
"2010-05-29",0
"2010-05-30",0
"2010-05-31",0
"2010-06-01",0
"2010-06-02",0
"2010-06-03",13.1648
"2010-06-04",0
"2010-06-05",19.1315
"2010-06-06",27.5885
"2010-06-07",19.9398
"2010-06-08",42.0534
"2010-06-09",16.3257
"2010-06-10",9.143
"2010-06-11",73.1805
"2010-06-12",7.7899
"2010-06-13",0
"2010-06-14",0
"2010-06-15",13.4767
"2010-06-16",14.6195
"2010-06-17",0
"2010-06-18",0.2771
"2010-06-19",0
"2010-06-20",0
"2010-06-21",12.8433
"2010-06-22",6.4867
"2010-06-23",66.9656
"2010-06-24",1.3548
"2010-06-25",0
"2010-06-26",0
"2010-06-27",0
"2010-06-28",15.3141
"2010-06-29",0
"2010-06-30",0
"2010-07-01",1.6221
"2010-07-02",1.0416
"2010-07-03",0
"2010-07-04",35.4663
"2010-07-05",15.5154
"2010-07-06",20.1007
"2010-07-07",11.3292
"2010-07-08",30.9974
"2010-07-09",11.9333
"2010-07-10",0
"2010-07-11",3.9847
"2010-07-12",0.0035
"2010-07-13",1.9861
"2010-07-14",10.5071
"2010-07-15",28.3571
"2010-07-16",16.2423
"2010-07-17",15.0535
"2010-07-18",17.0114
"2010-07-19",23.8824
"2010-07-20",10.6082
"2010-07-21",0
"2010-07-22",17.8257
"2010-07-23",0
"2010-07-24",0.4114
"2010-07-25",0
"2010-07-26",2.269
"2010-07-27",0
"2010-07-28",3.9209
"2010-07-29",0
"2010-07-30",0
"2010-07-31",0
"2010-08-01",0
"2010-08-02",0
"2010-08-03",0
"2010-08-04",0
"2010-08-05",0
"2010-08-06",0
"2010-08-07",0.1215
"2010-08-08",0
"2010-08-09",0.0046
"2010-08-10",0
"2010-08-11",0
"2010-08-12",1.6188
"2010-08-13",0
"2010-08-14",23.4236
"2010-08-15",58.2092
"2010-08-16",8.4877
"2010-08-17",0
"2010-08-18",0
"2010-08-19",32.353
"2010-08-20",29.7361
"2010-08-21",31.1421
"2010-08-22",0
"2010-08-23",0
"2010-08-24",19.0773
"2010-08-25",0
"2010-08-26",0
"2010-08-27",0
"2010-08-28",0
"2010-08-29",43.9459
"2010-08-30",0.3259
"2010-08-31",0
"2010-09-01",0
"2010-09-02",1.525
"2010-09-03",9.2351
"2010-09-04",0.1172
"2010-09-05",0
"2010-09-06",0
"2010-09-07",0
"2010-09-08",0
"2010-09-09",4.9302
"2010-09-10",41.8273
"2010-09-11",1.737
"2010-09-12",4.8561
"2010-09-13",4.7826
"2010-09-14",13.8296
"2010-09-15",3.0954
"2010-09-16",0
"2010-09-17",0
"2010-09-18",0
"2010-09-19",0
"2010-09-20",7.8107
"2010-09-21",29.6559
"2010-09-22",44.6332
"2010-09-23",35.7614
"2010-09-24",31.6233
"2010-09-25",4.0274
"2010-09-26",12.9385
"2010-09-27",8.9186
"2010-09-28",26.4455
"2010-09-29",20.1758
"2010-09-30",11.7626
"2010-10-01",55.3331
"2010-10-02",21.5803
"2010-10-03",20.8199
"2010-10-04",0
"2010-10-05",0
"2010-10-06",9.0383
"2010-10-07",25.9379
"2010-10-08",23.8674
"2010-10-09",9.8446
"2010-10-10",36.884
"2010-10-11",1.9016
"2010-10-12",0.0013
"2010-10-13",0
"2010-10-14",2.2972
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",0
"2010-10-19",0
"2010-10-20",0
"2010-10-21",0
"2010-10-22",0
"2010-10-23",0
"2010-10-24",0
"2010-10-25",0
"2010-10-26",0.0197
"2010-10-27",14.3307
"2010-10-28",35.3654
"2010-10-29",16.4284
"2010-10-30",0.8692
"2010-10-31",2.8795
"2010-11-01",11.8339
"2010-11-02",1.4235
"2010-11-03",6.6171
"2010-11-04",20.0896
"2010-11-05",3.6668
"2010-11-06",31.5921
"2010-11-07",27.0598
"2010-11-08",0
"2010-11-09",4.4938
"2010-11-10",42.4072
"2010-11-11",6.906
"2010-11-12",4.3658
"2010-11-13",35.3456
"2010-11-14",3.8943
"2010-11-15",18.0487
"2010-11-16",6.7079
"2010-11-17",11.2337
"2010-11-18",5.2009
"2010-11-19",8.4455
"2010-11-20",29.1573
"2010-11-21",27.6232
"2010-11-22",77.237
"2010-11-23",25.211
"2010-11-24",31.3357
"2010-11-25",22.0698
"2010-11-26",15.6756
"2010-11-27",0
"2010-11-28",26.7207
"2010-11-29",1.9597
"2010-11-30",29.1096
"2010-12-01",39.5386
"2010-12-02",26.2948
"2010-12-03",26.0987
"2010-12-04",9.7877
"2010-12-05",1.9805
"2010-12-06",13.0232
"2010-12-07",58.4456
"2010-12-08",17.9092
"2010-12-09",51.7095
"2010-12-10",0.7119
"2010-12-11",0
"2010-12-12",0
"2010-12-13",0
"2010-12-14",0
"2010-12-15",0
"2010-12-16",0.4839
"2010-12-17",0.2624
"2010-12-18",8.1307
"2010-12-19",0
"2010-12-20",1.7375
"2010-12-21",14.3218
"2010-12-22",7.7575
"2010-12-23",16.9586
"2010-12-24",25.7097
"2010-12-25",7.2935
"2010-12-26",3.1489
"2010-12-27",2.011
"2010-12-28",2.6323
"2010-12-29",0.9615
"2010-12-30",13.5332
"2010-12-31",5.511
"2011-01-01",25.8207
"2011-01-02",8.4197
"2011-01-03",8.7829
"2011-01-04",9.6779
"2011-01-05",30.5207
"2011-01-06",1.3986
"2011-01-07",20.8131
"2011-01-08",24.0398
"2011-01-09",38.3347
"2011-01-10",20.3969
"2011-01-11",21.4561
"2011-01-12",23.9064
"2011-01-13",0
"2011-01-14",0
"2011-01-15",0
"2011-01-16",0
"2011-01-17",0
"2011-01-18",4.5368
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",0
"2011-01-26",11.7231
"2011-01-27",8.1159
"2011-01-28",19.5516
"2011-01-29",5.3741
"2011-01-30",13.353
"2011-01-31",27.1287
"2011-02-01",72.5645
"2011-02-02",14.8115
"2011-02-03",1.3439
"2011-02-04",2.0931
"2011-02-05",6.2683
"2011-02-06",16.9351
"2011-02-07",34.7428
"2011-02-08",16.6223
"2011-02-09",7.5274
"2011-02-10",18.3746
"2011-02-11",5.9902
"2011-02-12",0.8435
"2011-02-13",1.0475
"2011-02-14",3.8023
"2011-02-15",8.8869
"2011-02-16",0.1885
"2011-02-17",0
"2011-02-18",0.1215
"2011-02-19",2.1392
"2011-02-20",5.2974
"2011-02-21",11.8835
"2011-02-22",6.2743
"2011-02-23",0
"2011-02-24",0.3475
"2011-02-25",15.6951
"2011-02-26",25.6892
"2011-02-27",5.094
"2011-02-28",6.7809
"2011-03-01",4.9059
"2011-03-02",4.1536
"2011-03-03",12.257
"2011-03-04",1.3122
"2011-03-05",7.5831
"2011-03-06",0
"2011-03-07",3.5017
"2011-03-08",0.0957
"2011-03-09",0
"2011-03-10",0
"2011-03-11",0
"2011-03-12",0.4798
"2011-03-13",10.0378
"2011-03-14",0.5879
"2011-03-15",11.9357
"2011-03-16",20.8924
"2011-03-17",3.4422
"2011-03-18",0
"2011-03-19",0.6886
"2011-03-20",7.6208
"2011-03-21",6.5402
"2011-03-22",7.2811
"2011-03-23",11.2397
"2011-03-24",15.8077
"2011-03-25",14.5597
"2011-03-26",13.7903
"2011-03-27",15.9314
"2011-03-28",36.1804
"2011-03-29",35.1438
"2011-03-30",8.0829
"2011-03-31",0.5088
"2011-04-01",0
"2011-04-02",0
"2011-04-03",0
"2011-04-04",0.8589
"2011-04-05",2.718
"2011-04-06",0
"2011-04-07",0.1364
"2011-04-08",0.8315
"2011-04-09",8.8493
"2011-04-10",0.671
"2011-04-11",22.9748
"2011-04-12",19.1239
"2011-04-13",8.1037
"2011-04-14",4.8758
"2011-04-15",7.4681
"2011-04-16",7.4171
"2011-04-17",11.7725
"2011-04-18",14.1348
"2011-04-19",30.6796
"2011-04-20",12.7984
"2011-04-21",15.7813
"2011-04-22",15.5924
"2011-04-23",30.6301
"2011-04-24",14.7415
"2011-04-25",29.5153
"2011-04-26",32.2172
"2011-04-27",45.3955
"2011-04-28",50.9171
"2011-04-29",7.2241
"2011-04-30",0.0847
"2011-05-01",15.6952
"2011-05-02",0.0427
"2011-05-03",0
"2011-05-04",2.9657
"2011-05-05",0.4194
"2011-05-06",0.6012
"2011-05-07",0.1916
"2011-05-08",0
"2011-05-09",0.8465
"2011-05-10",0
"2011-05-11",0
"2011-05-12",0
"2011-05-13",0.1157
"2011-05-14",0
"2011-05-15",0
"2011-05-16",0
"2011-05-17",5.3221
"2011-05-18",0
"2011-05-19",0
"2011-05-20",1.0653
"2011-05-21",8.3046
"2011-05-22",0
"2011-05-23",0
"2011-05-24",0.1697
"2011-05-25",79.8527
"2011-05-26",43.6759
"2011-05-27",56.4231
"2011-05-28",12.5316
"2011-05-29",0.8663
"2011-05-30",0.9997
"2011-05-31",6.9996
"2011-06-01",28.4141
"2011-06-02",10.9343
"2011-06-03",0
"2011-06-04",0
"2011-06-05",0.5732
"2011-06-06",18.3925
"2011-06-07",1.4568
"2011-06-08",0
"2011-06-09",2.797
"2011-06-10",0
"2011-06-11",0
"2011-06-12",0
"2011-06-13",10.7918
"2011-06-14",0
"2011-06-15",39.6414
"2011-06-16",0
"2011-06-17",0
"2011-06-18",0
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0
"2011-06-26",0
"2011-06-27",0
"2011-06-28",0
"2011-06-29",0.4921
"2011-06-30",0
"2011-07-01",3.354
"2011-07-02",7.4964
"2011-07-03",0
"2011-07-04",0.6407
"2011-07-05",3.5308
"2011-07-06",7.4604
"2011-07-07",0
"2011-07-08",0
"2011-07-09",3.7693
"2011-07-10",0
"2011-07-11",7.0572
"2011-07-12",1.7458
"2011-07-13",1.1462
"2011-07-14",7.749
"2011-07-15",2.6916
"2011-07-16",1.3419
"2011-07-17",0.7288
"2011-07-18",0
"2011-07-19",0
"2011-07-20",35.9513
"2011-07-21",4.7511
"2011-07-22",0.4757
"2011-07-23",2.9455
"2011-07-24",25.275
"2011-07-25",28.2317
"2011-07-26",19.1599
"2011-07-27",0
"2011-07-28",0
"2011-07-29",0
"2011-07-30",1.3699
"2011-07-31",4.5809
"2011-08-01",0
"2011-08-02",0
"2011-08-03",2.5252
"2011-08-04",72.556
"2011-08-05",10.1633
"2011-08-06",6.9498
"2011-08-07",0
"2011-08-08",0.6842
"2011-08-09",0
"2011-08-10",0.8193
"2011-08-11",0
"2011-08-12",0
"2011-08-13",2.8501
"2011-08-14",5.0977
"2011-08-15",16.2621
"2011-08-16",1.7536
"2011-08-17",14.561
"2011-08-18",0
"2011-08-19",0
"2011-08-20",0
"2011-08-21",0
"2011-08-22",0
"2011-08-23",59.6067
"2011-08-24",22.4884
"2011-08-25",1.9031
"2011-08-26",0
"2011-08-27",0
"2011-08-28",11.9107
"2011-08-29",0
"2011-08-30",27.7613
"2011-08-31",2.7159
"2011-09-01",0
"2011-09-02",7.688
"2011-09-03",0.6002
"2011-09-04",0
"2011-09-05",1.1293
"2011-09-06",13.1455
"2011-09-07",7.4706
"2011-09-08",3.3151
"2011-09-09",0
"2011-09-10",4.983
"2011-09-11",23.528
"2011-09-12",34.9726
"2011-09-13",39.8524
"2011-09-14",10.3908
"2011-09-15",0
"2011-09-16",0
"2011-09-17",6.878
"2011-09-18",0
"2011-09-19",0
"2011-09-20",0
"2011-09-21",0
"2011-09-22",1.6866
"2011-09-23",0
"2011-09-24",0
"2011-09-25",0
"2011-09-26",2.7365
"2011-09-27",0
"2011-09-28",0
"2011-09-29",0
"2011-09-30",0.3204
"2011-10-01",0
"2011-10-02",0
"2011-10-03",0
"2011-10-04",5.7414
"2011-10-05",6.7299
"2011-10-06",0
"2011-10-07",0
"2011-10-08",0
"2011-10-09",0
"2011-10-10",11.1955
"2011-10-11",1.3894
"2011-10-12",8.2626
"2011-10-13",11.0646
"2011-10-14",1.7081
"2011-10-15",0
"2011-10-16",1.8805
"2011-10-17",1.3526
"2011-10-18",0.4738
"2011-10-19",10.5209
"2011-10-20",20.7343
"2011-10-21",19.7607
"2011-10-22",11.3953
"2011-10-23",16.5674
"2011-10-24",13.3752
"2011-10-25",29.1237
"2011-10-26",11.8326
"2011-10-27",9.9
"2011-10-28",38.4778
"2011-10-29",23.8816
"2011-10-30",23.1716
"2011-10-31",4.0816
"2011-11-01",23.4755
"2011-11-02",4.2097
"2011-11-03",5.9525
"2011-11-04",8.5519
"2011-11-05",16.3299
"2011-11-06",13.0329
"2011-11-07",15.7273
"2011-11-08",6.7212
"2011-11-09",2.7561
"2011-11-10",2.3987
"2011-11-11",0
"2011-11-12",1.7644
"2011-11-13",1.9097
"2011-11-14",10.0371
"2011-11-15",24.8013
"2011-11-16",0.2975
"2011-11-17",16.5994
"2011-11-18",17.2253
"2011-11-19",13.0083
"2011-11-20",7.9839
"2011-11-21",8.7081
"2011-11-22",4.8994
"2011-11-23",28.1677
"2011-11-24",30.5707
"2011-11-25",10.7346
"2011-11-26",24.9271
"2011-11-27",24.5135
"2011-11-28",19.084
"2011-11-29",4.3354
"2011-11-30",7.4273
"2011-12-01",4.2486
"2011-12-02",5.0327
"2011-12-03",0.142
"2011-12-04",2.34
"2011-12-05",3.4386
"2011-12-06",4.096
"2011-12-07",0
"2011-12-08",0
"2011-12-09",3.7453
"2011-12-10",6.8532
"2011-12-11",10.2106
"2011-12-12",10.0882
"2011-12-13",5.608
"2011-12-14",14.8897
"2011-12-15",4.903
"2011-12-16",3.9688
"2011-12-17",0.2568
"2011-12-18",7.0118
"2011-12-19",8.325
"2011-12-20",18.6683
"2011-12-21",5.6094
"2011-12-22",15.4402
"2011-12-23",14.764
"2011-12-24",0.0003
"2011-12-25",0
"2011-12-26",0
"2011-12-27",6.8072
"2011-12-28",0
"2011-12-29",0
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",0
"2012-01-05",2.7047
"2012-01-06",6.4885
"2012-01-07",5.4248
"2012-01-08",30.3697
"2012-01-09",25.1498
"2012-01-10",0
"2012-01-11",4.6248
"2012-01-12",0.6058
"2012-01-13",0
"2012-01-14",0
"2012-01-15",0.1697
"2012-01-16",0
"2012-01-17",0.3674
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",0
"2012-01-22",1.3329
"2012-01-23",0
"2012-01-24",0
"2012-01-25",0
"2012-01-26",0
"2012-01-27",0
"2012-01-28",2.2138
"2012-01-29",0
"2012-01-30",0
"2012-01-31",0
"2012-02-01",0
"2012-02-02",0
"2012-02-03",1.6062
"2012-02-04",1.9274
"2012-02-05",12.8144
"2012-02-06",4.4021
"2012-02-07",12.7347
"2012-02-08",4.2898
"2012-02-09",0
"2012-02-10",11.3129
"2012-02-11",6.491
"2012-02-12",0
"2012-02-13",5.1032
"2012-02-14",29.5362
"2012-02-15",11.491
"2012-02-16",13.7519
"2012-02-17",3.8104
"2012-02-18",0
"2012-02-19",0.2382
"2012-02-20",0
"2012-02-21",0.0853
"2012-02-22",6.779
"2012-02-23",0
"2012-02-24",0.1375
"2012-02-25",0
"2012-02-26",0
"2012-02-27",16.6815
"2012-02-28",12.501
"2012-02-29",1.7628
"2012-03-01",8.6582
"2012-03-02",0
"2012-03-03",0
"2012-03-04",0
"2012-03-05",0
"2012-03-06",0
"2012-03-07",30.7338
"2012-03-08",0
"2012-03-09",0
"2012-03-10",4.033
"2012-03-11",1.149
"2012-03-12",10.8069
"2012-03-13",15.8391
"2012-03-14",10.0602
"2012-03-15",17.3201
"2012-03-16",25.3796
"2012-03-17",6.4363
"2012-03-18",0.0405
"2012-03-19",0.2641
"2012-03-20",0
"2012-03-21",0
"2012-03-22",0
"2012-03-23",0
"2012-03-24",0.0192
"2012-03-25",0
"2012-03-26",0
"2012-03-27",1.3013
"2012-03-28",2.9073
"2012-03-29",5.5864
"2012-03-30",3.5777
"2012-03-31",0
"2012-04-01",0
"2012-04-02",0
"2012-04-03",0
"2012-04-04",0.9326
"2012-04-05",0
"2012-04-06",0
"2012-04-07",0.3159
"2012-04-08",13.2939
"2012-04-09",19.8607
"2012-04-10",17.8207
"2012-04-11",18.1199
"2012-04-12",29.0087
"2012-04-13",1.0665
"2012-04-14",53.8883
"2012-04-15",43.5835
"2012-04-16",25.0494
"2012-04-17",16.7163
"2012-04-18",14.0655
"2012-04-19",5.2401
"2012-04-20",19.1056
"2012-04-21",45.9443
"2012-04-22",0.5623
"2012-04-23",48.7324
"2012-04-24",25.5649
"2012-04-25",0
"2012-04-26",0
"2012-04-27",0
"2012-04-28",24.7607
"2012-04-29",19.3675
"2012-04-30",13.9789
"2012-05-01",0
"2012-05-02",0
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0
"2012-05-06",0
"2012-05-07",0
"2012-05-08",0
"2012-05-09",0.0037
"2012-05-10",0
"2012-05-11",0
"2012-05-12",0.0594
"2012-05-13",0
"2012-05-14",0
"2012-05-15",0
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0
"2012-05-19",0
"2012-05-20",0
"2012-05-21",0
"2012-05-22",0
"2012-05-23",34.6879
"2012-05-24",35.7977
"2012-05-25",73.0856
"2012-05-26",42.2839
"2012-05-27",0.5832
"2012-05-28",13.1198
"2012-05-29",0
"2012-05-30",0
"2012-05-31",0
"2012-06-01",13.0817
"2012-06-02",0
"2012-06-03",6.541
"2012-06-04",0.0965
"2012-06-05",8.7385
"2012-06-06",14.6001
"2012-06-07",4.7856
"2012-06-08",8.5706
"2012-06-09",5.1448
"2012-06-10",4.2192
"2012-06-11",0.1829
"2012-06-12",8.4166
"2012-06-13",31.5249
"2012-06-14",0
"2012-06-15",0
"2012-06-16",0
"2012-06-17",12.2322
"2012-06-18",13.1787
"2012-06-19",0
"2012-06-20",0
"2012-06-21",25.0032
"2012-06-22",0.1583
"2012-06-23",14.551
"2012-06-24",10.7395
"2012-06-25",1.252
"2012-06-26",0
"2012-06-27",3.6833
"2012-06-28",0
"2012-06-29",0
"2012-06-30",12.4442
"2012-07-01",18.191
"2012-07-02",36.1253
"2012-07-03",0
"2012-07-04",0
"2012-07-05",0
"2012-07-06",0
"2012-07-07",0
"2012-07-08",16.2714
"2012-07-09",0.7816
"2012-07-10",5.1343
"2012-07-11",0
"2012-07-12",0
"2012-07-13",13.7318
"2012-07-14",26.6343
"2012-07-15",22.4154
"2012-07-16",2.2761
"2012-07-17",1.1266
"2012-07-18",0
"2012-07-19",0
"2012-07-20",0
"2012-07-21",0.063
"2012-07-22",0
"2012-07-23",0
"2012-07-24",0
"2012-07-25",0
"2012-07-26",0
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0
"2012-07-30",0
"2012-07-31",0
"2012-08-01",0
"2012-08-02",0
"2012-08-03",0.1685
"2012-08-04",1.7005
"2012-08-05",10.4799
"2012-08-06",4.4377
"2012-08-07",0
"2012-08-08",0
"2012-08-09",0
"2012-08-10",9.8766
"2012-08-11",0.3248
"2012-08-12",0.827
"2012-08-13",1.0355
"2012-08-14",0
"2012-08-15",0
"2012-08-16",18.0385
"2012-08-17",60.6848
"2012-08-18",0
"2012-08-19",0
"2012-08-20",0
"2012-08-21",0.1332
"2012-08-22",8.569
"2012-08-23",0
"2012-08-24",16.7299
"2012-08-25",22.5078
"2012-08-26",0
"2012-08-27",61.3223
"2012-08-28",34.5013
"2012-08-29",67.0058
"2012-08-30",0
"2012-08-31",13.0459
"2012-09-01",2.9022
"2012-09-02",6.318
"2012-09-03",22.3271
"2012-09-04",15.9487
"2012-09-05",0
"2012-09-06",0.006
"2012-09-07",42.5152
"2012-09-08",16.7806
"2012-09-09",11.2322
"2012-09-10",6.6505
"2012-09-11",0
"2012-09-12",0
"2012-09-13",11.0294
"2012-09-14",5.0516
"2012-09-15",11.4907
"2012-09-16",14.6097
"2012-09-17",11.7563
"2012-09-18",19.1107
"2012-09-19",0
"2012-09-20",9.5679
"2012-09-21",18.2207
"2012-09-22",102.0631
"2012-09-23",18.5739
"2012-09-24",43.4661
"2012-09-25",6.7065
"2012-09-26",0
"2012-09-27",1.6543
"2012-09-28",4.6784
"2012-09-29",0
"2012-09-30",0
"2012-10-01",0
"2012-10-02",0
"2012-10-03",0
"2012-10-04",0
"2012-10-05",0
"2012-10-06",0
"2012-10-07",1.6672
"2012-10-08",6.019
"2012-10-09",28.4106
"2012-10-10",22.5075
"2012-10-11",0.1515
"2012-10-12",0
"2012-10-13",0
"2012-10-14",34.4832
"2012-10-15",8.5597
"2012-10-16",35.1022
"2012-10-17",27.3679
"2012-10-18",36.2631
"2012-10-19",15.2802
"2012-10-20",13.8183
"2012-10-21",22.6255
"2012-10-22",25.4205
"2012-10-23",46.551
"2012-10-24",14.3058
"2012-10-25",11.5444
"2012-10-26",5.6119
"2012-10-27",20.8062
"2012-10-28",39.0736
"2012-10-29",47.956
"2012-10-30",53.5258
"2012-10-31",46.3752
"2012-11-01",40.9318
"2012-11-02",5.3438
"2012-11-03",16.176
"2012-11-04",1.2295
"2012-11-05",2.036
"2012-11-06",17.8579
"2012-11-07",10.4087
"2012-11-08",6.5754
"2012-11-09",5.1733
"2012-11-10",18.878
"2012-11-11",14.9194
"2012-11-12",12.7985
"2012-11-13",17.2424
"2012-11-14",10.3051
"2012-11-15",14.7121
"2012-11-16",11.0308
"2012-11-17",0.1877
"2012-11-18",0
"2012-11-19",0
"2012-11-20",16.2367
"2012-11-21",3.0572
"2012-11-22",0.9488
"2012-11-23",20.6893
"2012-11-24",33.6248
"2012-11-25",23.6157
"2012-11-26",20.9412
"2012-11-27",5.6405
"2012-11-28",3.9949
"2012-11-29",25.2741
"2012-11-30",13.7301
"2012-12-01",0
"2012-12-02",0
"2012-12-03",0
"2012-12-04",0
"2012-12-05",0
"2012-12-06",19.2443
"2012-12-07",1.2782
"2012-12-08",1.2198
"2012-12-09",1.0125
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0.2245
"2012-12-13",0
"2012-12-14",2.1848
"2012-12-15",5.6101
"2012-12-16",18.2666
"2012-12-17",70.0844
"2012-12-18",33.2061
"2012-12-19",31.6853
"2012-12-20",2.0372
"2012-12-21",1.3103
"2012-12-22",24.9496
"2012-12-23",11.1536
"2012-12-24",0
"2012-12-25",24.3921
"2012-12-26",24.2529
"2012-12-27",3.2028
"2012-12-28",0
"2012-12-29",5.6551
"2012-12-30",1.5368
"2012-12-31",2.2345
"2013-01-01",0.5642
"2013-01-02",7.7496
"2013-01-03",14.0289
"2013-01-04",7.716
"2013-01-05",9.3098
"2013-01-06",7.9112
"2013-01-07",37.7148
"2013-01-08",0
"2013-01-09",6.998
"2013-01-10",8.2918
"2013-01-11",13.7875
"2013-01-12",0.023
"2013-01-13",1.0722
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",3.5724
"2013-01-21",0
"2013-01-22",0
"2013-01-23",0.6252
"2013-01-24",12.6895
"2013-01-25",2.2682
"2013-01-26",0
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",1.4174
"2013-02-05",0
"2013-02-06",24.3688
"2013-02-07",32.7483
"2013-02-08",11.8493
"2013-02-09",9.541
"2013-02-10",1.9893
"2013-02-11",12.0316
"2013-02-12",37.0548
"2013-02-13",53.7119
"2013-02-14",8.4895
"2013-02-15",3.4143
"2013-02-16",1.4697
"2013-02-17",7.2508
"2013-02-18",7.1818
"2013-02-19",14.2907
"2013-02-20",8.2164
"2013-02-21",4.3869
"2013-02-22",0
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",1.1657
"2013-03-01",5.0129
"2013-03-02",9.3733
"2013-03-03",3.5403
"2013-03-04",25.2586
"2013-03-05",0
"2013-03-06",0
"2013-03-07",6.0502
"2013-03-08",12.0362
"2013-03-09",5.7835
"2013-03-10",3.0991
"2013-03-11",3.7666
"2013-03-12",0
"2013-03-13",1.3337
"2013-03-14",2.3188
"2013-03-15",13.0748
"2013-03-16",13.6884
"2013-03-17",5.9082
"2013-03-18",16.4142
"2013-03-19",7.7992
"2013-03-20",1.6531
"2013-03-21",11.6082
"2013-03-22",1.9559
"2013-03-23",6.5962
"2013-03-24",30.3902
"2013-03-25",27.6329
"2013-03-26",13.5753
"2013-03-27",6.0683
"2013-03-28",1.1416
"2013-03-29",9.1488
"2013-03-30",0
"2013-03-31",7.0401
"2013-04-01",4.1043
"2013-04-02",6.2612
"2013-04-03",0.4072
"2013-04-04",15.0314
"2013-04-05",0.6932
"2013-04-06",0
"2013-04-07",0.0662
"2013-04-08",3.0613
"2013-04-09",12.492
"2013-04-10",8.8201
"2013-04-11",0
"2013-04-12",13.2025
"2013-04-13",10.0883
"2013-04-14",1.9824
"2013-04-15",11.7553
"2013-04-16",0
"2013-04-17",0
"2013-04-18",0
"2013-04-19",0
"2013-04-20",0
"2013-04-21",0
"2013-04-22",6.8959
"2013-04-23",2.605
"2013-04-24",12.7777
"2013-04-25",14.7659
"2013-04-26",5.9336
"2013-04-27",4.6592
"2013-04-28",0.0142
"2013-04-29",1.3593
"2013-04-30",14.4244
"2013-05-01",12.7431
"2013-05-02",9.9968
"2013-05-03",32.3711
"2013-05-04",24.7913
"2013-05-05",19.3335
"2013-05-06",53.9766
"2013-05-07",5.4197
"2013-05-08",8.3573
"2013-05-09",1.8824
"2013-05-10",17.3383
"2013-05-11",2.4632
"2013-05-12",30.3432
"2013-05-13",57.9615
"2013-05-14",0
"2013-05-15",3.6978
"2013-05-16",0
"2013-05-17",0
"2013-05-18",0
"2013-05-19",10.6334
"2013-05-20",53.3131
"2013-05-21",1.5546
"2013-05-22",0.4384
"2013-05-23",0
"2013-05-24",3.5976
"2013-05-25",0
"2013-05-26",0
"2013-05-27",7.8805
"2013-05-28",2.5682
"2013-05-29",0
