,"(mm) Precipitation (CHIRPS) at Ampara, 2007-01-01 to 2025-12-31"
"2010-03-19",0.0687
"2010-03-20",0
"2010-03-21",0
"2010-03-22",0.0783
"2010-03-23",0.1992
"2010-03-24",0.7484
"2010-03-25",0
"2010-03-26",7.0111
"2010-03-27",17.171
"2010-03-28",3.3844
"2010-03-29",1.544
"2010-03-30",1.2997
"2010-03-31",2.3633
"2010-04-01",0
"2010-04-02",0
"2010-04-03",0
"2010-04-04",0
"2010-04-05",4.6336
"2010-04-06",0.5513
"2010-04-07",1.2482
"2010-04-08",2.1847
"2010-04-09",1.8208
"2010-04-10",7.6824
"2010-04-11",0.3227
"2010-04-12",1.7509
"2010-04-13",0.841
"2010-04-14",5.2466
"2010-04-15",0.1638
"2010-04-16",2.5989
"2010-04-17",2.8391
"2010-04-18",0.5703
"2010-04-19",6.5253
"2010-04-20",2.2221
"2010-04-21",6.1878
"2010-04-22",6.1645
"2010-04-23",8.7434
"2010-04-24",8.0215
"2010-04-25",0.3925
"2010-04-26",8.3559
"2010-04-27",2.0211
"2010-04-28",0.4921
"2010-04-29",6.6439
"2010-04-30",11.7678
"2010-05-01",2.5571
"2010-05-02",8.625
"2010-05-03",8.664
"2010-05-04",3.4524
"2010-05-05",2.0084
"2010-05-06",4.0928
"2010-05-07",2.9688
"2010-05-08",3.5611
"2010-05-09",2.7053
"2010-05-10",1.0456
"2010-05-11",0.1623
"2010-05-12",0.1484
"2010-05-13",0.0565
"2010-05-14",3.6134
"2010-05-15",1.5017
"2010-05-16",4.8561
"2010-05-17",10.3173
"2010-05-18",0.9762
"2010-05-19",1.611
"2010-05-20",4.1509
"2010-05-21",1.8279
"2010-05-22",1.779
"2010-05-23",0.9621
"2010-05-24",2.0386
"2010-05-25",0
"2010-05-26",0
"2010-05-27",0
"2010-05-28",0.3702
"2010-05-29",0
"2010-05-30",1.3829
"2010-05-31",0.1241
"2010-06-01",0
"2010-06-02",0.0025
"2010-06-03",0.2279
"2010-06-04",0.0004
"2010-06-05",3.5124
"2010-06-06",1.6675
"2010-06-07",1.8331
"2010-06-08",7.0442
"2010-06-09",0.2829
"2010-06-10",2.1482
"2010-06-11",6.673
"2010-06-12",0
"2010-06-13",0
"2010-06-14",0.2263
"2010-06-15",2.3708
"2010-06-16",1.219
"2010-06-17",1.2359
"2010-06-18",1.0197
"2010-06-19",0.7802
"2010-06-20",2.4619
"2010-06-21",2.6826
"2010-06-22",0.1557
"2010-06-23",1.5503
"2010-06-24",0.1102
"2010-06-25",0
"2010-06-26",0
"2010-06-27",0.0096
"2010-06-28",2.5578
"2010-06-29",0
"2010-06-30",0
"2010-07-01",0
"2010-07-02",0.6798
"2010-07-03",0.0473
"2010-07-04",0
"2010-07-05",4.0487
"2010-07-06",12.8176
"2010-07-07",1.1398
"2010-07-08",0.0067
"2010-07-09",0.0414
"2010-07-10",0.7416
"2010-07-11",3.4106
"2010-07-12",1.3501
"2010-07-13",0.6957
"2010-07-14",0.5416
"2010-07-15",1.3326
"2010-07-16",0.3671
"2010-07-17",0.7308
"2010-07-18",4.0569
"2010-07-19",7.4813
"2010-07-20",2.2212
"2010-07-21",0.1437
"2010-07-22",1.7049
"2010-07-23",2.515
"2010-07-24",0.1069
"2010-07-25",0
"2010-07-26",0.7087
"2010-07-27",2.6691
"2010-07-28",2.0011
"2010-07-29",1.0074
"2010-07-30",1.2194
"2010-07-31",0
"2010-08-01",0
"2010-08-02",1.9836
"2010-08-03",4.1714
"2010-08-04",0.4872
"2010-08-05",0
"2010-08-06",0
"2010-08-07",0.9494
"2010-08-08",0.0464
"2010-08-09",0.0452
"2010-08-10",0.0478
"2010-08-11",0
"2010-08-12",2.6004
"2010-08-13",3.1113
"2010-08-14",5.1835
"2010-08-15",10.9662
"2010-08-16",0.0361
"2010-08-17",0
"2010-08-18",0
"2010-08-19",24.6433
"2010-08-20",18.3926
"2010-08-21",11.9725
"2010-08-22",0
"2010-08-23",0.0339
"2010-08-24",10.8132
"2010-08-25",0
"2010-08-26",6.4717
"2010-08-27",0.0341
"2010-08-28",0
"2010-08-29",11.1098
"2010-08-30",0.4816
"2010-08-31",0.7371
"2010-09-01",0
"2010-09-02",0.94
"2010-09-03",4.562
"2010-09-04",0
"2010-09-05",0
"2010-09-06",0
"2010-09-07",0
"2010-09-08",0.6036
"2010-09-09",2.9451
"2010-09-10",8.7183
"2010-09-11",3.9343
"2010-09-12",1.6971
"2010-09-13",4.8619
"2010-09-14",5.1159
"2010-09-15",0
"2010-09-16",0
"2010-09-17",0
"2010-09-18",0
"2010-09-19",3.5747
"2010-09-20",7.8353
"2010-09-21",7.0431
"2010-09-22",4.8602
"2010-09-23",2.2733
"2010-09-24",5.7257
"2010-09-25",5.8829
"2010-09-26",4.7956
"2010-09-27",8.2452
"2010-09-28",10.098
"2010-09-29",18.7335
"2010-09-30",7.8826
"2010-10-01",14.7788
"2010-10-02",14.7957
"2010-10-03",8.2406
"2010-10-04",0.04
"2010-10-05",0.1318
"2010-10-06",0
"2010-10-07",0.9868
"2010-10-08",0
"2010-10-09",0.9492
"2010-10-10",27.6569
"2010-10-11",0
"2010-10-12",5.7413
"2010-10-13",0.1085
"2010-10-14",0
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",0
"2010-10-19",0.1874
"2010-10-20",0.4118
"2010-10-21",0.1154
"2010-10-22",0
"2010-10-23",0
"2010-10-24",0
"2010-10-25",0.5846
"2010-10-26",1.1026
"2010-10-27",18.7686
"2010-10-28",19.5689
"2010-10-29",2.8127
"2010-10-30",2.4502
"2010-10-31",7.8647
"2010-11-01",17.4618
"2010-11-02",5.5409
"2010-11-03",0.0637
"2010-11-04",8.9353
"2010-11-05",18.1972
"2010-11-06",51.6933
"2010-11-07",7.2665
"2010-11-08",0.4601
"2010-11-09",0.4096
"2010-11-10",1.0446
"2010-11-11",8.5855
"2010-11-12",3.0307
"2010-11-13",0
"2010-11-14",0
"2010-11-15",0.2271
"2010-11-16",0.1651
"2010-11-17",2.2526
"2010-11-18",0.9457
"2010-11-19",33.9412
"2010-11-20",29.0644
"2010-11-21",2.8286
"2010-11-22",32.3366
"2010-11-23",23.6835
"2010-11-24",37.3338
"2010-11-25",9.1971
"2010-11-26",3.6478
"2010-11-27",17.064
"2010-11-28",3.8322
"2010-11-29",3.9046
"2010-11-30",56.3627
"2010-12-01",41.3882
"2010-12-02",46.7568
"2010-12-03",72.2596
"2010-12-04",6.4253
"2010-12-05",14.782
"2010-12-06",0
"2010-12-07",15.0652
"2010-12-08",1.8382
"2010-12-09",15.4599
"2010-12-10",0
"2010-12-11",0.7788
"2010-12-12",0.5105
"2010-12-13",0
"2010-12-14",0
"2010-12-15",0
"2010-12-16",0
"2010-12-17",0
"2010-12-18",0
"2010-12-19",0.3588
"2010-12-20",12.8859
"2010-12-21",15.3878
"2010-12-22",63.8036
"2010-12-23",66.229
"2010-12-24",64.9983
"2010-12-25",79.4613
"2010-12-26",12.5752
"2010-12-27",11.3236
"2010-12-28",24.9179
"2010-12-29",19.2469
"2010-12-30",24.0985
"2010-12-31",16.115
"2011-01-01",17.5449
"2011-01-02",28.5545
"2011-01-03",45.7104
"2011-01-04",55.3729
"2011-01-05",22.5092
"2011-01-06",23.7081
"2011-01-07",26.2999
"2011-01-08",42.4064
"2011-01-09",83.7584
"2011-01-10",68.7161
"2011-01-11",62.0588
"2011-01-12",54.9466
"2011-01-13",0.0495
"2011-01-14",0.1424
"2011-01-15",0
"2011-01-16",0
"2011-01-17",0.1021
"2011-01-18",2.1787
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",6.9073
"2011-01-26",55.9508
"2011-01-27",19.413
"2011-01-28",35.5785
"2011-01-29",11.2264
"2011-01-30",2.4203
"2011-01-31",11.9892
"2011-02-01",101.0663
"2011-02-02",97.8654
"2011-02-03",42.2543
"2011-02-04",39.1121
"2011-02-05",12.9263
"2011-02-06",55.3806
"2011-02-07",61.5249
"2011-02-08",18.9901
"2011-02-09",3.7861
"2011-02-10",31.8084
"2011-02-11",0
"2011-02-12",0.1592
"2011-02-13",0
"2011-02-14",3.4745
"2011-02-15",4.6331
"2011-02-16",0.1523
"2011-02-17",0
"2011-02-18",0.0559
"2011-02-19",0
"2011-02-20",0
"2011-02-21",5.599
"2011-02-22",0
"2011-02-23",0
"2011-02-24",0
"2011-02-25",3.9022
"2011-02-26",11.4238
"2011-02-27",31.3357
"2011-02-28",5.821
"2011-03-01",11.7068
"2011-03-02",2.2232
"2011-03-03",20.1961
"2011-03-04",0.0035
"2011-03-05",2.4736
"2011-03-06",0
"2011-03-07",0
"2011-03-08",0
"2011-03-09",0
"2011-03-10",0
"2011-03-11",0
"2011-03-12",5.1548
"2011-03-13",16.8587
"2011-03-14",6.1072
"2011-03-15",0.586
"2011-03-16",0.1867
"2011-03-17",0
"2011-03-18",0
"2011-03-19",0.1975
"2011-03-20",0.3816
"2011-03-21",0.7412
"2011-03-22",6.3191
"2011-03-23",2.4395
"2011-03-24",11.7636
"2011-03-25",2.8842
"2011-03-26",0.7907
"2011-03-27",0.3157
"2011-03-28",0.3563
"2011-03-29",0.0044
"2011-03-30",0.6965
"2011-03-31",0
"2011-04-01",0
"2011-04-02",0
"2011-04-03",0
"2011-04-04",0.0434
"2011-04-05",0
"2011-04-06",0
"2011-04-07",0.0185
"2011-04-08",1.2992
"2011-04-09",1.4322
"2011-04-10",0.3283
"2011-04-11",10.3144
"2011-04-12",6.643
"2011-04-13",1.0713
"2011-04-14",8.9025
"2011-04-15",5.9651
"2011-04-16",5.9623
"2011-04-17",8.4992
"2011-04-18",3.0125
"2011-04-19",11.9217
"2011-04-20",8.2595
"2011-04-21",9.9377
"2011-04-22",13.6785
"2011-04-23",18.5917
"2011-04-24",23.0828
"2011-04-25",13.8169
"2011-04-26",17.9414
"2011-04-27",19.3306
"2011-04-28",13.8136
"2011-04-29",0.3303
"2011-04-30",10.8889
"2011-05-01",5.0461
"2011-05-02",2.1018
"2011-05-03",0.5323
"2011-05-04",5.4259
"2011-05-05",1.3229
"2011-05-06",0.6384
"2011-05-07",0
"2011-05-08",0
"2011-05-09",0.3665
"2011-05-10",0.0003
"2011-05-11",0.5055
"2011-05-12",0.6378
"2011-05-13",3.6612
"2011-05-14",0
"2011-05-15",1.7204
"2011-05-16",0
"2011-05-17",0
"2011-05-18",0.8158
"2011-05-19",0
"2011-05-20",0.5138
"2011-05-21",4.1571
"2011-05-22",2.1223
"2011-05-23",6.7728
"2011-05-24",2.4733
"2011-05-25",0.8479
"2011-05-26",4.5149
"2011-05-27",3.9745
"2011-05-28",1.058
"2011-05-29",0
"2011-05-30",0
"2011-05-31",0
"2011-06-01",0.6336
"2011-06-02",4.3384
"2011-06-03",0
"2011-06-04",0.0304
"2011-06-05",0.0669
"2011-06-06",1.8835
"2011-06-07",1.9175
"2011-06-08",0
"2011-06-09",0
"2011-06-10",0
"2011-06-11",0
"2011-06-12",0
"2011-06-13",0
"2011-06-14",0.0831
"2011-06-15",2.4388
"2011-06-16",0
"2011-06-17",0
"2011-06-18",0
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0
"2011-06-26",0
"2011-06-27",0.0005
"2011-06-28",0.2297
"2011-06-29",0.0658
"2011-06-30",0
"2011-07-01",0.7876
"2011-07-02",0.1106
"2011-07-03",0
"2011-07-04",0.2186
"2011-07-05",1.0191
"2011-07-06",0.329
"2011-07-07",0
"2011-07-08",2.1527
"2011-07-09",1.4231
"2011-07-10",0.7866
"2011-07-11",1.7655
"2011-07-12",3.5226
"2011-07-13",0.0035
"2011-07-14",0.1398
"2011-07-15",0
"2011-07-16",0.0707
"2011-07-17",0.1202
"2011-07-18",0.1784
"2011-07-19",0.0211
"2011-07-20",1.0036
"2011-07-21",0
"2011-07-22",0
"2011-07-23",1.2919
"2011-07-24",0.1848
"2011-07-25",11.484
"2011-07-26",3.1786
"2011-07-27",0
"2011-07-28",0.1487
"2011-07-29",0.2099
"2011-07-30",0.6282
"2011-07-31",0.3593
"2011-08-01",0
"2011-08-02",0
"2011-08-03",2.2744
"2011-08-04",0.3098
"2011-08-05",4.3867
"2011-08-06",0
"2011-08-07",0
"2011-08-08",0.0174
"2011-08-09",0.0365
"2011-08-10",1.4785
"2011-08-11",0
"2011-08-12",0
"2011-08-13",0.6486
"2011-08-14",3.9758
"2011-08-15",13.4627
"2011-08-16",1.362
"2011-08-17",23.6165
"2011-08-18",0
"2011-08-19",0
"2011-08-20",0
"2011-08-21",0
"2011-08-22",4.5154
"2011-08-23",2.8673
"2011-08-24",1.2689
"2011-08-25",0.4797
"2011-08-26",0.0024
"2011-08-27",6.0647
"2011-08-28",1.6565
"2011-08-29",0
"2011-08-30",1.495
"2011-08-31",0.4234
"2011-09-01",0
"2011-09-02",0
"2011-09-03",0
"2011-09-04",0.007
"2011-09-05",1.3102
"2011-09-06",9.6281
"2011-09-07",0
"2011-09-08",1.858
"2011-09-09",2.4216
"2011-09-10",3.9382
"2011-09-11",0.3824
"2011-09-12",20.2377
"2011-09-13",5.5276
"2011-09-14",6.4965
"2011-09-15",0
"2011-09-16",1.2988
"2011-09-17",0.3255
"2011-09-18",0
"2011-09-19",0.1395
"2011-09-20",0
"2011-09-21",0.0279
"2011-09-22",1.2893
"2011-09-23",0
"2011-09-24",0
"2011-09-25",0
"2011-09-26",0.2712
"2011-09-27",0.072
"2011-09-28",0.0081
"2011-09-29",2.372
"2011-09-30",0.8923
"2011-10-01",0.5628
"2011-10-02",0.0051
"2011-10-03",1.4641
"2011-10-04",10.2279
"2011-10-05",2.6404
"2011-10-06",4.5686
"2011-10-07",0
"2011-10-08",0.5461
"2011-10-09",1.3197
"2011-10-10",1.8553
"2011-10-11",6.1902
"2011-10-12",6.876
"2011-10-13",0.736
"2011-10-14",8.3451
"2011-10-15",6.0308
"2011-10-16",1.354
"2011-10-17",0.8784
"2011-10-18",2.9645
"2011-10-19",3.9041
"2011-10-20",1.572
"2011-10-21",0.9892
"2011-10-22",15.9524
"2011-10-23",12.0554
"2011-10-24",22.2612
"2011-10-25",15.2017
"2011-10-26",9.1839
"2011-10-27",8.2969
"2011-10-28",38.782
"2011-10-29",30.0669
"2011-10-30",24.5885
"2011-10-31",0.6665
"2011-11-01",4.1342
"2011-11-02",9.9234
"2011-11-03",2.7071
"2011-11-04",1.5638
"2011-11-05",7.06
"2011-11-06",2.1863
"2011-11-07",0.1647
"2011-11-08",0.0073
"2011-11-09",0
"2011-11-10",0.4739
"2011-11-11",0.0011
"2011-11-12",0
"2011-11-13",0
"2011-11-14",0
"2011-11-15",0
"2011-11-16",0
"2011-11-17",1.179
"2011-11-18",1.8739
"2011-11-19",10.713
"2011-11-20",30.0439
"2011-11-21",29.2871
"2011-11-22",19.8691
"2011-11-23",38.0627
"2011-11-24",29.5141
"2011-11-25",35.8209
"2011-11-26",13.1848
"2011-11-27",5.9787
"2011-11-28",9.3232
"2011-11-29",0.3411
"2011-11-30",12.0226
"2011-12-01",8.4026
"2011-12-02",0
"2011-12-03",0.315
"2011-12-04",0
"2011-12-05",0
"2011-12-06",0
"2011-12-07",0
"2011-12-08",0
"2011-12-09",2.1647
"2011-12-10",6.9785
"2011-12-11",13.3581
"2011-12-12",8.8941
"2011-12-13",27.1968
"2011-12-14",16.778
"2011-12-15",18.3816
"2011-12-16",12.2311
"2011-12-17",0.5649
"2011-12-18",13.4326
"2011-12-19",38.6494
"2011-12-20",33.1427
"2011-12-21",21.9345
"2011-12-22",24.9552
"2011-12-23",57.7261
"2011-12-24",10.2555
"2011-12-25",0.1455
"2011-12-26",0.0741
"2011-12-27",14.523
"2011-12-28",4.7488
"2011-12-29",0
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",0.16
"2012-01-05",4.6416
"2012-01-06",54.9056
"2012-01-07",0.5674
"2012-01-08",0.3458
"2012-01-09",0.1111
"2012-01-10",0
"2012-01-11",0
"2012-01-12",0
"2012-01-13",0
"2012-01-14",0
"2012-01-15",0.4303
"2012-01-16",0
"2012-01-17",0.0879
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",0
"2012-01-22",0.0832
"2012-01-23",6.1595
"2012-01-24",7.1023
"2012-01-25",0
"2012-01-26",0
"2012-01-27",0
"2012-01-28",0
"2012-01-29",0
"2012-01-30",0
"2012-01-31",0
"2012-02-01",0.0105
"2012-02-02",0.0747
"2012-02-03",0
"2012-02-04",0.5458
"2012-02-05",25.4006
"2012-02-06",23.8561
"2012-02-07",19.8273
"2012-02-08",19.3797
"2012-02-09",7.6275
"2012-02-10",1.2776
"2012-02-11",0
"2012-02-12",0
"2012-02-13",0.1473
"2012-02-14",78.7898
"2012-02-15",17.4582
"2012-02-16",2.8338
"2012-02-17",0
"2012-02-18",0
"2012-02-19",0
"2012-02-20",0
"2012-02-21",0
"2012-02-22",3.737
"2012-02-23",0.5127
"2012-02-24",6.5683
"2012-02-25",0
"2012-02-26",0
"2012-02-27",8.7464
"2012-02-28",10.1821
"2012-02-29",0
"2012-03-01",0
"2012-03-02",0
"2012-03-03",0
"2012-03-04",0.2264
"2012-03-05",0
"2012-03-06",0
"2012-03-07",0.2993
"2012-03-08",0
"2012-03-09",0.4494
"2012-03-10",0
"2012-03-11",1.657
"2012-03-12",0
"2012-03-13",0
"2012-03-14",0.9076
"2012-03-15",1.1509
"2012-03-16",0.2859
"2012-03-17",0
"2012-03-18",0
"2012-03-19",0
"2012-03-20",0
"2012-03-21",0
"2012-03-22",0
"2012-03-23",0
"2012-03-24",0
"2012-03-25",0
"2012-03-26",0
"2012-03-27",0.0575
"2012-03-28",14.7591
"2012-03-29",18.3739
"2012-03-30",6.3822
"2012-03-31",4.4304
"2012-04-01",5.3671
"2012-04-02",4.3952
"2012-04-03",12.9103
"2012-04-04",7.4618
"2012-04-05",1.6884
"2012-04-06",5.0533
"2012-04-07",0.7204
"2012-04-08",6.3702
"2012-04-09",2.2658
"2012-04-10",9.5989
"2012-04-11",3.2113
"2012-04-12",7.5371
"2012-04-13",5.2674
"2012-04-14",11.792
"2012-04-15",8.6079
"2012-04-16",7.1038
"2012-04-17",6.1377
"2012-04-18",0.2701
"2012-04-19",9.1669
"2012-04-20",0.6574
"2012-04-21",0.2942
"2012-04-22",7.6355
"2012-04-23",12.8681
"2012-04-24",1.5142
"2012-04-25",0.9795
"2012-04-26",1.3111
"2012-04-27",0.5324
"2012-04-28",1.0526
"2012-04-29",0.3624
"2012-04-30",1.8498
"2012-05-01",0
"2012-05-02",0
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0
"2012-05-06",0
"2012-05-07",5.0788
"2012-05-08",0.2627
"2012-05-09",4.0939
"2012-05-10",0.2214
"2012-05-11",0.2354
"2012-05-12",0.4579
"2012-05-13",0
"2012-05-14",0
"2012-05-15",0
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0
"2012-05-19",0
"2012-05-20",0
"2012-05-21",1.559
"2012-05-22",0
"2012-05-23",0
"2012-05-24",0.4162
"2012-05-25",1.8929
"2012-05-26",1.2905
"2012-05-27",0.4261
"2012-05-28",0
"2012-05-29",0.0881
"2012-05-30",1.1324
"2012-05-31",0
"2012-06-01",0
"2012-06-02",0
"2012-06-03",0.0263
"2012-06-04",0
"2012-06-05",0
"2012-06-06",2.1453
"2012-06-07",0.5359
"2012-06-08",0.0229
"2012-06-09",1.4495
"2012-06-10",0.0372
"2012-06-11",0.0713
"2012-06-12",0
"2012-06-13",0
"2012-06-14",0
"2012-06-15",0.0196
"2012-06-16",0
"2012-06-17",2.536
"2012-06-18",2.2762
"2012-06-19",0.2151
"2012-06-20",0.0074
"2012-06-21",1.558
"2012-06-22",0
"2012-06-23",0.2434
"2012-06-24",0.7263
"2012-06-25",1.6994
"2012-06-26",0
"2012-06-27",0.987
"2012-06-28",0
"2012-06-29",0.0193
"2012-06-30",0.4208
"2012-07-01",0.5665
"2012-07-02",4.1671
"2012-07-03",0
"2012-07-04",0
"2012-07-05",0
"2012-07-06",0.1467
"2012-07-07",0.2623
"2012-07-08",0.5231
"2012-07-09",1.3637
"2012-07-10",0.6854
"2012-07-11",0
"2012-07-12",2.4141
"2012-07-13",6.9983
"2012-07-14",10.1544
"2012-07-15",3.0332
"2012-07-16",1.1384
"2012-07-17",0.9076
"2012-07-18",0.2664
"2012-07-19",0
"2012-07-20",0.029
"2012-07-21",0.0007
"2012-07-22",0
"2012-07-23",0.0052
"2012-07-24",0
"2012-07-25",0.0117
"2012-07-26",0
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0
"2012-07-30",0
"2012-07-31",0
"2012-08-01",0
"2012-08-02",0.0118
"2012-08-03",1.2221
"2012-08-04",0.0503
"2012-08-05",2.4676
"2012-08-06",2.2039
"2012-08-07",2.0315
"2012-08-08",0.0131
"2012-08-09",0.0798
"2012-08-10",0.0873
"2012-08-11",1.2611
"2012-08-12",2.2959
"2012-08-13",1.1939
"2012-08-14",1.8273
"2012-08-15",0.9152
"2012-08-16",1.8244
"2012-08-17",0.1208
"2012-08-18",0.0231
"2012-08-19",0
"2012-08-20",0
"2012-08-21",2.6154
"2012-08-22",0.6917
"2012-08-23",0.0631
"2012-08-24",5.0468
"2012-08-25",0.4895
"2012-08-26",0.2393
"2012-08-27",0.8404
"2012-08-28",6.5079
"2012-08-29",4.4355
"2012-08-30",0.4518
"2012-08-31",2.46
"2012-09-01",4.9272
"2012-09-02",1.008
"2012-09-03",0
"2012-09-04",1.0089
"2012-09-05",0
"2012-09-06",0.1281
"2012-09-07",2.8913
"2012-09-08",3.2517
"2012-09-09",0
"2012-09-10",3.1154
"2012-09-11",0.4342
"2012-09-12",1.5967
"2012-09-13",0
"2012-09-14",0
"2012-09-15",0.124
"2012-09-16",2.8383
"2012-09-17",0.9081
"2012-09-18",1.3367
"2012-09-19",1.0376
"2012-09-20",4.109
"2012-09-21",1.8572
"2012-09-22",3.2066
"2012-09-23",2.783
"2012-09-24",1.0456
"2012-09-25",2.705
"2012-09-26",3.1025
"2012-09-27",6.125
"2012-09-28",2.0575
"2012-09-29",0.0177
"2012-09-30",0
"2012-10-01",0
"2012-10-02",0
"2012-10-03",0
"2012-10-04",0.0355
"2012-10-05",0
"2012-10-06",0
"2012-10-07",1.6454
"2012-10-08",6.019
"2012-10-09",8.6686
"2012-10-10",7.4033
"2012-10-11",1.5088
"2012-10-12",1.0212
"2012-10-13",3.5535
"2012-10-14",10.029
"2012-10-15",7.3164
"2012-10-16",25.2868
"2012-10-17",14.7904
"2012-10-18",16.3435
"2012-10-19",10.7286
"2012-10-20",3.3722
"2012-10-21",1.0512
"2012-10-22",13.1783
"2012-10-23",15.0736
"2012-10-24",1.3282
"2012-10-25",1.1537
"2012-10-26",0.4082
"2012-10-27",9.0141
"2012-10-28",21.9455
"2012-10-29",37.7147
"2012-10-30",38.7095
"2012-10-31",28.4548
"2012-11-01",21.2742
"2012-11-02",0.0445
"2012-11-03",8.2093
"2012-11-04",0.2384
"2012-11-05",6.4805
"2012-11-06",0.0837
"2012-11-07",3.2153
"2012-11-08",0.9021
"2012-11-09",2.0534
"2012-11-10",12.9691
"2012-11-11",15.7517
"2012-11-12",14.7188
"2012-11-13",7.4638
"2012-11-14",2.3363
"2012-11-15",16.9606
"2012-11-16",1.4594
"2012-11-17",0
"2012-11-18",0
"2012-11-19",0
"2012-11-20",0
"2012-11-21",0
"2012-11-22",0
"2012-11-23",1.3166
"2012-11-24",2.2868
"2012-11-25",31.6275
"2012-11-26",17.4666
"2012-11-27",13.9819
"2012-11-28",5.4341
"2012-11-29",30.4661
"2012-11-30",1.1339
"2012-12-01",0
"2012-12-02",0
"2012-12-03",0
"2012-12-04",0
"2012-12-05",0
"2012-12-06",36.6699
"2012-12-07",1.0518
"2012-12-08",6.0442
"2012-12-09",12.4876
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0
"2012-12-13",0
"2012-12-14",1.0172
"2012-12-15",43.5272
"2012-12-16",65.8682
"2012-12-17",131.0381
"2012-12-18",85.5315
"2012-12-19",64.6057
"2012-12-20",15.0585
"2012-12-21",30.736
"2012-12-22",75.3805
"2012-12-23",38.1243
"2012-12-24",6.0855
"2012-12-25",0.1262
"2012-12-26",0.5616
"2012-12-27",1.8292
"2012-12-28",0
"2012-12-29",0
"2012-12-30",5.8536
"2012-12-31",1.3106
"2013-01-01",18.2773
"2013-01-02",20.8238
"2013-01-03",31.15
"2013-01-04",39.3705
"2013-01-05",22.6048
"2013-01-06",34.6739
"2013-01-07",70.9955
"2013-01-08",0.914
"2013-01-09",7.9338
"2013-01-10",59.2915
"2013-01-11",8.1589
"2013-01-12",2.3511
"2013-01-13",9.0879
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",0
"2013-01-21",0
"2013-01-22",0
"2013-01-23",12.0749
"2013-01-24",49.3803
"2013-01-25",43.6967
"2013-01-26",0
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",18.4176
"2013-02-05",7.0786
"2013-02-06",26.6971
"2013-02-07",36.7766
"2013-02-08",36.2356
"2013-02-09",0.0842
"2013-02-10",0
"2013-02-11",39.6495
"2013-02-12",85.9375
"2013-02-13",49.5112
"2013-02-14",27.5686
"2013-02-15",11.8799
"2013-02-16",0.5165
"2013-02-17",3.4927
"2013-02-18",0.8243
"2013-02-19",0
"2013-02-20",0
"2013-02-21",0
"2013-02-22",0
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",0
"2013-03-01",0
"2013-03-02",0
"2013-03-03",52.6879
"2013-03-04",47.1055
"2013-03-05",1.4979
"2013-03-06",2.0756
"2013-03-07",0.3124
"2013-03-08",7.1533
"2013-03-09",6.4644
"2013-03-10",0
"2013-03-11",0.4849
"2013-03-12",3.0047
"2013-03-13",7.8378
"2013-03-14",17.8322
"2013-03-15",22.726
"2013-03-16",0.8761
"2013-03-17",0
"2013-03-18",0
"2013-03-19",0.0161
"2013-03-20",0
"2013-03-21",3.1755
"2013-03-22",1.5338
"2013-03-23",6.9648
"2013-03-24",21.6995
"2013-03-25",19.9474
"2013-03-26",14.4891
"2013-03-27",1.0077
"2013-03-28",0.3865
"2013-03-29",0
"2013-03-30",0
"2013-03-31",0.1042
"2013-04-01",2.3651
"2013-04-02",5.5245
"2013-04-03",0.5747
"2013-04-04",3.4186
"2013-04-05",0
"2013-04-06",0.0598
"2013-04-07",0
"2013-04-08",0
"2013-04-09",0
"2013-04-10",0.3925
"2013-04-11",1.0431
"2013-04-12",0.6868
"2013-04-13",7.98
"2013-04-14",4.1972
"2013-04-15",6.4887
"2013-04-16",0
"2013-04-17",0
"2013-04-18",1.3265
"2013-04-19",2.7291
"2013-04-20",0.9158
"2013-04-21",1.3655
"2013-04-22",0.9349
"2013-04-23",0.1299
"2013-04-24",0.5853
"2013-04-25",9.7252
"2013-04-26",0.2557
"2013-04-27",1.6868
"2013-04-28",4.0313
"2013-04-29",0.6361
"2013-04-30",1.6467
"2013-05-01",0.8962
"2013-05-02",3.2108
"2013-05-03",3.4319
"2013-05-04",3.2087
"2013-05-05",2.6934
"2013-05-06",7.5452
"2013-05-07",0.0252
"2013-05-08",3.9173
"2013-05-09",0
"2013-05-10",6.2485
"2013-05-11",7.1377
"2013-05-12",11.8319
"2013-05-13",7.8975
"2013-05-14",0.0124
"2013-05-15",2.0871
