,"(mm) Precipitation (CHIRPS) at Monaragala, 2007-01-01 to 2025-12-31"
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0.0852
"2010-03-06",1.3277
"2010-03-07",0
"2010-03-08",0
"2010-03-09",0.0214
"2010-03-10",0
"2010-03-11",0
"2010-03-12",3.9886
"2010-03-13",5.6871
"2010-03-14",1.7765
"2010-03-15",0.3438
"2010-03-16",0
"2010-03-17",0
"2010-03-18",0.9324
"2010-03-19",1.0034
"2010-03-20",0
"2010-03-21",6.8147
"2010-03-22",0
"2010-03-23",3.0708
"2010-03-24",2.0874
"2010-03-25",0
"2010-03-26",16.7721
"2010-03-27",16.6994
"2010-03-28",3.2349
"2010-03-29",6.5215
"2010-03-30",6.5669
"2010-03-31",1.0396
"2010-04-01",0.8137
"2010-04-02",0
"2010-04-03",0
"2010-04-04",0.3128
"2010-04-05",9.2246
"2010-04-06",0.0363
"2010-04-07",2.7999
"2010-04-08",8.9017
"2010-04-09",1.0829
"2010-04-10",11.239
"2010-04-11",0.3814
"2010-04-12",2.7335
"2010-04-13",5.8776
"2010-04-14",12.9901
"2010-04-15",0.7705
"2010-04-16",8.4612
"2010-04-17",6.4464
"2010-04-18",4.5067
"2010-04-19",4.813
"2010-04-20",8.0615
"2010-04-21",12.042
"2010-04-22",13.6791
"2010-04-23",13.9073
"2010-04-24",14.0718
"2010-04-25",8.0888
"2010-04-26",12.2789
"2010-04-27",5.7622
"2010-04-28",0.6208
"2010-04-29",7.0744
"2010-04-30",14.5694
"2010-05-01",3.6357
"2010-05-02",19.3953
"2010-05-03",15.9137
"2010-05-04",11.8878
"2010-05-05",5.0881
"2010-05-06",9.7921
"2010-05-07",9.1634
"2010-05-08",5.7135
"2010-05-09",15.081
"2010-05-10",1.2239
"2010-05-11",0.9217
"2010-05-12",4.1141
"2010-05-13",0.9489
"2010-05-14",5.1838
"2010-05-15",7.4114
"2010-05-16",6.4762
"2010-05-17",21.904
"2010-05-18",4.0661
"2010-05-19",8.1007
"2010-05-20",18.4241
"2010-05-21",0.3043
"2010-05-22",0.2971
"2010-05-23",2.9231
"2010-05-24",0.0518
"2010-05-25",0
"2010-05-26",0
"2010-05-27",0
"2010-05-28",2.4272
"2010-05-29",0
"2010-05-30",0.6006
"2010-05-31",0.0573
"2010-06-01",0
"2010-06-02",0.1504
"2010-06-03",0.3897
"2010-06-04",0.0201
"2010-06-05",2.104
"2010-06-06",2.4217
"2010-06-07",3.5181
"2010-06-08",8.9097
"2010-06-09",0.2522
"2010-06-10",1.5603
"2010-06-11",11.0711
"2010-06-12",0.0041
"2010-06-13",0.1759
"2010-06-14",0.5227
"2010-06-15",2.412
"2010-06-16",0.6062
"2010-06-17",1.941
"2010-06-18",1.6769
"2010-06-19",0
"2010-06-20",1.2276
"2010-06-21",1.8032
"2010-06-22",0.0027
"2010-06-23",3.1563
"2010-06-24",0
"2010-06-25",0
"2010-06-26",0
"2010-06-27",1.4845
"2010-06-28",0.8051
"2010-06-29",0
"2010-06-30",0
"2010-07-01",0
"2010-07-02",2.5854
"2010-07-03",0.0279
"2010-07-04",0
"2010-07-05",4.7241
"2010-07-06",13.737
"2010-07-07",1.0258
"2010-07-08",0.3541
"2010-07-09",0.0856
"2010-07-10",0.1501
"2010-07-11",0.4913
"2010-07-12",0.3684
"2010-07-13",1.5827
"2010-07-14",1.1049
"2010-07-15",2.4793
"2010-07-16",3.0814
"2010-07-17",2.0518
"2010-07-18",3.1177
"2010-07-19",9.3022
"2010-07-20",0.2707
"2010-07-21",0
"2010-07-22",1.7351
"2010-07-23",1.8343
"2010-07-24",0.0782
"2010-07-25",0
"2010-07-26",0.946
"2010-07-27",1.6545
"2010-07-28",1.5804
"2010-07-29",1.5383
"2010-07-30",0.8899
"2010-07-31",0
"2010-08-01",0
"2010-08-02",1.4875
"2010-08-03",6.2868
"2010-08-04",0.0639
"2010-08-05",0
"2010-08-06",0
"2010-08-07",1.0463
"2010-08-08",0.5464
"2010-08-09",0.068
"2010-08-10",0.1772
"2010-08-11",1.8993
"2010-08-12",1.2794
"2010-08-13",0.4556
"2010-08-14",5.4267
"2010-08-15",8.2152
"2010-08-16",0.6688
"2010-08-17",0
"2010-08-18",0
"2010-08-19",24.1375
"2010-08-20",17.4253
"2010-08-21",15.7674
"2010-08-22",0
"2010-08-23",0.0573
"2010-08-24",7.5119
"2010-08-25",0
"2010-08-26",1.2145
"2010-08-27",0.1676
"2010-08-28",0
"2010-08-29",6.8187
"2010-08-30",0
"2010-08-31",0.3854
"2010-09-01",0
"2010-09-02",2.1517
"2010-09-03",1.7118
"2010-09-04",0
"2010-09-05",0
"2010-09-06",0
"2010-09-07",0.0198
"2010-09-08",0.0581
"2010-09-09",1.6355
"2010-09-10",5.3502
"2010-09-11",2.7087
"2010-09-12",1.0612
"2010-09-13",1.5275
"2010-09-14",3.2381
"2010-09-15",0.0603
"2010-09-16",0
"2010-09-17",0.0043
"2010-09-18",0
"2010-09-19",1.4633
"2010-09-20",7.1473
"2010-09-21",7.1226
"2010-09-22",8.4752
"2010-09-23",3.1204
"2010-09-24",5.5697
"2010-09-25",5.0115
"2010-09-26",3.7981
"2010-09-27",6.3737
"2010-09-28",11.1818
"2010-09-29",15.8017
"2010-09-30",4.1132
"2010-10-01",28.7047
"2010-10-02",19.9547
"2010-10-03",4.557
"2010-10-04",1.4063
"2010-10-05",0
"2010-10-06",0
"2010-10-07",1.5491
"2010-10-08",2.8195
"2010-10-09",3.2436
"2010-10-10",35.1605
"2010-10-11",0.0257
"2010-10-12",4.8757
"2010-10-13",0.0018
"2010-10-14",0.1678
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",0.1193
"2010-10-19",2.3738
"2010-10-20",1.0222
"2010-10-21",0
"2010-10-22",0
"2010-10-23",0
"2010-10-24",0
"2010-10-25",3.8928
"2010-10-26",2.4621
"2010-10-27",19.8183
"2010-10-28",19.5684
"2010-10-29",6.1159
"2010-10-30",1.7374
"2010-10-31",6.4552
"2010-11-01",16.6169
"2010-11-02",1.0503
"2010-11-03",2.4841
"2010-11-04",10.3922
"2010-11-05",11.491
"2010-11-06",45.5757
"2010-11-07",8.6022
"2010-11-08",0
"2010-11-09",4.4388
"2010-11-10",15.247
"2010-11-11",12.3981
"2010-11-12",8.308
"2010-11-13",6.664
"2010-11-14",0
"2010-11-15",10.7584
"2010-11-16",4.0495
"2010-11-17",3.7274
"2010-11-18",5.0895
"2010-11-19",26.0838
"2010-11-20",30.2631
"2010-11-21",10.3499
"2010-11-22",46.2972
"2010-11-23",31.9485
"2010-11-24",16.008
"2010-11-25",9.6619
"2010-11-26",8.7615
"2010-11-27",16.1972
"2010-11-28",11.7012
"2010-11-29",3.3519
"2010-11-30",53.2014
"2010-12-01",31.6926
"2010-12-02",49.6257
"2010-12-03",63.1239
"2010-12-04",6.9389
"2010-12-05",5.8493
"2010-12-06",0
"2010-12-07",18.4255
"2010-12-08",0.5815
"2010-12-09",34.7491
"2010-12-10",0
"2010-12-11",4.382
"2010-12-12",0
"2010-12-13",0
"2010-12-14",0
"2010-12-15",0
"2010-12-16",0
"2010-12-17",0
"2010-12-18",0.0242
"2010-12-19",0.1297
"2010-12-20",8.0299
"2010-12-21",9.7562
"2010-12-22",33.4838
"2010-12-23",43.9273
"2010-12-24",37.0298
"2010-12-25",38.4409
"2010-12-26",5.4628
"2010-12-27",6.0086
"2010-12-28",15.267
"2010-12-29",12.016
"2010-12-30",23.0723
"2010-12-31",13.9598
"2011-01-01",13.495
"2011-01-02",11.7596
"2011-01-03",29.8954
"2011-01-04",40.2209
"2011-01-05",19.5396
"2011-01-06",17.544
"2011-01-07",21.3283
"2011-01-08",36.8709
"2011-01-09",60.364
"2011-01-10",50.1819
"2011-01-11",41.739
"2011-01-12",39.4422
"2011-01-13",0.2171
"2011-01-14",0
"2011-01-15",0.3469
"2011-01-16",0
"2011-01-17",0
"2011-01-18",0.2254
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",2.7559
"2011-01-26",38.1961
"2011-01-27",18.4317
"2011-01-28",27.1438
"2011-01-29",5.3779
"2011-01-30",2.193
"2011-01-31",14.1203
"2011-02-01",76.8139
"2011-02-02",68.8087
"2011-02-03",14.2695
"2011-02-04",13.3055
"2011-02-05",4.0884
"2011-02-06",30.5235
"2011-02-07",43.9692
"2011-02-08",3.6408
"2011-02-09",0.4358
"2011-02-10",18.5518
"2011-02-11",0
"2011-02-12",0.0696
"2011-02-13",0
"2011-02-14",0.2447
"2011-02-15",7.3946
"2011-02-16",3.9855
"2011-02-17",0
"2011-02-18",0.0177
"2011-02-19",1.7992
"2011-02-20",0.1344
"2011-02-21",2.5429
"2011-02-22",0.5689
"2011-02-23",0
"2011-02-24",0
"2011-02-25",5.8012
"2011-02-26",9.1216
"2011-02-27",9.863
"2011-02-28",6.0229
"2011-03-01",5.8772
"2011-03-02",4.9845
"2011-03-03",24.6193
"2011-03-04",0.0073
"2011-03-05",3.0687
"2011-03-06",0
"2011-03-07",0
"2011-03-08",0
"2011-03-09",0
"2011-03-10",0
"2011-03-11",0.0228
"2011-03-12",6.6092
"2011-03-13",21.1535
"2011-03-14",3.0866
"2011-03-15",1.8426
"2011-03-16",0.1751
"2011-03-17",0
"2011-03-18",0
"2011-03-19",3.8082
"2011-03-20",5.2333
"2011-03-21",5.3003
"2011-03-22",6.9397
"2011-03-23",6.3775
"2011-03-24",8.0419
"2011-03-25",4.525
"2011-03-26",6.3049
"2011-03-27",12.5862
"2011-03-28",6.3159
"2011-03-29",9.0078
"2011-03-30",1.1675
"2011-03-31",0
"2011-04-01",0
"2011-04-02",0
"2011-04-03",0
"2011-04-04",2.5169
"2011-04-05",0
"2011-04-06",0
"2011-04-07",3.2169
"2011-04-08",7.9006
"2011-04-09",12.9301
"2011-04-10",0.2818
"2011-04-11",12.6558
"2011-04-12",10.0019
"2011-04-13",7.3281
"2011-04-14",12.0825
"2011-04-15",12.2907
"2011-04-16",7.2647
"2011-04-17",12.6836
"2011-04-18",0.8004
"2011-04-19",14.1718
"2011-04-20",7.1809
"2011-04-21",4.6054
"2011-04-22",15.2708
"2011-04-23",20.4343
"2011-04-24",22.0385
"2011-04-25",8.6349
"2011-04-26",28.2049
"2011-04-27",24.5785
"2011-04-28",20.6428
"2011-04-29",0.1412
"2011-04-30",15.8559
"2011-05-01",3.2749
"2011-05-02",2.1507
"2011-05-03",0.6019
"2011-05-04",2.9691
"2011-05-05",1.716
"2011-05-06",1.2924
"2011-05-07",0.0149
"2011-05-08",0
"2011-05-09",0.0024
"2011-05-10",0.0238
"2011-05-11",2.742
"2011-05-12",0.9473
"2011-05-13",7.0533
"2011-05-14",0.2148
"2011-05-15",7.4371
"2011-05-16",0
"2011-05-17",0
"2011-05-18",0.719
"2011-05-19",0
"2011-05-20",0.0205
"2011-05-21",3.2928
"2011-05-22",1.1666
"2011-05-23",15.4123
"2011-05-24",4.2067
"2011-05-25",8.207
"2011-05-26",6.7789
"2011-05-27",2.6692
"2011-05-28",2.4495
"2011-05-29",0
"2011-05-30",0
"2011-05-31",0
"2011-06-01",0
"2011-06-02",5.2711
"2011-06-03",0
"2011-06-04",0
"2011-06-05",0.0448
"2011-06-06",1.6893
"2011-06-07",1.7361
"2011-06-08",0.0002
"2011-06-09",0
"2011-06-10",0
"2011-06-11",0
"2011-06-12",0
"2011-06-13",0
"2011-06-14",0.5218
"2011-06-15",6.2223
"2011-06-16",0
"2011-06-17",0
"2011-06-18",0
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0.0486
"2011-06-26",0.0152
"2011-06-27",0.1186
"2011-06-28",0.1339
"2011-06-29",0.5497
"2011-06-30",0.0282
"2011-07-01",0.98
"2011-07-02",1.7947
"2011-07-03",0
"2011-07-04",0.3308
"2011-07-05",1.3416
"2011-07-06",2.6723
"2011-07-07",0
"2011-07-08",1.6766
"2011-07-09",1.6669
"2011-07-10",0.5768
"2011-07-11",4.2498
"2011-07-12",1.7334
"2011-07-13",0
"2011-07-14",0.3977
"2011-07-15",0.0479
"2011-07-16",0.2586
"2011-07-17",0.6773
"2011-07-18",0.3657
"2011-07-19",0.1162
"2011-07-20",4.8449
"2011-07-21",0
"2011-07-22",0
"2011-07-23",0.0032
"2011-07-24",0.9255
"2011-07-25",8.7748
"2011-07-26",5.6291
"2011-07-27",0
"2011-07-28",1.3473
"2011-07-29",0.0183
"2011-07-30",0.8237
"2011-07-31",0.0213
"2011-08-01",0.8509
"2011-08-02",0
"2011-08-03",2.3903
"2011-08-04",2.9387
"2011-08-05",2.4774
"2011-08-06",0.4315
"2011-08-07",0
"2011-08-08",0
"2011-08-09",0
"2011-08-10",1.7489
"2011-08-11",0
"2011-08-12",0.0842
"2011-08-13",1.9414
"2011-08-14",2.7902
"2011-08-15",13.761
"2011-08-16",0.2515
"2011-08-17",20.3627
"2011-08-18",0.563
"2011-08-19",0
"2011-08-20",0.2919
"2011-08-21",0
"2011-08-22",1.0612
"2011-08-23",10.7857
"2011-08-24",1.8842
"2011-08-25",0.7696
"2011-08-26",0
"2011-08-27",1.6534
"2011-08-28",2.4191
"2011-08-29",0
"2011-08-30",9.0152
"2011-08-31",3.8417
"2011-09-01",0
"2011-09-02",0
"2011-09-03",0
"2011-09-04",0.0276
"2011-09-05",5.542
"2011-09-06",9.2519
"2011-09-07",1.1918
"2011-09-08",1.0351
"2011-09-09",3.0038
"2011-09-10",0.2827
"2011-09-11",1.4918
"2011-09-12",15.7933
"2011-09-13",4.0601
"2011-09-14",3.3849
"2011-09-15",0.1205
"2011-09-16",1.0259
"2011-09-17",0.8697
"2011-09-18",0
"2011-09-19",0.6266
"2011-09-20",0
"2011-09-21",0.0324
"2011-09-22",2.8058
"2011-09-23",0
"2011-09-24",0
"2011-09-25",0
"2011-09-26",0.8131
"2011-09-27",0.7236
"2011-09-28",1.0124
"2011-09-29",0.6146
"2011-09-30",2.3509
"2011-10-01",2.5511
"2011-10-02",1.8177
"2011-10-03",0.5949
"2011-10-04",10.6323
"2011-10-05",2.7707
"2011-10-06",3.9452
"2011-10-07",0
"2011-10-08",1.9855
"2011-10-09",2.1878
"2011-10-10",5.2742
"2011-10-11",4.6
"2011-10-12",9.6687
"2011-10-13",1.8618
"2011-10-14",6.6179
"2011-10-15",2.9614
"2011-10-16",2.8339
"2011-10-17",1.5135
"2011-10-18",4.8089
"2011-10-19",3.3031
"2011-10-20",9.4436
"2011-10-21",9.1425
"2011-10-22",13.8853
"2011-10-23",11.3299
"2011-10-24",13.546
"2011-10-25",18.7265
"2011-10-26",8.8392
"2011-10-27",6.4549
"2011-10-28",33.6959
"2011-10-29",30.6667
"2011-10-30",27.0108
"2011-10-31",0.5303
"2011-11-01",7.412
"2011-11-02",8.4852
"2011-11-03",4.135
"2011-11-04",4.5511
"2011-11-05",8.1391
"2011-11-06",8.789
"2011-11-07",2.8408
"2011-11-08",2.492
"2011-11-09",0.0214
"2011-11-10",2.0455
"2011-11-11",0.1304
"2011-11-12",1.2125
"2011-11-13",0
"2011-11-14",0
"2011-11-15",2.2411
"2011-11-16",1.8793
"2011-11-17",3.6567
"2011-11-18",7.621
"2011-11-19",2.9158
"2011-11-20",16.4527
"2011-11-21",23.2473
"2011-11-22",23.6086
"2011-11-23",43.4863
"2011-11-24",24.4757
"2011-11-25",32.6224
"2011-11-26",17.3547
"2011-11-27",8.1859
"2011-11-28",8.0094
"2011-11-29",0.238
"2011-11-30",10.041
"2011-12-01",1.8498
"2011-12-02",5.1287
"2011-12-03",2.2227
"2011-12-04",0.6054
"2011-12-05",0
"2011-12-06",0
"2011-12-07",0
"2011-12-08",0
"2011-12-09",0.7664
"2011-12-10",5.6771
"2011-12-11",8.0244
"2011-12-12",5.308
"2011-12-13",20.6436
"2011-12-14",18.6356
"2011-12-15",17.7445
"2011-12-16",15.5143
"2011-12-17",0.0841
"2011-12-18",6.3512
"2011-12-19",21.9577
"2011-12-20",25.9424
"2011-12-21",10.8263
"2011-12-22",20.4656
"2011-12-23",40.0934
"2011-12-24",5.4293
"2011-12-25",0
"2011-12-26",0.0506
"2011-12-27",8.465
"2011-12-28",0.6094
"2011-12-29",0
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",0.2711
"2012-01-05",1.0267
"2012-01-06",48.1657
"2012-01-07",1.5918
"2012-01-08",0.0309
"2012-01-09",0.1088
"2012-01-10",0
"2012-01-11",0
"2012-01-12",0
"2012-01-13",0
"2012-01-14",0
"2012-01-15",0.3505
"2012-01-16",0
"2012-01-17",0.0309
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",0
"2012-01-22",0.1322
"2012-01-23",1.3865
"2012-01-24",2.0914
"2012-01-25",0
"2012-01-26",0
"2012-01-27",0
"2012-01-28",0
"2012-01-29",0
"2012-01-30",0
"2012-01-31",0
"2012-02-01",0
"2012-02-02",0
"2012-02-03",0
"2012-02-04",0.3766
"2012-02-05",10.3126
"2012-02-06",12.299
"2012-02-07",12.0687
"2012-02-08",12.7831
"2012-02-09",0.4174
"2012-02-10",0.8498
"2012-02-11",0
"2012-02-12",0
"2012-02-13",0
"2012-02-14",55.7666
"2012-02-15",9.5447
"2012-02-16",0.6621
"2012-02-17",0
"2012-02-18",0
"2012-02-19",0
"2012-02-20",0
"2012-02-21",0
"2012-02-22",1.0354
"2012-02-23",0.0314
"2012-02-24",1.8566
"2012-02-25",0
"2012-02-26",0
"2012-02-27",6.7699
"2012-02-28",7.8901
"2012-02-29",0.0165
"2012-03-01",0
"2012-03-02",0
"2012-03-03",0
"2012-03-04",2.0522
"2012-03-05",0
"2012-03-06",0
"2012-03-07",0.2511
"2012-03-08",0
"2012-03-09",0.0874
"2012-03-10",0.5841
"2012-03-11",7.6094
"2012-03-12",2.5831
"2012-03-13",0
"2012-03-14",1.3104
"2012-03-15",0.5959
"2012-03-16",4.1904
"2012-03-17",2.5982
"2012-03-18",0
"2012-03-19",0
"2012-03-20",0
"2012-03-21",0
"2012-03-22",0
"2012-03-23",0
"2012-03-24",0
"2012-03-25",0
"2012-03-26",0
"2012-03-27",0.4458
"2012-03-28",13.5005
"2012-03-29",20.8225
"2012-03-30",12.7019
"2012-03-31",7.4014
"2012-04-01",7.1909
"2012-04-02",5.8783
"2012-04-03",10.7143
"2012-04-04",9.1699
"2012-04-05",4.8953
"2012-04-06",5.7448
"2012-04-07",4.471
"2012-04-08",8.8793
"2012-04-09",1.995
"2012-04-10",10.6522
"2012-04-11",10.8288
"2012-04-12",17.3196
"2012-04-13",6.1852
"2012-04-14",24.0448
"2012-04-15",14.8068
"2012-04-16",12.3302
"2012-04-17",9.2573
"2012-04-18",3.1725
"2012-04-19",7.9038
"2012-04-20",2.6652
"2012-04-21",4.3495
"2012-04-22",8.2996
"2012-04-23",17.371
"2012-04-24",1.2816
"2012-04-25",0
"2012-04-26",0.0584
"2012-04-27",0.7029
"2012-04-28",2.7873
"2012-04-29",0
"2012-04-30",1.7021
"2012-05-01",0
"2012-05-02",0
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0
"2012-05-06",0
"2012-05-07",3.6215
"2012-05-08",3.2099
"2012-05-09",7.1369
"2012-05-10",0.2041
"2012-05-11",2.9416
"2012-05-12",0.0354
"2012-05-13",0
"2012-05-14",0.3936
"2012-05-15",0
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0
"2012-05-19",0
"2012-05-20",0.0648
"2012-05-21",0.4831
"2012-05-22",0
"2012-05-23",0
"2012-05-24",0.001
"2012-05-25",2.905
"2012-05-26",3.9491
"2012-05-27",0.4155
"2012-05-28",1.8292
"2012-05-29",0.4666
"2012-05-30",3.6742
"2012-05-31",0
"2012-06-01",0.0902
"2012-06-02",0
"2012-06-03",0.2188
"2012-06-04",0
"2012-06-05",0
"2012-06-06",2.8317
"2012-06-07",0.0012
"2012-06-08",0.0439
"2012-06-09",2.5294
"2012-06-10",0.761
"2012-06-11",0.5232
"2012-06-12",0.3659
"2012-06-13",0.2225
"2012-06-14",0
"2012-06-15",0.3702
"2012-06-16",0
"2012-06-17",1.9879
"2012-06-18",4.0042
"2012-06-19",0.1181
"2012-06-20",0.1567
"2012-06-21",2.3447
"2012-06-22",0
"2012-06-23",0.0564
"2012-06-24",0.1661
"2012-06-25",0.4794
"2012-06-26",0
"2012-06-27",0.0645
"2012-06-28",0
"2012-06-29",0.7483
"2012-06-30",1.0293
"2012-07-01",0
"2012-07-02",5.7796
"2012-07-03",0
"2012-07-04",0.4668
"2012-07-05",0
"2012-07-06",1.478
"2012-07-07",0.998
"2012-07-08",1.2379
"2012-07-09",0
"2012-07-10",0.0593
"2012-07-11",0
"2012-07-12",0.3525
"2012-07-13",7.7801
"2012-07-14",10.8795
"2012-07-15",7.4593
"2012-07-16",1.1419
"2012-07-17",0.6211
"2012-07-18",0.0648
"2012-07-19",0
"2012-07-20",0
"2012-07-21",0.1193
"2012-07-22",0
"2012-07-23",0.5569
"2012-07-24",0
"2012-07-25",0.0068
"2012-07-26",0.0052
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0
"2012-07-30",0
"2012-07-31",0
"2012-08-01",0
"2012-08-02",0
"2012-08-03",1.6618
"2012-08-04",0.1906
"2012-08-05",1.8039
"2012-08-06",0.5154
"2012-08-07",0.9641
"2012-08-08",0.0735
"2012-08-09",0.0581
"2012-08-10",0.0592
"2012-08-11",0.2329
"2012-08-12",1.2902
"2012-08-13",1.6797
"2012-08-14",0.9215
"2012-08-15",0.5468
"2012-08-16",5.6616
"2012-08-17",1.1264
"2012-08-18",0
"2012-08-19",0
"2012-08-20",0.0223
"2012-08-21",4.9092
"2012-08-22",0.6043
"2012-08-23",0.235
"2012-08-24",3.2379
"2012-08-25",2.957
"2012-08-26",0.0782
"2012-08-27",0.5213
"2012-08-28",1.8352
"2012-08-29",0.4597
"2012-08-30",0.5836
"2012-08-31",10.109
"2012-09-01",2.5318
"2012-09-02",1.3424
"2012-09-03",0
"2012-09-04",0.288
"2012-09-05",0
"2012-09-06",0.0929
"2012-09-07",1.8812
"2012-09-08",3.7449
"2012-09-09",0
"2012-09-10",3.5771
"2012-09-11",0.4015
"2012-09-12",3.0502
"2012-09-13",0.0343
"2012-09-14",0
"2012-09-15",1.5136
"2012-09-16",2.9671
"2012-09-17",0.3333
"2012-09-18",0.8555
"2012-09-19",1.1117
"2012-09-20",0.7871
"2012-09-21",0.1827
"2012-09-22",8.0135
"2012-09-23",6.9673
"2012-09-24",3.6889
"2012-09-25",2.1151
"2012-09-26",0.4312
"2012-09-27",4.9841
"2012-09-28",1.5943
"2012-09-29",0
"2012-09-30",0.0388
"2012-10-01",0
"2012-10-02",0
"2012-10-03",0
"2012-10-04",0.5503
"2012-10-05",0
"2012-10-06",1.1709
"2012-10-07",5.2471
"2012-10-08",3.7467
"2012-10-09",13.3178
"2012-10-10",8.1617
"2012-10-11",9.4763
"2012-10-12",0.1215
"2012-10-13",0.7546
"2012-10-14",7.6622
"2012-10-15",9.8125
"2012-10-16",39.6681
"2012-10-17",12.2082
"2012-10-18",22.6729
"2012-10-19",6.8944
"2012-10-20",8.4417
"2012-10-21",9.7071
"2012-10-22",15.8922
"2012-10-23",16.999
"2012-10-24",2.8342
"2012-10-25",4.906
"2012-10-26",1.394
"2012-10-27",9.548
"2012-10-28",24.7434
"2012-10-29",38.1337
"2012-10-30",40.1915
"2012-10-31",30.3623
"2012-11-01",26.6689
"2012-11-02",6.2849
"2012-11-03",14.8467
"2012-11-04",2.5088
"2012-11-05",2.2699
"2012-11-06",2.2343
"2012-11-07",4.5055
"2012-11-08",2.7116
"2012-11-09",7.0229
"2012-11-10",14.0795
"2012-11-11",16.5548
"2012-11-12",18.2477
"2012-11-13",4.1675
"2012-11-14",7.0822
"2012-11-15",4.8936
"2012-11-16",0.5041
"2012-11-17",1.0157
"2012-11-18",0.5575
"2012-11-19",2.9469
"2012-11-20",2.4791
"2012-11-21",0.7651
"2012-11-22",5.6803
"2012-11-23",15.686
"2012-11-24",2.4888
"2012-11-25",30.723
"2012-11-26",30.6462
"2012-11-27",19.743
"2012-11-28",2.192
"2012-11-29",27.1346
"2012-11-30",2.353
"2012-12-01",0
"2012-12-02",0
"2012-12-03",0
"2012-12-04",1.2235
"2012-12-05",0
"2012-12-06",34.3227
"2012-12-07",0.0982
"2012-12-08",2.8388
"2012-12-09",4.7229
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0
"2012-12-13",0
"2012-12-14",1.3886
"2012-12-15",30.0234
"2012-12-16",51.4696
"2012-12-17",98.5801
"2012-12-18",60.5533
"2012-12-19",45.671
"2012-12-20",13.5846
"2012-12-21",16.8522
"2012-12-22",54.433
"2012-12-23",23.719
"2012-12-24",1.0768
"2012-12-25",0.2115
"2012-12-26",21.8928
"2012-12-27",0.8327
"2012-12-28",0
"2012-12-29",2.6177
"2012-12-30",5.1118
"2012-12-31",1.928
"2013-01-01",11.9861
"2013-01-02",7.1174
"2013-01-03",26.1394
"2013-01-04",36.1706
"2013-01-05",18.249
"2013-01-06",24.5127
"2013-01-07",63.5202
"2013-01-08",0.9808
"2013-01-09",0.7977
"2013-01-10",36.2504
"2013-01-11",18.8811
"2013-01-12",2.7162
"2013-01-13",6.2727
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",0.4
"2013-01-21",0
"2013-01-22",0
"2013-01-23",4.2818
"2013-01-24",38.373
"2013-01-25",18.9631
"2013-01-26",0
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",4.7419
"2013-02-05",2.0159
"2013-02-06",24.5908
"2013-02-07",30.6573
"2013-02-08",27.9568
"2013-02-09",0.1318
"2013-02-10",0.2341
"2013-02-11",27.4204
"2013-02-12",52.0327
"2013-02-13",36.1606
"2013-02-14",16.3081
"2013-02-15",4.355
"2013-02-16",2.6714
"2013-02-17",11.2935
"2013-02-18",7.5395
"2013-02-19",1.985
"2013-02-20",0
"2013-02-21",0
"2013-02-22",0
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",0.2996
"2013-03-01",0
"2013-03-02",0
"2013-03-03",38.8387
"2013-03-04",35.0207
"2013-03-05",5.8145
"2013-03-06",2.0453
"2013-03-07",1.8378
"2013-03-08",4.7929
"2013-03-09",8.5831
"2013-03-10",0.0598
"2013-03-11",3.8405
"2013-03-12",9.4418
"2013-03-13",13.7606
"2013-03-14",14.5804
"2013-03-15",18.9244
"2013-03-16",0
"2013-03-17",0.0083
"2013-03-18",3.3385
"2013-03-19",4.2084
"2013-03-20",0.0006
"2013-03-21",4.3683
"2013-03-22",0.4056
"2013-03-23",9.788
"2013-03-24",19.3325
"2013-03-25",20.5662
"2013-03-26",14.7358
"2013-03-27",6.4794
"2013-03-28",1.0554
"2013-03-29",1.003
"2013-03-30",0
"2013-03-31",2.7221
"2013-04-01",4.8262
"2013-04-02",6.9082
"2013-04-03",0.0868
"2013-04-04",6.6651
"2013-04-05",0.0628
"2013-04-06",0.0308
"2013-04-07",0
"2013-04-08",0.4157
"2013-04-09",1.8213
"2013-04-10",2.5678
"2013-04-11",7.0253
"2013-04-12",9.9506
"2013-04-13",10.5021
"2013-04-14",8.3614
"2013-04-15",4.0538
"2013-04-16",0.0997
"2013-04-17",0
"2013-04-18",0.4284
"2013-04-19",2.8126
