,"(mm) Precipitation (CHIRPS) at Mullaitivu, 2007-01-01 to 2025-12-31"
"2010-04-30",13.3812
"2010-05-01",0
"2010-05-02",0.3807
"2010-05-03",1.8233
"2010-05-04",0.3356
"2010-05-05",0.5969
"2010-05-06",2.5707
"2010-05-07",3.0117
"2010-05-08",6.7701
"2010-05-09",3.8922
"2010-05-10",3.1394
"2010-05-11",0.0816
"2010-05-12",0.7673
"2010-05-13",0.7646
"2010-05-14",2.4624
"2010-05-15",1.4516
"2010-05-16",2.9041
"2010-05-17",5.4352
"2010-05-18",15.2743
"2010-05-19",4.2005
"2010-05-20",0.018
"2010-05-21",0.2942
"2010-05-22",0.0053
"2010-05-23",0
"2010-05-24",0
"2010-05-25",0.0002
"2010-05-26",0
"2010-05-27",0
"2010-05-28",0
"2010-05-29",0
"2010-05-30",0
"2010-05-31",0
"2010-06-01",0
"2010-06-02",0.1451
"2010-06-03",0.2108
"2010-06-04",0
"2010-06-05",1.4801
"2010-06-06",0.0415
"2010-06-07",0.018
"2010-06-08",0.2134
"2010-06-09",0.1399
"2010-06-10",0.1106
"2010-06-11",0
"2010-06-12",0
"2010-06-13",0
"2010-06-14",0
"2010-06-15",0
"2010-06-16",0
"2010-06-17",0
"2010-06-18",0
"2010-06-19",0
"2010-06-20",0
"2010-06-21",0
"2010-06-22",0
"2010-06-23",0.0004
"2010-06-24",0.0038
"2010-06-25",0
"2010-06-26",0
"2010-06-27",0
"2010-06-28",0.0014
"2010-06-29",0
"2010-06-30",0.0096
"2010-07-01",0.0008
"2010-07-02",0
"2010-07-03",0
"2010-07-04",1.4292
"2010-07-05",0.1336
"2010-07-06",6.8537
"2010-07-07",0.5512
"2010-07-08",0.8533
"2010-07-09",0
"2010-07-10",0.476
"2010-07-11",2.0146
"2010-07-12",0
"2010-07-13",0
"2010-07-14",0.2374
"2010-07-15",0
"2010-07-16",0
"2010-07-17",0
"2010-07-18",0.1804
"2010-07-19",4.7939
"2010-07-20",3.7174
"2010-07-21",2.0357
"2010-07-22",0.5108
"2010-07-23",0.6217
"2010-07-24",0.7662
"2010-07-25",0.9657
"2010-07-26",0
"2010-07-27",0.2428
"2010-07-28",2.2794
"2010-07-29",0.1562
"2010-07-30",1.4437
"2010-07-31",0
"2010-08-01",0
"2010-08-02",1.6651
"2010-08-03",1.5196
"2010-08-04",0.0068
"2010-08-05",0
"2010-08-06",0
"2010-08-07",0
"2010-08-08",0
"2010-08-09",0.0475
"2010-08-10",0
"2010-08-11",0
"2010-08-12",0.0035
"2010-08-13",4.0217
"2010-08-14",8.3014
"2010-08-15",0.0167
"2010-08-16",0.0855
"2010-08-17",4.1756
"2010-08-18",0.71
"2010-08-19",3.333
"2010-08-20",9.6539
"2010-08-21",7.9478
"2010-08-22",3.6434
"2010-08-23",5.7474
"2010-08-24",7.1135
"2010-08-25",0.892
"2010-08-26",0
"2010-08-27",1.0252
"2010-08-28",0
"2010-08-29",6.3419
"2010-08-30",0
"2010-08-31",0
"2010-09-01",0
"2010-09-02",0
"2010-09-03",7.5164
"2010-09-04",0
"2010-09-05",1.2892
"2010-09-06",0.0046
"2010-09-07",0.2827
"2010-09-08",0.5521
"2010-09-09",7.1592
"2010-09-10",9.0588
"2010-09-11",10.8845
"2010-09-12",19.0373
"2010-09-13",6.1975
"2010-09-14",8.9018
"2010-09-15",0
"2010-09-16",0
"2010-09-17",6.5874
"2010-09-18",0.7271
"2010-09-19",6.4567
"2010-09-20",15.0219
"2010-09-21",6.4968
"2010-09-22",14.9087
"2010-09-23",5.4566
"2010-09-24",0.7704
"2010-09-25",11.9499
"2010-09-26",23.5534
"2010-09-27",11.8403
"2010-09-28",6.7301
"2010-09-29",20.0547
"2010-09-30",20.8282
"2010-10-01",1.1701
"2010-10-02",11.4874
"2010-10-03",22.8694
"2010-10-04",1.8868
"2010-10-05",14.9431
"2010-10-06",3.6388
"2010-10-07",0
"2010-10-08",0
"2010-10-09",4.5601
"2010-10-10",5.3753
"2010-10-11",1.509
"2010-10-12",0.0095
"2010-10-13",0
"2010-10-14",1.4073
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",2.409
"2010-10-19",5.7455
"2010-10-20",5.7803
"2010-10-21",0.089
"2010-10-22",0.0985
"2010-10-23",0
"2010-10-24",0
"2010-10-25",0.6626
"2010-10-26",2.8037
"2010-10-27",6.8575
"2010-10-28",18.5728
"2010-10-29",2.6793
"2010-10-30",26.7311
"2010-10-31",16.5556
"2010-11-01",11.1606
"2010-11-02",3.7775
"2010-11-03",2.5282
"2010-11-04",18.9634
"2010-11-05",32.2082
"2010-11-06",32.9141
"2010-11-07",12.3428
"2010-11-08",5.58
"2010-11-09",4.7342
"2010-11-10",0.5419
"2010-11-11",2.1231
"2010-11-12",0
"2010-11-13",0
"2010-11-14",0
"2010-11-15",0
"2010-11-16",3.667
"2010-11-17",5.3318
"2010-11-18",6.169
"2010-11-19",48.0266
"2010-11-20",16.554
"2010-11-21",32.1208
"2010-11-22",29.8825
"2010-11-23",80.2574
"2010-11-24",40.4665
"2010-11-25",35.3027
"2010-11-26",56.3589
"2010-11-27",13.7195
"2010-11-28",20.9761
"2010-11-29",5.8553
"2010-11-30",58.8214
"2010-12-01",27.5042
"2010-12-02",19.0924
"2010-12-03",46.9427
"2010-12-04",17.9504
"2010-12-05",60.4516
"2010-12-06",39.3031
"2010-12-07",9.178
"2010-12-08",1.7666
"2010-12-09",0.0162
"2010-12-10",0
"2010-12-11",4.2783
"2010-12-12",0.0342
"2010-12-13",0
"2010-12-14",2.274
"2010-12-15",0
"2010-12-16",0
"2010-12-17",0
"2010-12-18",0
"2010-12-19",0
"2010-12-20",36.6923
"2010-12-21",26.7829
"2010-12-22",9.041
"2010-12-23",24.1446
"2010-12-24",22.7084
"2010-12-25",30.0237
"2010-12-26",11.8976
"2010-12-27",15.9726
"2010-12-28",19.9166
"2010-12-29",7.8908
"2010-12-30",19.9786
"2010-12-31",13.7023
"2011-01-01",0
"2011-01-02",1.2064
"2011-01-03",10.7283
"2011-01-04",10.2939
"2011-01-05",25.5712
"2011-01-06",3.522
"2011-01-07",6.6597
"2011-01-08",16.8164
"2011-01-09",67.9495
"2011-01-10",26.3623
"2011-01-11",15.5852
"2011-01-12",29.6587
"2011-01-13",29.5186
"2011-01-14",0.3974
"2011-01-15",5.1753
"2011-01-16",0
"2011-01-17",0
"2011-01-18",0
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",0
"2011-01-26",0.2749
"2011-01-27",0
"2011-01-28",5.3947
"2011-01-29",3.4341
"2011-01-30",33.9375
"2011-01-31",39.3871
"2011-02-01",13.3262
"2011-02-02",20.1479
"2011-02-03",29.8023
"2011-02-04",20.3745
"2011-02-05",1.2218
"2011-02-06",6.3623
"2011-02-07",69.454
"2011-02-08",5.078
"2011-02-09",0.0624
"2011-02-10",0
"2011-02-11",0
"2011-02-12",0
"2011-02-13",0
"2011-02-14",0
"2011-02-15",0
"2011-02-16",0
"2011-02-17",0
"2011-02-18",0
"2011-02-19",0
"2011-02-20",0
"2011-02-21",15.2138
"2011-02-22",0
"2011-02-23",0
"2011-02-24",0
"2011-02-25",0
"2011-02-26",2.0975
"2011-02-27",0.0879
"2011-02-28",4.6881
"2011-03-01",0.0031
"2011-03-02",0.0966
"2011-03-03",1.1613
"2011-03-04",0.0421
"2011-03-05",0
"2011-03-06",0
"2011-03-07",0
"2011-03-08",0
"2011-03-09",0
"2011-03-10",0
"2011-03-11",0
"2011-03-12",0
"2011-03-13",0.0684
"2011-03-14",0.778
"2011-03-15",0.0087
"2011-03-16",0
"2011-03-17",0
"2011-03-18",0
"2011-03-19",0
"2011-03-20",3.5467
"2011-03-21",2.1893
"2011-03-22",0.6771
"2011-03-23",0
"2011-03-24",0.0678
"2011-03-25",1.6395
"2011-03-26",1.7042
"2011-03-27",0
"2011-03-28",0
"2011-03-29",0
"2011-03-30",1.818
"2011-03-31",0
"2011-04-01",0
"2011-04-02",0
"2011-04-03",0.1166
"2011-04-04",0
"2011-04-05",0
"2011-04-06",0
"2011-04-07",0
"2011-04-08",1.197
"2011-04-09",5.6911
"2011-04-10",10.985
"2011-04-11",5.1853
"2011-04-12",8.5014
"2011-04-13",7.3658
"2011-04-14",4.4355
"2011-04-15",1.0733
"2011-04-16",15.309
"2011-04-17",23.1945
"2011-04-18",13.3095
"2011-04-19",18.4648
"2011-04-20",22.2601
"2011-04-21",27.2156
"2011-04-22",25.8641
"2011-04-23",15.1701
"2011-04-24",18.651
"2011-04-25",42.7902
"2011-04-26",8.4373
"2011-04-27",10.991
"2011-04-28",11.5829
"2011-04-29",0.6859
"2011-04-30",7.9359
"2011-05-01",7.8811
"2011-05-02",0.611
"2011-05-03",0
"2011-05-04",0
"2011-05-05",0.5343
"2011-05-06",0
"2011-05-07",0
"2011-05-08",0
"2011-05-09",0
"2011-05-10",0
"2011-05-11",0
"2011-05-12",0
"2011-05-13",0
"2011-05-14",0
"2011-05-15",0
"2011-05-16",0.7005
"2011-05-17",1.3389
"2011-05-18",1.0716
"2011-05-19",0
"2011-05-20",0
"2011-05-21",0
"2011-05-22",0
"2011-05-23",0.0422
"2011-05-24",0.0355
"2011-05-25",0.171
"2011-05-26",0.8186
"2011-05-27",0
"2011-05-28",0.0815
"2011-05-29",0
"2011-05-30",0
"2011-05-31",0
"2011-06-01",0
"2011-06-02",0.7756
"2011-06-03",0
"2011-06-04",0
"2011-06-05",0.1538
"2011-06-06",0.0115
"2011-06-07",0.0028
"2011-06-08",0
"2011-06-09",0
"2011-06-10",0
"2011-06-11",0
"2011-06-12",0
"2011-06-13",0
"2011-06-14",0
"2011-06-15",0
"2011-06-16",0
"2011-06-17",0
"2011-06-18",0
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0.031
"2011-06-26",0
"2011-06-27",0
"2011-06-28",0
"2011-06-29",0.1942
"2011-06-30",0.0788
"2011-07-01",0
"2011-07-02",0
"2011-07-03",2.4432
"2011-07-04",0.9066
"2011-07-05",2.7231
"2011-07-06",0
"2011-07-07",0.0551
"2011-07-08",1.1429
"2011-07-09",3.2498
"2011-07-10",1.7044
"2011-07-11",0.4878
"2011-07-12",0.2377
"2011-07-13",0.2259
"2011-07-14",0
"2011-07-15",0
"2011-07-16",0
"2011-07-17",0
"2011-07-18",0
"2011-07-19",0.0042
"2011-07-20",0
"2011-07-21",0
"2011-07-22",1.1604
"2011-07-23",0
"2011-07-24",2.8721
"2011-07-25",3.394
"2011-07-26",0.3259
"2011-07-27",0
"2011-07-28",0.0437
"2011-07-29",0.5166
"2011-07-30",0.263
"2011-07-31",0.0015
"2011-08-01",0
"2011-08-02",0.0324
"2011-08-03",0.4668
"2011-08-04",0
"2011-08-05",0.0858
"2011-08-06",0
"2011-08-07",0
"2011-08-08",0
"2011-08-09",0.2454
"2011-08-10",1.2629
"2011-08-11",1.8943
"2011-08-12",0.922
"2011-08-13",0.9822
"2011-08-14",7.1455
"2011-08-15",3.2442
"2011-08-16",3.8593
"2011-08-17",4.2587
"2011-08-18",1.2412
"2011-08-19",4.344
"2011-08-20",3.8635
"2011-08-21",7.0338
"2011-08-22",2.9173
"2011-08-23",0.1382
"2011-08-24",0
"2011-08-25",0.1166
"2011-08-26",4.0044
"2011-08-27",1.7939
"2011-08-28",0
"2011-08-29",0.0386
"2011-08-30",0.1759
"2011-08-31",0
"2011-09-01",0
"2011-09-02",0
"2011-09-03",0.0604
"2011-09-04",0
"2011-09-05",0
"2011-09-06",0.0629
"2011-09-07",0
"2011-09-08",1.9951
"2011-09-09",0.9768
"2011-09-10",6.9803
"2011-09-11",4.0709
"2011-09-12",7.647
"2011-09-13",0.9011
"2011-09-14",4.9214
"2011-09-15",0
"2011-09-16",0
"2011-09-17",0
"2011-09-18",0
"2011-09-19",0
"2011-09-20",0.0011
"2011-09-21",0.352
"2011-09-22",0.0677
"2011-09-23",0.1332
"2011-09-24",0
"2011-09-25",0
"2011-09-26",0
"2011-09-27",2.5273
"2011-09-28",4.7438
"2011-09-29",2.6463
"2011-09-30",2.1043
"2011-10-01",13.7993
"2011-10-02",0
"2011-10-03",3.9342
"2011-10-04",29.3005
"2011-10-05",8.19
"2011-10-06",2.438
"2011-10-07",4.7602
"2011-10-08",2.9689
"2011-10-09",5.2108
"2011-10-10",6.2524
"2011-10-11",15.9889
"2011-10-12",2.4531
"2011-10-13",8.5073
"2011-10-14",8.1895
"2011-10-15",7.5512
"2011-10-16",8.1392
"2011-10-17",12.9682
"2011-10-18",9.0576
"2011-10-19",9.9528
"2011-10-20",3.4295
"2011-10-21",0.0875
"2011-10-22",1.1268
"2011-10-23",12.373
"2011-10-24",21.4094
"2011-10-25",37.1012
"2011-10-26",18.8976
"2011-10-27",6.7788
"2011-10-28",31.3317
"2011-10-29",25.0723
"2011-10-30",10.2209
"2011-10-31",15.9077
"2011-11-01",59.4973
"2011-11-02",4.3272
"2011-11-03",16.5214
"2011-11-04",1.3077
"2011-11-05",6.6929
"2011-11-06",0.4159
"2011-11-07",0
"2011-11-08",0
"2011-11-09",0
"2011-11-10",1.9301
"2011-11-11",0.5304
"2011-11-12",0.0151
"2011-11-13",0
"2011-11-14",0
"2011-11-15",0.013
"2011-11-16",41.1264
"2011-11-17",0.0412
"2011-11-18",14.1915
"2011-11-19",69.536
"2011-11-20",15.2205
"2011-11-21",11.9769
"2011-11-22",0
"2011-11-23",43.9527
"2011-11-24",84.0046
"2011-11-25",68.9042
"2011-11-26",11.1564
"2011-11-27",2.1383
"2011-11-28",6.4207
"2011-11-29",0
"2011-11-30",48.557
"2011-12-01",13.958
"2011-12-02",0
"2011-12-03",0
"2011-12-04",0
"2011-12-05",0
"2011-12-06",0
"2011-12-07",0
"2011-12-08",0
"2011-12-09",0
"2011-12-10",0
"2011-12-11",28.9772
"2011-12-12",29.7032
"2011-12-13",17.7223
"2011-12-14",0
"2011-12-15",14.5124
"2011-12-16",0
"2011-12-17",7.7645
"2011-12-18",34.3395
"2011-12-19",55.2088
"2011-12-20",14.2386
"2011-12-21",0.0062
"2011-12-22",3.3719
"2011-12-23",35.0551
"2011-12-24",0.0718
"2011-12-25",0
"2011-12-26",0.7618
"2011-12-27",19.7002
"2011-12-28",15.1124
"2011-12-29",12.378
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",1.6267
"2012-01-05",0.1009
"2012-01-06",0
"2012-01-07",2.5948
"2012-01-08",1.6578
"2012-01-09",0
"2012-01-10",0
"2012-01-11",0
"2012-01-12",0
"2012-01-13",0
"2012-01-14",0
"2012-01-15",0
"2012-01-16",0
"2012-01-17",0
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",0
"2012-01-22",1.3967
"2012-01-23",16.9427
"2012-01-24",2.2108
"2012-01-25",0
"2012-01-26",0
"2012-01-27",0
"2012-01-28",0
"2012-01-29",0
"2012-01-30",0
"2012-01-31",0
"2012-02-01",0
"2012-02-02",0
"2012-02-03",0
"2012-02-04",0
"2012-02-05",0
"2012-02-06",6.3814
"2012-02-07",4.758
"2012-02-08",1.8574
"2012-02-09",19.633
"2012-02-10",1.8307
"2012-02-11",0
"2012-02-12",0
"2012-02-13",0
"2012-02-14",0
"2012-02-15",1.7451
"2012-02-16",0
"2012-02-17",0
"2012-02-18",0
"2012-02-19",0
"2012-02-20",0
"2012-02-21",0
"2012-02-22",4.7648
"2012-02-23",2.7966
"2012-02-24",0
"2012-02-25",0.5191
"2012-02-26",0
"2012-02-27",0
"2012-02-28",0.031
"2012-02-29",0
"2012-03-01",0
"2012-03-02",0
"2012-03-03",0
"2012-03-04",0
"2012-03-05",1.1557
"2012-03-06",0
"2012-03-07",1.1429
"2012-03-08",0
"2012-03-09",0
"2012-03-10",0
"2012-03-11",3.994
"2012-03-12",0.543
"2012-03-13",0
"2012-03-14",0.1938
"2012-03-15",0.1038
"2012-03-16",0
"2012-03-17",0
"2012-03-18",0
"2012-03-19",0
"2012-03-20",0
"2012-03-21",1.0967
"2012-03-22",0.2053
"2012-03-23",0
"2012-03-24",0
"2012-03-25",0
"2012-03-26",0
"2012-03-27",9.6565
"2012-03-28",13.6521
"2012-03-29",5.2045
"2012-03-30",0
"2012-03-31",1.9644
"2012-04-01",0.0516
"2012-04-02",2.7061
"2012-04-03",0.3976
"2012-04-04",0.8163
"2012-04-05",0.08
"2012-04-06",1.7357
"2012-04-07",2.1499
"2012-04-08",1.7009
"2012-04-09",10.3616
"2012-04-10",17.8039
"2012-04-11",5.31
"2012-04-12",7.1004
"2012-04-13",1.6747
"2012-04-14",13.602
"2012-04-15",9.6298
"2012-04-16",7.9341
"2012-04-17",1.8143
"2012-04-18",1.448
"2012-04-19",9.6306
"2012-04-20",1.3817
"2012-04-21",0
"2012-04-22",14.6148
"2012-04-23",10.485
"2012-04-24",10.7154
"2012-04-25",0.7503
"2012-04-26",1.2206
"2012-04-27",0
"2012-04-28",0
"2012-04-29",6.6397
"2012-04-30",4.042
"2012-05-01",0.0892
"2012-05-02",0.2093
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0
"2012-05-06",0
"2012-05-07",3.2692
"2012-05-08",2.0298
"2012-05-09",0
"2012-05-10",0.6194
"2012-05-11",1.3558
"2012-05-12",0
"2012-05-13",0
"2012-05-14",0
"2012-05-15",0
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0
"2012-05-19",0
"2012-05-20",0
"2012-05-21",0.0285
"2012-05-22",0
"2012-05-23",0.0117
"2012-05-24",0.0323
"2012-05-25",0
"2012-05-26",0.0197
"2012-05-27",0
"2012-05-28",0.0941
"2012-05-29",0
"2012-05-30",0
"2012-05-31",0
"2012-06-01",0
"2012-06-02",0
"2012-06-03",0
"2012-06-04",0
"2012-06-05",0
"2012-06-06",0
"2012-06-07",0
"2012-06-08",0
"2012-06-09",0
"2012-06-10",0.106
"2012-06-11",0
"2012-06-12",0
"2012-06-13",0
"2012-06-14",0
"2012-06-15",0
"2012-06-16",0
"2012-06-17",0
"2012-06-18",0
"2012-06-19",0
"2012-06-20",0
"2012-06-21",0.0336
"2012-06-22",0.0006
"2012-06-23",0
"2012-06-24",0
"2012-06-25",0
"2012-06-26",0.0145
"2012-06-27",0.5297
"2012-06-28",0
"2012-06-29",0
"2012-06-30",0.006
"2012-07-01",0.5292
"2012-07-02",0
"2012-07-03",0
"2012-07-04",0
"2012-07-05",0
"2012-07-06",0.4263
"2012-07-07",0
"2012-07-08",0.47
"2012-07-09",0.0119
"2012-07-10",5.8472
"2012-07-11",0
"2012-07-12",0
"2012-07-13",1.2552
"2012-07-14",1.6865
"2012-07-15",4.7279
"2012-07-16",2.8725
"2012-07-17",1.0072
"2012-07-18",0.9496
"2012-07-19",0.0192
"2012-07-20",0.0553
"2012-07-21",0
"2012-07-22",0
"2012-07-23",0
"2012-07-24",0
"2012-07-25",0
"2012-07-26",0
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0
"2012-07-30",0
"2012-07-31",0
"2012-08-01",0.0358
"2012-08-02",0
"2012-08-03",0.7022
"2012-08-04",4.6091
"2012-08-05",0
"2012-08-06",0.0027
"2012-08-07",0
"2012-08-08",0.0127
"2012-08-09",0.0002
"2012-08-10",0
"2012-08-11",0
"2012-08-12",0
"2012-08-13",0
"2012-08-14",0
"2012-08-15",0.0537
"2012-08-16",0.7391
"2012-08-17",0.1173
"2012-08-18",0
"2012-08-19",0
"2012-08-20",0
"2012-08-21",0
"2012-08-22",0
"2012-08-23",0
"2012-08-24",0
"2012-08-25",0
"2012-08-26",0
"2012-08-27",0
"2012-08-28",0
"2012-08-29",0.0154
"2012-08-30",0.0543
"2012-08-31",0
"2012-09-01",0
"2012-09-02",0
"2012-09-03",10.6893
"2012-09-04",2.7345
"2012-09-05",0
"2012-09-06",0
"2012-09-07",6.2542
"2012-09-08",26.1231
"2012-09-09",0.1629
"2012-09-10",0
"2012-09-11",1.0026
"2012-09-12",0
"2012-09-13",0
"2012-09-14",0
"2012-09-15",5.3073
"2012-09-16",3.0779
"2012-09-17",3.9847
"2012-09-18",15.7337
"2012-09-19",0.0454
"2012-09-20",3.2066
"2012-09-21",1.0031
"2012-09-22",16.2788
"2012-09-23",0.0457
"2012-09-24",2.6466
"2012-09-25",18.2344
"2012-09-26",7.2835
"2012-09-27",25.8218
"2012-09-28",0.4772
"2012-09-29",0.2247
"2012-09-30",0.1527
"2012-10-01",0
"2012-10-02",0
"2012-10-03",0
"2012-10-04",0
"2012-10-05",0
"2012-10-06",0.4451
"2012-10-07",6.5265
"2012-10-08",6.8376
"2012-10-09",16.5781
"2012-10-10",19.5141
"2012-10-11",15.4766
"2012-10-12",13.5149
"2012-10-13",29.1006
"2012-10-14",15.3094
"2012-10-15",12.3396
"2012-10-16",9.5741
"2012-10-17",19.1973
"2012-10-18",6.1192
"2012-10-19",20.4588
"2012-10-20",19.5303
"2012-10-21",0
"2012-10-22",19.1033
"2012-10-23",26.7401
"2012-10-24",14.5429
"2012-10-25",0
"2012-10-26",1.4495
"2012-10-27",13.6956
"2012-10-28",36.2602
"2012-10-29",56.5154
"2012-10-30",56.8366
"2012-10-31",37.9629
"2012-11-01",7.9609
"2012-11-02",0
"2012-11-03",0
"2012-11-04",1.1074
"2012-11-05",6.2565
"2012-11-06",6.8474
"2012-11-07",5.398
"2012-11-08",5.019
"2012-11-09",0.2606
"2012-11-10",0.8152
"2012-11-11",10.9135
"2012-11-12",0.009
"2012-11-13",0.239
"2012-11-14",2.2288
"2012-11-15",19.3267
"2012-11-16",11.8732
"2012-11-17",0
"2012-11-18",0
"2012-11-19",0
"2012-11-20",0
"2012-11-21",0
"2012-11-22",0.4224
"2012-11-23",13.6726
"2012-11-24",19.0768
"2012-11-25",45.5632
"2012-11-26",48.7978
"2012-11-27",2.2843
"2012-11-28",0
"2012-11-29",0
"2012-11-30",0.6569
"2012-12-01",0.9442
"2012-12-02",0
"2012-12-03",20.1716
"2012-12-04",0.2572
"2012-12-05",0.3291
"2012-12-06",3.4076
"2012-12-07",0.4428
"2012-12-08",0.5789
"2012-12-09",2.526
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0
"2012-12-13",0
"2012-12-14",0
"2012-12-15",24.7657
"2012-12-16",23.5999
"2012-12-17",32.7698
"2012-12-18",24.5946
"2012-12-19",37.2079
"2012-12-20",23.0954
"2012-12-21",31.034
"2012-12-22",104.7246
"2012-12-23",18.8957
"2012-12-24",11.3747
"2012-12-25",12.4009
"2012-12-26",1.5837
"2012-12-27",159.1303
"2012-12-28",7.7162
"2012-12-29",0
"2012-12-30",0
"2012-12-31",0
"2013-01-01",1.7421
"2013-01-02",0.3805
"2013-01-03",24.5194
"2013-01-04",1.2788
"2013-01-05",0.8836
"2013-01-06",4.083
"2013-01-07",32.1694
"2013-01-08",78.4177
"2013-01-09",22.2736
"2013-01-10",4.3995
"2013-01-11",0
"2013-01-12",0
"2013-01-13",0.188
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",0
"2013-01-21",0
"2013-01-22",0
"2013-01-23",0
"2013-01-24",0
"2013-01-25",0
"2013-01-26",0
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",43.4456
"2013-02-05",29.615
"2013-02-06",0.0109
"2013-02-07",0
"2013-02-08",0.4195
"2013-02-09",0
"2013-02-10",0
"2013-02-11",24.7222
"2013-02-12",11.022
"2013-02-13",16.6591
"2013-02-14",18.4233
"2013-02-15",0
"2013-02-16",8.8189
"2013-02-17",3.9822
"2013-02-18",4.0424
"2013-02-19",0.1796
"2013-02-20",0
"2013-02-21",0
"2013-02-22",0
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",0
"2013-03-01",0
"2013-03-02",0
"2013-03-03",7.8303
"2013-03-04",31.0292
"2013-03-05",31.6091
"2013-03-06",5.8126
"2013-03-07",0
"2013-03-08",1.2921
"2013-03-09",0
"2013-03-10",0
"2013-03-11",0
"2013-03-12",0
"2013-03-13",0
"2013-03-14",0.7128
"2013-03-15",5.0386
"2013-03-16",0
"2013-03-17",0
"2013-03-18",0
"2013-03-19",0
"2013-03-20",0
"2013-03-21",0
"2013-03-22",7.9728
"2013-03-23",2.6884
"2013-03-24",15.4318
"2013-03-25",3.3207
"2013-03-26",3.3726
"2013-03-27",2.8928
"2013-03-28",7.1454
"2013-03-29",9.7253
"2013-03-30",0.6054
"2013-03-31",0
"2013-04-01",0.972
"2013-04-02",2.0656
"2013-04-03",1.6173
"2013-04-04",0
"2013-04-05",0.0095
"2013-04-06",4.4964
"2013-04-07",0.0286
"2013-04-08",0
"2013-04-09",0.2779
"2013-04-10",1.7108
"2013-04-11",0.0027
"2013-04-12",0
"2013-04-13",13.9482
"2013-04-14",6.7426
"2013-04-15",7.0982
"2013-04-16",0.0114
"2013-04-17",0
"2013-04-18",0
"2013-04-19",0
"2013-04-20",0.3894
"2013-04-21",1.7718
"2013-04-22",3.8042
"2013-04-23",4.5062
"2013-04-24",3.1935
"2013-04-25",4.0885
"2013-04-26",3.9583
"2013-04-27",0.4913
"2013-04-28",0
"2013-04-29",2.8365
"2013-04-30",2.6248
"2013-05-01",7.0884
"2013-05-02",5.0447
"2013-05-03",0.3523
"2013-05-04",3.1144
"2013-05-05",7.6395
"2013-05-06",1.449
"2013-05-07",0.5615
"2013-05-08",0.0021
"2013-05-09",0
"2013-05-10",1.4499
"2013-05-11",4.9253
"2013-05-12",11.422
"2013-05-13",12.901
"2013-05-14",0
"2013-05-15",0
"2013-05-16",0
"2013-05-17",0
"2013-05-18",0
"2013-05-19",0
"2013-05-20",0.8608
"2013-05-21",0
"2013-05-22",0
"2013-05-23",0
"2013-05-24",0
"2013-05-25",0
"2013-05-26",0.1378
"2013-05-27",0
"2013-05-28",0
"2013-05-29",0
"2013-05-30",0
"2013-05-31",1.9784
"2013-06-01",0.069
"2013-06-02",0
"2013-06-03",0
"2013-06-04",0.2468
"2013-06-05",0.5085
"2013-06-06",0.0116
"2013-06-07",0.0048
"2013-06-08",0
"2013-06-09",0
"2013-06-10",0
"2013-06-11",0
"2013-06-12",0
"2013-06-13",0
"2013-06-14",0
"2013-06-15",0
"2013-06-16",0
"2013-06-17",0
"2013-06-18",0
"2013-06-19",0
"2013-06-20",0
"2013-06-21",0
"2013-06-22",0.0116
"2013-06-23",0.0207
"2013-06-24",0.0155
"2013-06-25",0.0026
"2013-06-26",0
"2013-06-27",0.1639
"2013-06-28",0.4196
"2013-06-29",0.3067
"2013-06-30",0.0473
"2013-07-01",0
"2013-07-02",0.0143
"2013-07-03",0.0657
"2013-07-04",0
"2013-07-05",2.0979
"2013-07-06",0.459
"2013-07-07",3.8745
"2013-07-08",0
"2013-07-09",0.5516
"2013-07-10",2.4126
"2013-07-11",4.4165
"2013-07-12",0.0114
"2013-07-13",0
"2013-07-14",0
"2013-07-15",0.834
"2013-07-16",2.9628
"2013-07-17",0.3854
"2013-07-18",1.2258
"2013-07-19",0.0058
"2013-07-20",1.5871
"2013-07-21",0.6008
"2013-07-22",0.0341
"2013-07-23",1.1482
"2013-07-24",0.5125
"2013-07-25",0
"2013-07-26",0
"2013-07-27",0
"2013-07-28",0.1928
"2013-07-29",0.1223
"2013-07-30",0
"2013-07-31",0
"2013-08-01",0
"2013-08-02",0
"2013-08-03",3.8952
"2013-08-04",9.7018
"2013-08-05",0.326
"2013-08-06",0
