,"(mm) Precipitation (CHIRPS) at Kilinochchi, 2007-01-01 to 2025-12-31"
"2010-05-21",0.074
"2010-05-22",0.0902
"2010-05-23",0
"2010-05-24",0
"2010-05-25",0
"2010-05-26",0
"2010-05-27",0
"2010-05-28",0
"2010-05-29",0
"2010-05-30",0
"2010-05-31",0
"2010-06-01",0
"2010-06-02",0.0168
"2010-06-03",0.0153
"2010-06-04",0
"2010-06-05",0.4155
"2010-06-06",0.0392
"2010-06-07",0
"2010-06-08",0.1762
"2010-06-09",0.0772
"2010-06-10",0.0936
"2010-06-11",0
"2010-06-12",0
"2010-06-13",0
"2010-06-14",0
"2010-06-15",0
"2010-06-16",0
"2010-06-17",0
"2010-06-18",0
"2010-06-19",0
"2010-06-20",0
"2010-06-21",0
"2010-06-22",0
"2010-06-23",0
"2010-06-24",0
"2010-06-25",0
"2010-06-26",0
"2010-06-27",0
"2010-06-28",0
"2010-06-29",0
"2010-06-30",0
"2010-07-01",0
"2010-07-02",0
"2010-07-03",0
"2010-07-04",0.0003
"2010-07-05",0
"2010-07-06",0.0023
"2010-07-07",0
"2010-07-08",0
"2010-07-09",0
"2010-07-10",0
"2010-07-11",0
"2010-07-12",0
"2010-07-13",0
"2010-07-14",0
"2010-07-15",0
"2010-07-16",0
"2010-07-17",0
"2010-07-18",0
"2010-07-19",0.001
"2010-07-20",0.0013
"2010-07-21",0.0089
"2010-07-22",0.0007
"2010-07-23",0.0004
"2010-07-24",0.0154
"2010-07-25",0.0024
"2010-07-26",0.0029
"2010-07-27",0.0169
"2010-07-28",0.1105
"2010-07-29",0
"2010-07-30",0.0322
"2010-07-31",0
"2010-08-01",0
"2010-08-02",0.0359
"2010-08-03",0.0097
"2010-08-04",0
"2010-08-05",0
"2010-08-06",0
"2010-08-07",0
"2010-08-08",0
"2010-08-09",0
"2010-08-10",0.0376
"2010-08-11",0
"2010-08-12",0.0298
"2010-08-13",0.0081
"2010-08-14",0.2856
"2010-08-15",0
"2010-08-16",0.0006
"2010-08-17",0.0758
"2010-08-18",0
"2010-08-19",0.0769
"2010-08-20",0.5542
"2010-08-21",1.0882
"2010-08-22",0.6111
"2010-08-23",0.8996
"2010-08-24",0.9406
"2010-08-25",0.0941
"2010-08-26",0
"2010-08-27",0.0945
"2010-08-28",0
"2010-08-29",0.8645
"2010-08-30",0
"2010-08-31",0.0233
"2010-09-01",0
"2010-09-02",0
"2010-09-03",3.1584
"2010-09-04",0
"2010-09-05",0.1666
"2010-09-06",0.0522
"2010-09-07",0.1831
"2010-09-08",0
"2010-09-09",0.727
"2010-09-10",2.8012
"2010-09-11",6.2469
"2010-09-12",7.5306
"2010-09-13",2.4553
"2010-09-14",3.2913
"2010-09-15",0
"2010-09-16",0
"2010-09-17",0.1574
"2010-09-18",0.0419
"2010-09-19",0.1574
"2010-09-20",4.9763
"2010-09-21",2.8239
"2010-09-22",5.348
"2010-09-23",2.0222
"2010-09-24",1.0265
"2010-09-25",3.1706
"2010-09-26",17.8021
"2010-09-27",11.5966
"2010-09-28",5.1585
"2010-09-29",17.7266
"2010-09-30",8.9074
"2010-10-01",3.4005
"2010-10-02",9.1951
"2010-10-03",16.4276
"2010-10-04",0.8752
"2010-10-05",14.2041
"2010-10-06",2.3216
"2010-10-07",0
"2010-10-08",0.234
"2010-10-09",7.4397
"2010-10-10",2.1039
"2010-10-11",0.8674
"2010-10-12",0
"2010-10-13",0
"2010-10-14",3.9592
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",1.9777
"2010-10-19",2.2628
"2010-10-20",2.1582
"2010-10-21",0
"2010-10-22",0
"2010-10-23",0
"2010-10-24",0
"2010-10-25",0
"2010-10-26",0.0324
"2010-10-27",6.5224
"2010-10-28",24.038
"2010-10-29",0.8503
"2010-10-30",23.4637
"2010-10-31",16.5889
"2010-11-01",10.7788
"2010-11-02",3.6544
"2010-11-03",3.6803
"2010-11-04",8.4754
"2010-11-05",26.6987
"2010-11-06",31.7646
"2010-11-07",15.1934
"2010-11-08",8.4287
"2010-11-09",4.7427
"2010-11-10",0.1354
"2010-11-11",15.5542
"2010-11-12",0
"2010-11-13",0
"2010-11-14",0
"2010-11-15",0
"2010-11-16",2.1776
"2010-11-17",6.8487
"2010-11-18",4.2316
"2010-11-19",41.5119
"2010-11-20",9.1727
"2010-11-21",22.7685
"2010-11-22",16.8073
"2010-11-23",72.6988
"2010-11-24",49.4614
"2010-11-25",44.2528
"2010-11-26",73.0116
"2010-11-27",23.3594
"2010-11-28",24.6019
"2010-11-29",5.1255
"2010-11-30",45.6022
"2010-12-01",25.9476
"2010-12-02",18.5415
"2010-12-03",36.4311
"2010-12-04",20.5121
"2010-12-05",55.2174
"2010-12-06",32.132
"2010-12-07",14.9121
"2010-12-08",6.8618
"2010-12-09",1.8494
"2010-12-10",0
"2010-12-11",0.5865
"2010-12-12",0
"2010-12-13",0
"2010-12-14",0.583
"2010-12-15",0
"2010-12-16",0
"2010-12-17",0
"2010-12-18",0
"2010-12-19",0
"2010-12-20",31.9955
"2010-12-21",21.6549
"2010-12-22",0.5694
"2010-12-23",13.4278
"2010-12-24",21.2814
"2010-12-25",28.7879
"2010-12-26",7.8116
"2010-12-27",10.7226
"2010-12-28",22.5089
"2010-12-29",2.3874
"2010-12-30",18.5351
"2010-12-31",12.1596
"2011-01-01",0
"2011-01-02",1.6676
"2011-01-03",2.2356
"2011-01-04",8.9553
"2011-01-05",15.6218
"2011-01-06",0.1482
"2011-01-07",0.0654
"2011-01-08",11.4321
"2011-01-09",55.3994
"2011-01-10",24.0927
"2011-01-11",6.953
"2011-01-12",16.8468
"2011-01-13",24.2418
"2011-01-14",0
"2011-01-15",1.1035
"2011-01-16",0
"2011-01-17",0
"2011-01-18",0
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",0
"2011-01-26",0
"2011-01-27",0
"2011-01-28",2.9682
"2011-01-29",0
"2011-01-30",14.7791
"2011-01-31",23.113
"2011-02-01",3.1218
"2011-02-02",19.2294
"2011-02-03",29.0554
"2011-02-04",13.4009
"2011-02-05",0
"2011-02-06",1.4769
"2011-02-07",65.9412
"2011-02-08",0.807
"2011-02-09",0
"2011-02-10",0
"2011-02-11",0
"2011-02-12",0
"2011-02-13",0
"2011-02-14",0
"2011-02-15",0
"2011-02-16",0
"2011-02-17",0
"2011-02-18",0
"2011-02-19",0
"2011-02-20",0
"2011-02-21",18.0204
"2011-02-22",0
"2011-02-23",0
"2011-02-24",0
"2011-02-25",0.4465
"2011-02-26",1.2669
"2011-02-27",0.3154
"2011-02-28",6.0153
"2011-03-01",0
"2011-03-02",0
"2011-03-03",0.7943
"2011-03-04",3.4158
"2011-03-05",0
"2011-03-06",0
"2011-03-07",0
"2011-03-08",0
"2011-03-09",0
"2011-03-10",0
"2011-03-11",0
"2011-03-12",0
"2011-03-13",0.4522
"2011-03-14",0.0244
"2011-03-15",0.1655
"2011-03-16",0
"2011-03-17",0
"2011-03-18",0
"2011-03-19",0
"2011-03-20",1.0959
"2011-03-21",0
"2011-03-22",0.033
"2011-03-23",0
"2011-03-24",0
"2011-03-25",3.3626
"2011-03-26",0.7094
"2011-03-27",0
"2011-03-28",0
"2011-03-29",0
"2011-03-30",0
"2011-03-31",0
"2011-04-01",0
"2011-04-02",0
"2011-04-03",0.0129
"2011-04-04",0
"2011-04-05",0
"2011-04-06",0
"2011-04-07",0
"2011-04-08",0
"2011-04-09",0.4948
"2011-04-10",12.0479
"2011-04-11",2.2427
"2011-04-12",3.6404
"2011-04-13",3.5787
"2011-04-14",0.6221
"2011-04-15",0.0684
"2011-04-16",19.4708
"2011-04-17",20.7008
"2011-04-18",9.0872
"2011-04-19",11.7239
"2011-04-20",20.2972
"2011-04-21",23.2319
"2011-04-22",18.74
"2011-04-23",23.7686
"2011-04-24",14.4909
"2011-04-25",31.6678
"2011-04-26",4.6055
"2011-04-27",7.8457
"2011-04-28",9.3956
"2011-04-29",2.4524
"2011-04-30",4.3468
"2011-05-01",2.0667
"2011-05-02",0.5926
"2011-05-03",0
"2011-05-04",0
"2011-05-05",0.7834
"2011-05-06",0
"2011-05-07",0
"2011-05-08",0
"2011-05-09",0
"2011-05-10",0
"2011-05-11",0
"2011-05-12",0
"2011-05-13",0
"2011-05-14",0
"2011-05-15",0
"2011-05-16",0.1629
"2011-05-17",0.3127
"2011-05-18",0.0005
"2011-05-19",0
"2011-05-20",0
"2011-05-21",0
"2011-05-22",0
"2011-05-23",0
"2011-05-24",0
"2011-05-25",0.3694
"2011-05-26",0.225
"2011-05-27",0
"2011-05-28",0.314
"2011-05-29",0
"2011-05-30",0
"2011-05-31",0
"2011-06-01",0
"2011-06-02",0.3215
"2011-06-03",0
"2011-06-04",0
"2011-06-05",0.0047
"2011-06-06",0
"2011-06-07",0.008
"2011-06-08",0
"2011-06-09",0
"2011-06-10",0
"2011-06-11",0
"2011-06-12",0
"2011-06-13",0
"2011-06-14",0
"2011-06-15",0
"2011-06-16",0
"2011-06-17",0
"2011-06-18",0
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0
"2011-06-26",0
"2011-06-27",0
"2011-06-28",0
"2011-06-29",0
"2011-06-30",0
"2011-07-01",0
"2011-07-02",0
"2011-07-03",0.0008
"2011-07-04",0.0003
"2011-07-05",0.0008
"2011-07-06",0
"2011-07-07",0
"2011-07-08",0.0016
"2011-07-09",0
"2011-07-10",0
"2011-07-11",0
"2011-07-12",0.0003
"2011-07-13",0.0003
"2011-07-14",0
"2011-07-15",0
"2011-07-16",0
"2011-07-17",0
"2011-07-18",0
"2011-07-19",0
"2011-07-20",0
"2011-07-21",0
"2011-07-22",0.0033
"2011-07-23",0
"2011-07-24",0.0021
"2011-07-25",0.0089
"2011-07-26",0.0152
"2011-07-27",0
"2011-07-28",0
"2011-07-29",0.0067
"2011-07-30",0.0264
"2011-07-31",0.0005
"2011-08-01",0.001
"2011-08-02",0.0092
"2011-08-03",0.0345
"2011-08-04",0
"2011-08-05",0
"2011-08-06",0
"2011-08-07",0
"2011-08-08",0.0089
"2011-08-09",0.045
"2011-08-10",0.0867
"2011-08-11",0.0991
"2011-08-12",0.2892
"2011-08-13",0
"2011-08-14",0.1804
"2011-08-15",0.2217
"2011-08-16",0.2825
"2011-08-17",0.1991
"2011-08-18",0
"2011-08-19",0.0992
"2011-08-20",0.1736
"2011-08-21",1.0813
"2011-08-22",0.4588
"2011-08-23",0.4138
"2011-08-24",0
"2011-08-25",0
"2011-08-26",1.8729
"2011-08-27",0.6467
"2011-08-28",0
"2011-08-29",0
"2011-08-30",0
"2011-08-31",0.027
"2011-09-01",0
"2011-09-02",0
"2011-09-03",0.0895
"2011-09-04",0
"2011-09-05",0.0286
"2011-09-06",0.1155
"2011-09-07",0
"2011-09-08",0.5051
"2011-09-09",1.4643
"2011-09-10",3.0962
"2011-09-11",2.0373
"2011-09-12",3.7197
"2011-09-13",0
"2011-09-14",1.565
"2011-09-15",0.0222
"2011-09-16",0
"2011-09-17",0
"2011-09-18",0
"2011-09-19",0
"2011-09-20",0.101
"2011-09-21",0.0934
"2011-09-22",0
"2011-09-23",0
"2011-09-24",0
"2011-09-25",0
"2011-09-26",0
"2011-09-27",0.8275
"2011-09-28",1.4936
"2011-09-29",2.8678
"2011-09-30",0.4689
"2011-10-01",7.1834
"2011-10-02",0
"2011-10-03",3.4935
"2011-10-04",30.1654
"2011-10-05",4.6074
"2011-10-06",0
"2011-10-07",0.2169
"2011-10-08",0
"2011-10-09",4.9596
"2011-10-10",5.8371
"2011-10-11",4.8293
"2011-10-12",1.6357
"2011-10-13",1.8122
"2011-10-14",12.1035
"2011-10-15",5.2942
"2011-10-16",6.6287
"2011-10-17",10.6649
"2011-10-18",10.9192
"2011-10-19",11.2416
"2011-10-20",3.1414
"2011-10-21",0
"2011-10-22",2.2121
"2011-10-23",2.4393
"2011-10-24",12.8478
"2011-10-25",33.9227
"2011-10-26",18.5491
"2011-10-27",6.1508
"2011-10-28",27.7693
"2011-10-29",20.1592
"2011-10-30",17.8295
"2011-10-31",17.4449
"2011-11-01",77.776
"2011-11-02",22.9351
"2011-11-03",21.5554
"2011-11-04",0.3701
"2011-11-05",0.4319
"2011-11-06",0
"2011-11-07",0
"2011-11-08",0
"2011-11-09",0
"2011-11-10",0.2981
"2011-11-11",2.186
"2011-11-12",0
"2011-11-13",0
"2011-11-14",0
"2011-11-15",2.3918
"2011-11-16",38.4522
"2011-11-17",1.2425
"2011-11-18",45.085
"2011-11-19",66.4889
"2011-11-20",0
"2011-11-21",2.7739
"2011-11-22",2.1627
"2011-11-23",25.2011
"2011-11-24",60.4786
"2011-11-25",64.8709
"2011-11-26",12.6409
"2011-11-27",9.7751
"2011-11-28",0.7785
"2011-11-29",0
"2011-11-30",36.4102
"2011-12-01",11.9767
"2011-12-02",0
"2011-12-03",0
"2011-12-04",0
"2011-12-05",0
"2011-12-06",0
"2011-12-07",0
"2011-12-08",0.0262
"2011-12-09",0
"2011-12-10",0
"2011-12-11",28.6438
"2011-12-12",20.7358
"2011-12-13",23.4114
"2011-12-14",0
"2011-12-15",6.2302
"2011-12-16",0
"2011-12-17",10.3521
"2011-12-18",43.2839
"2011-12-19",63.3744
"2011-12-20",4.0111
"2011-12-21",0
"2011-12-22",0.8097
"2011-12-23",32.1645
"2011-12-24",0
"2011-12-25",0
"2011-12-26",0.7247
"2011-12-27",14.4751
"2011-12-28",14.2351
"2011-12-29",25.4413
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",1.3261
"2012-01-05",0
"2012-01-06",0
"2012-01-07",2.3268
"2012-01-08",1.1657
"2012-01-09",0
"2012-01-10",0
"2012-01-11",0
"2012-01-12",0
"2012-01-13",0
"2012-01-14",0
"2012-01-15",0
"2012-01-16",0
"2012-01-17",0
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",0
"2012-01-22",1.7313
"2012-01-23",21.7931
"2012-01-24",0.3872
"2012-01-25",0
"2012-01-26",0
"2012-01-27",0
"2012-01-28",0
"2012-01-29",0
"2012-01-30",0
"2012-01-31",0.087
"2012-02-01",0
"2012-02-02",0
"2012-02-03",0
"2012-02-04",0
"2012-02-05",0
"2012-02-06",1.0069
"2012-02-07",0
"2012-02-08",0.347
"2012-02-09",18.7701
"2012-02-10",5.1782
"2012-02-11",0
"2012-02-12",0
"2012-02-13",0
"2012-02-14",0
"2012-02-15",0.4443
"2012-02-16",0
"2012-02-17",0
"2012-02-18",0
"2012-02-19",0
"2012-02-20",0
"2012-02-21",0
"2012-02-22",2.5287
"2012-02-23",0.2475
"2012-02-24",0
"2012-02-25",3.3763
"2012-02-26",0
"2012-02-27",0
"2012-02-28",0
"2012-02-29",0
"2012-03-01",0
"2012-03-02",0
"2012-03-03",0
"2012-03-04",0
"2012-03-05",1.6132
"2012-03-06",0
"2012-03-07",0.9856
"2012-03-08",0
"2012-03-09",0.0382
"2012-03-10",0
"2012-03-11",0.7285
"2012-03-12",3.7569
"2012-03-13",0
"2012-03-14",0
"2012-03-15",0
"2012-03-16",0
"2012-03-17",0
"2012-03-18",0
"2012-03-19",0
"2012-03-20",0
"2012-03-21",0.179
"2012-03-22",0
"2012-03-23",0
"2012-03-24",0
"2012-03-25",0
"2012-03-26",0
"2012-03-27",5.316
"2012-03-28",8.8776
"2012-03-29",0.3247
"2012-03-30",0
"2012-03-31",0.8234
"2012-04-01",0.0206
"2012-04-02",0
"2012-04-03",0.027
"2012-04-04",0
"2012-04-05",0
"2012-04-06",0
"2012-04-07",0
"2012-04-08",0
"2012-04-09",0.6919
"2012-04-10",3.675
"2012-04-11",0.2352
"2012-04-12",1.6904
"2012-04-13",3.7889
"2012-04-14",20.9655
"2012-04-15",8.5537
"2012-04-16",5.354
"2012-04-17",0.0335
"2012-04-18",3.4949
"2012-04-19",10.6556
"2012-04-20",1.9825
"2012-04-21",0
"2012-04-22",14.1658
"2012-04-23",12.3706
"2012-04-24",15.4718
"2012-04-25",3.8774
"2012-04-26",0.9837
"2012-04-27",0
"2012-04-28",0
"2012-04-29",5.3196
"2012-04-30",4.2522
"2012-05-01",0
"2012-05-02",0.0013
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0
"2012-05-06",0
"2012-05-07",1.9082
"2012-05-08",0.029
"2012-05-09",0
"2012-05-10",0
"2012-05-11",0.1239
"2012-05-12",0
"2012-05-13",0
"2012-05-14",0
"2012-05-15",0.0024
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0
"2012-05-19",0
"2012-05-20",0
"2012-05-21",0.1647
"2012-05-22",0
"2012-05-23",0
"2012-05-24",0
"2012-05-25",0
"2012-05-26",0
"2012-05-27",0
"2012-05-28",0.0502
"2012-05-29",0
"2012-05-30",0
"2012-05-31",0
"2012-06-01",0
"2012-06-02",0
"2012-06-03",0
"2012-06-04",0
"2012-06-05",0
"2012-06-06",0
"2012-06-07",0
"2012-06-08",0
"2012-06-09",0.0271
"2012-06-10",0.0695
"2012-06-11",0
"2012-06-12",0
"2012-06-13",0
"2012-06-14",0
"2012-06-15",0
"2012-06-16",0
"2012-06-17",0
"2012-06-18",0
"2012-06-19",0
"2012-06-20",0
"2012-06-21",0
"2012-06-22",0
"2012-06-23",0
"2012-06-24",0
"2012-06-25",0
"2012-06-26",0
"2012-06-27",0
"2012-06-28",0
"2012-06-29",0
"2012-06-30",0
"2012-07-01",0
"2012-07-02",0
"2012-07-03",0
"2012-07-04",0
"2012-07-05",0
"2012-07-06",0
"2012-07-07",0
"2012-07-08",0
"2012-07-09",0.0005
"2012-07-10",0.0011
"2012-07-11",0
"2012-07-12",0
"2012-07-13",0
"2012-07-14",0
"2012-07-15",0.0017
"2012-07-16",0.001
"2012-07-17",0.0005
"2012-07-18",0
"2012-07-19",0
"2012-07-20",0
"2012-07-21",0.0042
"2012-07-22",0
"2012-07-23",0
"2012-07-24",0
"2012-07-25",0
"2012-07-26",0
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0
"2012-07-30",0
"2012-07-31",0
"2012-08-01",0
"2012-08-02",0
"2012-08-03",0
"2012-08-04",0
"2012-08-05",0.0436
"2012-08-06",0
"2012-08-07",0
"2012-08-08",0.0015
"2012-08-09",0.1213
"2012-08-10",0
"2012-08-11",0
"2012-08-12",0
"2012-08-13",0
"2012-08-14",0
"2012-08-15",0
"2012-08-16",0.1256
"2012-08-17",0
"2012-08-18",0
"2012-08-19",0
"2012-08-20",0
"2012-08-21",0.0219
"2012-08-22",0
"2012-08-23",0
"2012-08-24",0
"2012-08-25",0
"2012-08-26",0
"2012-08-27",0.1449
"2012-08-28",0
"2012-08-29",0.0345
"2012-08-30",0.0272
"2012-08-31",0
"2012-09-01",0
"2012-09-02",0
"2012-09-03",4.5702
"2012-09-04",0.635
"2012-09-05",0
"2012-09-06",0
"2012-09-07",1.3703
"2012-09-08",10.588
"2012-09-09",0
"2012-09-10",0.0377
"2012-09-11",0
"2012-09-12",0
"2012-09-13",0
"2012-09-14",0
"2012-09-15",4.5037
"2012-09-16",0
"2012-09-17",0.3323
"2012-09-18",7.5433
"2012-09-19",0
"2012-09-20",0.6668
"2012-09-21",0
"2012-09-22",8.2992
"2012-09-23",0
"2012-09-24",0.0113
"2012-09-25",8.1244
"2012-09-26",7.6525
"2012-09-27",16.5552
"2012-09-28",0
"2012-09-29",0.4732
"2012-09-30",1.3897
"2012-10-01",0
"2012-10-02",0
"2012-10-03",0
"2012-10-04",0
"2012-10-05",0
"2012-10-06",0
"2012-10-07",6.8785
"2012-10-08",4.3453
"2012-10-09",16.3243
"2012-10-10",18.4482
"2012-10-11",18.7754
"2012-10-12",11.3322
"2012-10-13",24.5839
"2012-10-14",10.1769
"2012-10-15",8.4475
"2012-10-16",14.2392
"2012-10-17",18.7155
"2012-10-18",6.3003
"2012-10-19",22.619
"2012-10-20",18.9872
"2012-10-21",0.0577
"2012-10-22",22.4485
"2012-10-23",22.5015
"2012-10-24",16.1359
"2012-10-25",0
"2012-10-26",3.376
"2012-10-27",14.6052
"2012-10-28",27.9707
"2012-10-29",50.4047
"2012-10-30",50.8506
"2012-10-31",36.0988
"2012-11-01",6.3684
"2012-11-02",0
"2012-11-03",0
"2012-11-04",1.8701
"2012-11-05",4.9469
"2012-11-06",9.5111
"2012-11-07",8.6486
"2012-11-08",3.625
"2012-11-09",0
"2012-11-10",0
"2012-11-11",6.7898
"2012-11-12",0
"2012-11-13",0.7173
"2012-11-14",2.1301
"2012-11-15",10.2801
"2012-11-16",1.0496
"2012-11-17",0
"2012-11-18",0
"2012-11-19",0
"2012-11-20",0
"2012-11-21",0
"2012-11-22",0.5283
"2012-11-23",18.7216
"2012-11-24",13.7892
"2012-11-25",48.0537
"2012-11-26",43.0493
"2012-11-27",2.7784
"2012-11-28",0
"2012-11-29",0
"2012-11-30",0.0669
"2012-12-01",0.5047
"2012-12-02",0
"2012-12-03",24.1311
"2012-12-04",0.0387
"2012-12-05",0
"2012-12-06",2.1201
"2012-12-07",0.0315
"2012-12-08",2.8156
"2012-12-09",3.6154
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0
"2012-12-13",0
"2012-12-14",0
"2012-12-15",18.0836
"2012-12-16",13.3943
"2012-12-17",24.3359
"2012-12-18",15.9537
"2012-12-19",30.7422
"2012-12-20",11.1395
"2012-12-21",11.6305
"2012-12-22",79.1625
"2012-12-23",16.9925
"2012-12-24",4.5108
"2012-12-25",14.0674
"2012-12-26",5.2021
"2012-12-27",195.0023
"2012-12-28",4.754
"2012-12-29",0
"2012-12-30",0
"2012-12-31",0
"2013-01-01",1.8963
"2013-01-02",0.1086
"2013-01-03",16.0554
"2013-01-04",0.1904
"2013-01-05",0
"2013-01-06",2.8298
"2013-01-07",19.9015
"2013-01-08",67.4738
"2013-01-09",29.3416
"2013-01-10",0.3611
"2013-01-11",0
"2013-01-12",0
"2013-01-13",0.62
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",0
"2013-01-21",0
"2013-01-22",0
"2013-01-23",0
"2013-01-24",0
"2013-01-25",0
"2013-01-26",0
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",33.0113
"2013-02-05",24.2742
"2013-02-06",0
"2013-02-07",0
"2013-02-08",0.0999
"2013-02-09",0
"2013-02-10",0
"2013-02-11",21.8388
"2013-02-12",1.9245
"2013-02-13",17.7288
"2013-02-14",19.9856
"2013-02-15",0
"2013-02-16",7.4035
"2013-02-17",0
"2013-02-18",0
"2013-02-19",0.6622
"2013-02-20",0
"2013-02-21",0
"2013-02-22",0
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",0
"2013-03-01",0
"2013-03-02",0
"2013-03-03",7.8535
"2013-03-04",23.5055
"2013-03-05",26.2152
"2013-03-06",0.3418
"2013-03-07",0
"2013-03-08",0
"2013-03-09",0
"2013-03-10",0
"2013-03-11",0
"2013-03-12",0
"2013-03-13",0
"2013-03-14",0
"2013-03-15",2.683
"2013-03-16",0
"2013-03-17",0
"2013-03-18",0
"2013-03-19",0
"2013-03-20",0
"2013-03-21",0
"2013-03-22",1.0187
"2013-03-23",0
"2013-03-24",6.9803
"2013-03-25",0
"2013-03-26",0.2136
"2013-03-27",1.2099
"2013-03-28",3.2214
"2013-03-29",10.1745
"2013-03-30",0.716
"2013-03-31",0
"2013-04-01",1.4474
"2013-04-02",2.8437
"2013-04-03",1.5639
"2013-04-04",0
"2013-04-05",0
"2013-04-06",2.1337
"2013-04-07",0
"2013-04-08",0
"2013-04-09",0
"2013-04-10",0.4134
"2013-04-11",0
"2013-04-12",0
"2013-04-13",13.4821
"2013-04-14",5.3213
"2013-04-15",2.137
"2013-04-16",0
"2013-04-17",0
"2013-04-18",0
"2013-04-19",0
"2013-04-20",0
"2013-04-21",0.3667
"2013-04-22",1.3482
"2013-04-23",3.7391
"2013-04-24",3.0374
"2013-04-25",2.72
"2013-04-26",2.8014
"2013-04-27",0.0488
"2013-04-28",0
"2013-04-29",0.6921
"2013-04-30",4.093
"2013-05-01",3.2072
"2013-05-02",1.5754
"2013-05-03",0
"2013-05-04",1.5539
"2013-05-05",5.6394
"2013-05-06",0.6326
"2013-05-07",0.0413
"2013-05-08",0.0075
"2013-05-09",0
"2013-05-10",0.6631
"2013-05-11",1.0287
"2013-05-12",2.5562
"2013-05-13",2.9478
"2013-05-14",0
"2013-05-15",0
"2013-05-16",0
"2013-05-17",0
"2013-05-18",0
"2013-05-19",0
"2013-05-20",0
"2013-05-21",0
"2013-05-22",0
"2013-05-23",0
"2013-05-24",0
"2013-05-25",0
"2013-05-26",0
"2013-05-27",0
"2013-05-28",0
"2013-05-29",0
"2013-05-30",0.6901
"2013-05-31",0.0501
"2013-06-01",0.0436
"2013-06-02",0
"2013-06-03",0
"2013-06-04",0.0527
"2013-06-05",0.1687
"2013-06-06",0
"2013-06-07",0.0231
"2013-06-08",0
"2013-06-09",0
"2013-06-10",0
"2013-06-11",0
"2013-06-12",0
"2013-06-13",0
"2013-06-14",0
"2013-06-15",0
"2013-06-16",0
"2013-06-17",0
"2013-06-18",0
"2013-06-19",0
"2013-06-20",0
"2013-06-21",0
"2013-06-22",0
"2013-06-23",0
"2013-06-24",0
"2013-06-25",0
"2013-06-26",0
"2013-06-27",0
"2013-06-28",0
"2013-06-29",0
"2013-06-30",0
"2013-07-01",0
"2013-07-02",0
"2013-07-03",0
"2013-07-04",0
"2013-07-05",0.0005
"2013-07-06",0
"2013-07-07",0.0013
"2013-07-08",0
"2013-07-09",0
"2013-07-10",0
"2013-07-11",0.0013
"2013-07-12",0.0003
"2013-07-13",0
"2013-07-14",0
"2013-07-15",0.0005
"2013-07-16",0.0008
"2013-07-17",0
"2013-07-18",0.0004
"2013-07-19",0
"2013-07-20",0.0008
"2013-07-21",0.0102
"2013-07-22",0
"2013-07-23",0.0098
"2013-07-24",0.0079
"2013-07-25",0
"2013-07-26",0
"2013-07-27",0
"2013-07-28",0.0022
"2013-07-29",0.0159
"2013-07-30",0
"2013-07-31",0
"2013-08-01",0
"2013-08-02",0.0369
"2013-08-03",0.0805
"2013-08-04",0.1315
"2013-08-05",0.1374
"2013-08-06",0
"2013-08-07",0
"2013-08-08",0
"2013-08-09",0
"2013-08-10",0.4139
"2013-08-11",0
"2013-08-12",0
"2013-08-13",0.1343
"2013-08-14",0.1153
"2013-08-15",0.0328
"2013-08-16",0
"2013-08-17",0
"2013-08-18",0
"2013-08-19",0
"2013-08-20",0
"2013-08-21",0.0841
"2013-08-22",0
"2013-08-23",0
"2013-08-24",0.6077
"2013-08-25",0
"2013-08-26",0
"2013-08-27",0.0031
"2013-08-28",1.3553
"2013-08-29",0
"2013-08-30",0
"2013-08-31",1.6255
"2013-09-01",0.4045
"2013-09-02",4.3258
"2013-09-03",0
"2013-09-04",0.3714
"2013-09-05",2.2324
"2013-09-06",7.2858
"2013-09-07",10.4025
"2013-09-08",3.523
"2013-09-09",0.4914
"2013-09-10",9.519
"2013-09-11",0.6084
"2013-09-12",6.4012
"2013-09-13",0
"2013-09-14",0.1387
"2013-09-15",0
"2013-09-16",0
"2013-09-17",0
"2013-09-18",0.1242
"2013-09-19",0
"2013-09-20",0
"2013-09-21",0
"2013-09-22",0
"2013-09-23",0
"2013-09-24",0
"2013-09-25",0
"2013-09-26",0
"2013-09-27",0
"2013-09-28",0
"2013-09-29",0.5409
