,"(mm) Precipitation (CHIRPS) at Jaffna, 2007-01-01 to 2025-12-31"
"2010-05-31",0
"2010-06-01",0
"2010-06-02",0.141
"2010-06-03",0
"2010-06-04",0
"2010-06-05",0.0185
"2010-06-06",0.0138
"2010-06-07",0.0233
"2010-06-08",0.4874
"2010-06-09",0.0067
"2010-06-10",0.1759
"2010-06-11",0
"2010-06-12",0
"2010-06-13",0
"2010-06-14",0
"2010-06-15",0
"2010-06-16",0
"2010-06-17",0
"2010-06-18",0
"2010-06-19",0
"2010-06-20",0
"2010-06-21",0
"2010-06-22",0
"2010-06-23",0
"2010-06-24",0
"2010-06-25",0
"2010-06-26",0
"2010-06-27",0
"2010-06-28",0
"2010-06-29",0
"2010-06-30",0
"2010-07-01",0
"2010-07-02",0
"2010-07-03",0
"2010-07-04",0
"2010-07-05",0
"2010-07-06",0
"2010-07-07",0
"2010-07-08",0
"2010-07-09",0
"2010-07-10",0
"2010-07-11",0
"2010-07-12",0
"2010-07-13",0
"2010-07-14",0
"2010-07-15",0
"2010-07-16",0
"2010-07-17",0
"2010-07-18",0
"2010-07-19",0
"2010-07-20",0
"2010-07-21",0.0311
"2010-07-22",0.0233
"2010-07-23",0
"2010-07-24",0.0603
"2010-07-25",0.0192
"2010-07-26",0.0567
"2010-07-27",0.2182
"2010-07-28",0.4723
"2010-07-29",0.1189
"2010-07-30",0.0028
"2010-07-31",0
"2010-08-01",0
"2010-08-02",0.5926
"2010-08-03",0
"2010-08-04",0.2188
"2010-08-05",0
"2010-08-06",0
"2010-08-07",0
"2010-08-08",0
"2010-08-09",0.1703
"2010-08-10",0.0171
"2010-08-11",0
"2010-08-12",0.02
"2010-08-13",0.0053
"2010-08-14",0.2466
"2010-08-15",0
"2010-08-16",0
"2010-08-17",0.2299
"2010-08-18",0
"2010-08-19",0.446
"2010-08-20",5.3622
"2010-08-21",3.03
"2010-08-22",1.848
"2010-08-23",2.7698
"2010-08-24",4.0328
"2010-08-25",0.551
"2010-08-26",0
"2010-08-27",0.006
"2010-08-28",0
"2010-08-29",0.1507
"2010-08-30",0
"2010-08-31",0.1031
"2010-09-01",0
"2010-09-02",0.0496
"2010-09-03",2.3248
"2010-09-04",0
"2010-09-05",0
"2010-09-06",0
"2010-09-07",0.3046
"2010-09-08",0
"2010-09-09",0.2113
"2010-09-10",1.0117
"2010-09-11",3.7199
"2010-09-12",5.0732
"2010-09-13",1.226
"2010-09-14",2.4412
"2010-09-15",0
"2010-09-16",0
"2010-09-17",0
"2010-09-18",0.7744
"2010-09-19",0
"2010-09-20",1.2395
"2010-09-21",1.8944
"2010-09-22",3.8937
"2010-09-23",1.4007
"2010-09-24",0.2268
"2010-09-25",3.6287
"2010-09-26",12.7573
"2010-09-27",3.4659
"2010-09-28",3.5582
"2010-09-29",23.3902
"2010-09-30",10.0079
"2010-10-01",6.7421
"2010-10-02",10.9232
"2010-10-03",11.9202
"2010-10-04",2.1062
"2010-10-05",18.7768
"2010-10-06",3.5258
"2010-10-07",0
"2010-10-08",0
"2010-10-09",12.382
"2010-10-10",0.9942
"2010-10-11",1.6859
"2010-10-12",0.2265
"2010-10-13",0
"2010-10-14",4.2478
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",1.6028
"2010-10-19",0.2168
"2010-10-20",0
"2010-10-21",0
"2010-10-22",0
"2010-10-23",0
"2010-10-24",0
"2010-10-25",0
"2010-10-26",0
"2010-10-27",10.3841
"2010-10-28",37.215
"2010-10-29",7.3159
"2010-10-30",12.5752
"2010-10-31",11.3217
"2010-11-01",8.0005
"2010-11-02",4.7475
"2010-11-03",4.4301
"2010-11-04",0.0188
"2010-11-05",23.4338
"2010-11-06",39.1753
"2010-11-07",21.5019
"2010-11-08",11.7478
"2010-11-09",5.7639
"2010-11-10",0
"2010-11-11",5.4989
"2010-11-12",0
"2010-11-13",0
"2010-11-14",0
"2010-11-15",0
"2010-11-16",10.3839
"2010-11-17",3.5154
"2010-11-18",4.7185
"2010-11-19",42.5855
"2010-11-20",3.4162
"2010-11-21",28.944
"2010-11-22",23.7317
"2010-11-23",67.7021
"2010-11-24",40.7309
"2010-11-25",56.1269
"2010-11-26",73.94
"2010-11-27",38.1114
"2010-11-28",41.4442
"2010-11-29",4.22
"2010-11-30",47.9223
"2010-12-01",28.2496
"2010-12-02",14.1999
"2010-12-03",46.8946
"2010-12-04",22.5855
"2010-12-05",60.0741
"2010-12-06",39.7086
"2010-12-07",18.7219
"2010-12-08",6.4764
"2010-12-09",0.5259
"2010-12-10",0
"2010-12-11",0.1376
"2010-12-12",0
"2010-12-13",0
"2010-12-14",0
"2010-12-15",0
"2010-12-16",0
"2010-12-17",0
"2010-12-18",0.1318
"2010-12-19",0
"2010-12-20",6.4682
"2010-12-21",19.9682
"2010-12-22",0.1642
"2010-12-23",6.0262
"2010-12-24",25.1985
"2010-12-25",22.7976
"2010-12-26",2.6763
"2010-12-27",10.6063
"2010-12-28",29.6848
"2010-12-29",0.8269
"2010-12-30",19.5305
"2010-12-31",7.3834
"2011-01-01",0
"2011-01-02",6.854
"2011-01-03",0.7595
"2011-01-04",1.2778
"2011-01-05",19.1425
"2011-01-06",0
"2011-01-07",0
"2011-01-08",7.3469
"2011-01-09",47.6402
"2011-01-10",19.4843
"2011-01-11",1.7921
"2011-01-12",14.0367
"2011-01-13",17.3184
"2011-01-14",0
"2011-01-15",0.1545
"2011-01-16",0
"2011-01-17",0
"2011-01-18",0
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",0
"2011-01-26",0
"2011-01-27",0
"2011-01-28",0.5496
"2011-01-29",0
"2011-01-30",6.2755
"2011-01-31",17.4607
"2011-02-01",0.577
"2011-02-02",18.2013
"2011-02-03",20.3767
"2011-02-04",11.6429
"2011-02-05",0
"2011-02-06",0
"2011-02-07",36.2719
"2011-02-08",0.4663
"2011-02-09",0
"2011-02-10",0
"2011-02-11",0
"2011-02-12",0
"2011-02-13",0
"2011-02-14",0
"2011-02-15",0
"2011-02-16",0
"2011-02-17",0
"2011-02-18",0
"2011-02-19",0
"2011-02-20",0
"2011-02-21",7.1625
"2011-02-22",0
"2011-02-23",0
"2011-02-24",0
"2011-02-25",7.8802
"2011-02-26",0.3389
"2011-02-27",0.5447
"2011-02-28",5.4579
"2011-03-01",0
"2011-03-02",0
"2011-03-03",0.9434
"2011-03-04",2.3738
"2011-03-05",0
"2011-03-06",0
"2011-03-07",0
"2011-03-08",0
"2011-03-09",0
"2011-03-10",0
"2011-03-11",0
"2011-03-12",0
"2011-03-13",0.3811
"2011-03-14",0.4183
"2011-03-15",0.8699
"2011-03-16",0
"2011-03-17",0
"2011-03-18",0
"2011-03-19",0
"2011-03-20",0
"2011-03-21",0
"2011-03-22",0
"2011-03-23",0
"2011-03-24",0
"2011-03-25",1.9132
"2011-03-26",0
"2011-03-27",0
"2011-03-28",0
"2011-03-29",0
"2011-03-30",0
"2011-03-31",0
"2011-04-01",0
"2011-04-02",0
"2011-04-03",0.0074
"2011-04-04",0
"2011-04-05",0
"2011-04-06",0
"2011-04-07",0
"2011-04-08",0
"2011-04-09",0
"2011-04-10",0.8252
"2011-04-11",0
"2011-04-12",0
"2011-04-13",0.5501
"2011-04-14",0.0707
"2011-04-15",0
"2011-04-16",12.9446
"2011-04-17",12.2733
"2011-04-18",1.828
"2011-04-19",2.6613
"2011-04-20",18.6668
"2011-04-21",19.2321
"2011-04-22",9.3884
"2011-04-23",23.1635
"2011-04-24",14.1893
"2011-04-25",20.605
"2011-04-26",0.5994
"2011-04-27",3.653
"2011-04-28",13.0211
"2011-04-29",1.4425
"2011-04-30",5.5598
"2011-05-01",3.6172
"2011-05-02",0.3475
"2011-05-03",0
"2011-05-04",0
"2011-05-05",1.2136
"2011-05-06",0
"2011-05-07",0
"2011-05-08",0
"2011-05-09",0
"2011-05-10",0
"2011-05-11",0
"2011-05-12",0
"2011-05-13",0
"2011-05-14",0
"2011-05-15",0
"2011-05-16",0.0302
"2011-05-17",0.175
"2011-05-18",0
"2011-05-19",0
"2011-05-20",0
"2011-05-21",0
"2011-05-22",0
"2011-05-23",0
"2011-05-24",0
"2011-05-25",0.8615
"2011-05-26",0
"2011-05-27",0
"2011-05-28",0.8697
"2011-05-29",0
"2011-05-30",0
"2011-05-31",0
"2011-06-01",0
"2011-06-02",0.3532
"2011-06-03",0
"2011-06-04",0
"2011-06-05",0
"2011-06-06",0
"2011-06-07",0.0542
"2011-06-08",0
"2011-06-09",0
"2011-06-10",0
"2011-06-11",0
"2011-06-12",0
"2011-06-13",0
"2011-06-14",0
"2011-06-15",0
"2011-06-16",0
"2011-06-17",0
"2011-06-18",0
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0
"2011-06-26",0
"2011-06-27",0
"2011-06-28",0
"2011-06-29",0
"2011-06-30",0
"2011-07-01",0
"2011-07-02",0
"2011-07-03",0
"2011-07-04",0
"2011-07-05",0
"2011-07-06",0
"2011-07-07",0
"2011-07-08",0
"2011-07-09",0
"2011-07-10",0
"2011-07-11",0
"2011-07-12",0
"2011-07-13",0
"2011-07-14",0
"2011-07-15",0
"2011-07-16",0
"2011-07-17",0
"2011-07-18",0
"2011-07-19",0
"2011-07-20",0
"2011-07-21",0
"2011-07-22",0.0285
"2011-07-23",0
"2011-07-24",0.0059
"2011-07-25",0.0327
"2011-07-26",0.0749
"2011-07-27",0
"2011-07-28",0.0013
"2011-07-29",0.2847
"2011-07-30",0.0589
"2011-07-31",0
"2011-08-01",0.0061
"2011-08-02",0.0114
"2011-08-03",1.1145
"2011-08-04",0
"2011-08-05",0
"2011-08-06",0
"2011-08-07",0
"2011-08-08",0
"2011-08-09",0
"2011-08-10",0.9068
"2011-08-11",0
"2011-08-12",5.0018
"2011-08-13",0
"2011-08-14",1.6296
"2011-08-15",0.4754
"2011-08-16",2.9298
"2011-08-17",2.1966
"2011-08-18",0
"2011-08-19",0.3339
"2011-08-20",0.8916
"2011-08-21",1.6689
"2011-08-22",0.5565
"2011-08-23",0.8817
"2011-08-24",0
"2011-08-25",0.0043
"2011-08-26",1.6307
"2011-08-27",0.6918
"2011-08-28",0
"2011-08-29",0.1062
"2011-08-30",0
"2011-08-31",0.4213
"2011-09-01",0
"2011-09-02",0.1642
"2011-09-03",0.0494
"2011-09-04",0
"2011-09-05",0
"2011-09-06",2.0023
"2011-09-07",0
"2011-09-08",0
"2011-09-09",1.9528
"2011-09-10",1.6094
"2011-09-11",0.4025
"2011-09-12",3.077
"2011-09-13",0
"2011-09-14",0.0973
"2011-09-15",0.0488
"2011-09-16",0
"2011-09-17",0
"2011-09-18",0
"2011-09-19",0
"2011-09-20",0.0873
"2011-09-21",0.2076
"2011-09-22",0
"2011-09-23",0
"2011-09-24",0
"2011-09-25",0
"2011-09-26",0
"2011-09-27",0
"2011-09-28",0.0496
"2011-09-29",0.0175
"2011-09-30",2.8987
"2011-10-01",0.6562
"2011-10-02",0
"2011-10-03",0
"2011-10-04",34.7122
"2011-10-05",0.0472
"2011-10-06",0
"2011-10-07",0.0373
"2011-10-08",0
"2011-10-09",0.1738
"2011-10-10",1.4652
"2011-10-11",8.7729
"2011-10-12",3.6857
"2011-10-13",0.6012
"2011-10-14",6.0852
"2011-10-15",7.8571
"2011-10-16",7.5394
"2011-10-17",12.6784
"2011-10-18",11.2916
"2011-10-19",9.7461
"2011-10-20",2.51
"2011-10-21",0.1386
"2011-10-22",6.5436
"2011-10-23",3.6035
"2011-10-24",9.9566
"2011-10-25",35.1268
"2011-10-26",16.5156
"2011-10-27",14.4973
"2011-10-28",28.3139
"2011-10-29",27.1217
"2011-10-30",20.4802
"2011-10-31",28.8212
"2011-11-01",79.441
"2011-11-02",38.4174
"2011-11-03",8.3682
"2011-11-04",0
"2011-11-05",0
"2011-11-06",0
"2011-11-07",0.5186
"2011-11-08",0
"2011-11-09",0
"2011-11-10",0
"2011-11-11",0
"2011-11-12",0
"2011-11-13",0
"2011-11-14",0
"2011-11-15",0.6765
"2011-11-16",55.3761
"2011-11-17",16.3407
"2011-11-18",30.2997
"2011-11-19",22.583
"2011-11-20",0
"2011-11-21",2.0774
"2011-11-22",7.4241
"2011-11-23",27.9886
"2011-11-24",53.9666
"2011-11-25",56.5315
"2011-11-26",4.9887
"2011-11-27",20.5048
"2011-11-28",0
"2011-11-29",0
"2011-11-30",45.8215
"2011-12-01",11.0301
"2011-12-02",0
"2011-12-03",0
"2011-12-04",0
"2011-12-05",0
"2011-12-06",0
"2011-12-07",0
"2011-12-08",0.2873
"2011-12-09",0
"2011-12-10",0
"2011-12-11",31.1059
"2011-12-12",23.2183
"2011-12-13",26.0057
"2011-12-14",0
"2011-12-15",1.2512
"2011-12-16",0
"2011-12-17",5.6118
"2011-12-18",49.1355
"2011-12-19",57.8024
"2011-12-20",6.0612
"2011-12-21",0
"2011-12-22",1.3065
"2011-12-23",28.6242
"2011-12-24",0
"2011-12-25",0
"2011-12-26",1.1711
"2011-12-27",10.2045
"2011-12-28",11.0784
"2011-12-29",29.2563
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",3.9302
"2012-01-05",0
"2012-01-06",0
"2012-01-07",5.4377
"2012-01-08",5.0494
"2012-01-09",0
"2012-01-10",0
"2012-01-11",0
"2012-01-12",0
"2012-01-13",0.319
"2012-01-14",0
"2012-01-15",0.2956
"2012-01-16",0
"2012-01-17",0
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",1.5058
"2012-01-22",3.7543
"2012-01-23",10.9652
"2012-01-24",0
"2012-01-25",0.1164
"2012-01-26",0
"2012-01-27",0
"2012-01-28",0
"2012-01-29",0
"2012-01-30",0
"2012-01-31",1.9705
"2012-02-01",0
"2012-02-02",0
"2012-02-03",0
"2012-02-04",0
"2012-02-05",0
"2012-02-06",3.2766
"2012-02-07",0.0335
"2012-02-08",0
"2012-02-09",9.3638
"2012-02-10",1.2561
"2012-02-11",0
"2012-02-12",0
"2012-02-13",0
"2012-02-14",0
"2012-02-15",0.1159
"2012-02-16",0
"2012-02-17",0
"2012-02-18",0
"2012-02-19",0
"2012-02-20",0
"2012-02-21",0
"2012-02-22",1.0413
"2012-02-23",1.0447
"2012-02-24",0
"2012-02-25",4.8126
"2012-02-26",0
"2012-02-27",0
"2012-02-28",0
"2012-02-29",0
"2012-03-01",0
"2012-03-02",0
"2012-03-03",0
"2012-03-04",0
"2012-03-05",0
"2012-03-06",0
"2012-03-07",0.0132
"2012-03-08",0
"2012-03-09",0.0123
"2012-03-10",0
"2012-03-11",0.3808
"2012-03-12",8.631
"2012-03-13",0
"2012-03-14",0
"2012-03-15",0
"2012-03-16",0
"2012-03-17",0
"2012-03-18",0
"2012-03-19",0
"2012-03-20",0
"2012-03-21",0
"2012-03-22",0
"2012-03-23",0
"2012-03-24",0
"2012-03-25",0
"2012-03-26",0
"2012-03-27",0.0113
"2012-03-28",1.6591
"2012-03-29",0
"2012-03-30",0
"2012-03-31",0.7311
"2012-04-01",0
"2012-04-02",0
"2012-04-03",0.0412
"2012-04-04",0
"2012-04-05",0
"2012-04-06",0
"2012-04-07",0
"2012-04-08",0
"2012-04-09",0.0325
"2012-04-10",0.3562
"2012-04-11",0
"2012-04-12",1.8583
"2012-04-13",2.0557
"2012-04-14",20.5915
"2012-04-15",1.9549
"2012-04-16",2.0523
"2012-04-17",0
"2012-04-18",1.4737
"2012-04-19",6.0584
"2012-04-20",1.906
"2012-04-21",0.4856
"2012-04-22",9.8422
"2012-04-23",11.0499
"2012-04-24",12.516
"2012-04-25",0.6649
"2012-04-26",3.119
"2012-04-27",0
"2012-04-28",0
"2012-04-29",1.0553
"2012-04-30",2.2402
"2012-05-01",0
"2012-05-02",0
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0
"2012-05-06",0
"2012-05-07",1.3844
"2012-05-08",0.0043
"2012-05-09",0
"2012-05-10",0
"2012-05-11",0.1458
"2012-05-12",0
"2012-05-13",0.0449
"2012-05-14",0.2566
"2012-05-15",0
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0
"2012-05-19",0
"2012-05-20",0
"2012-05-21",0
"2012-05-22",0
"2012-05-23",0
"2012-05-24",0.2537
"2012-05-25",0
"2012-05-26",0
"2012-05-27",0.2011
"2012-05-28",0.7672
"2012-05-29",0
"2012-05-30",0.0423
"2012-05-31",0
"2012-06-01",0
"2012-06-02",0
"2012-06-03",0
"2012-06-04",0
"2012-06-05",0
"2012-06-06",0
"2012-06-07",0
"2012-06-08",0
"2012-06-09",0.1057
"2012-06-10",0.3512
"2012-06-11",0
"2012-06-12",0
"2012-06-13",0
"2012-06-14",0
"2012-06-15",0
"2012-06-16",0
"2012-06-17",0
"2012-06-18",0
"2012-06-19",0
"2012-06-20",0
"2012-06-21",0
"2012-06-22",0
"2012-06-23",0
"2012-06-24",0
"2012-06-25",0
"2012-06-26",0
"2012-06-27",0
"2012-06-28",0
"2012-06-29",0
"2012-06-30",0
"2012-07-01",0
"2012-07-02",0
"2012-07-03",0
"2012-07-04",0
"2012-07-05",0
"2012-07-06",0
"2012-07-07",0
"2012-07-08",0
"2012-07-09",0
"2012-07-10",0
"2012-07-11",0
"2012-07-12",0
"2012-07-13",0
"2012-07-14",0
"2012-07-15",0
"2012-07-16",0
"2012-07-17",0
"2012-07-18",0
"2012-07-19",0
"2012-07-20",0
"2012-07-21",0.1414
"2012-07-22",0
"2012-07-23",0
"2012-07-24",0
"2012-07-25",0
"2012-07-26",0
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0
"2012-07-30",0
"2012-07-31",0
"2012-08-01",0
"2012-08-02",0
"2012-08-03",0.0843
"2012-08-04",0
"2012-08-05",1.0248
"2012-08-06",0
"2012-08-07",0
"2012-08-08",0
"2012-08-09",1.7516
"2012-08-10",0
"2012-08-11",0
"2012-08-12",0
"2012-08-13",0
"2012-08-14",0
"2012-08-15",0
"2012-08-16",0
"2012-08-17",0
"2012-08-18",0
"2012-08-19",0
"2012-08-20",0
"2012-08-21",0.0258
"2012-08-22",0
"2012-08-23",0
"2012-08-24",0
"2012-08-25",0
"2012-08-26",0.0559
"2012-08-27",1.8469
"2012-08-28",0.0144
"2012-08-29",0.1151
"2012-08-30",0.0188
"2012-08-31",0.8381
"2012-09-01",0
"2012-09-02",0
"2012-09-03",2.3749
"2012-09-04",0.3306
"2012-09-05",0
"2012-09-06",0
"2012-09-07",1.481
"2012-09-08",4.6182
"2012-09-09",0
"2012-09-10",0.0136
"2012-09-11",0
"2012-09-12",0
"2012-09-13",0
"2012-09-14",0
"2012-09-15",4.6528
"2012-09-16",0.0144
"2012-09-17",0.4591
"2012-09-18",3.4755
"2012-09-19",0
"2012-09-20",0.6531
"2012-09-21",0
"2012-09-22",4.1072
"2012-09-23",0
"2012-09-24",0.0964
"2012-09-25",0.5854
"2012-09-26",5.2527
"2012-09-27",10.8907
"2012-09-28",0.7115
"2012-09-29",0.0975
"2012-09-30",15.2793
"2012-10-01",0
"2012-10-02",0
"2012-10-03",0
"2012-10-04",0
"2012-10-05",0
"2012-10-06",0
"2012-10-07",5.6498
"2012-10-08",4.3442
"2012-10-09",11.8018
"2012-10-10",23.6963
"2012-10-11",15.2298
"2012-10-12",3.2251
"2012-10-13",19.6385
"2012-10-14",8.4368
"2012-10-15",6.5206
"2012-10-16",16.9172
"2012-10-17",17.3484
"2012-10-18",14.2616
"2012-10-19",30.3922
"2012-10-20",24.9851
"2012-10-21",0.5219
"2012-10-22",28.3977
"2012-10-23",31.1462
"2012-10-24",26.1176
"2012-10-25",0
"2012-10-26",4.7336
"2012-10-27",10.8236
"2012-10-28",28.6283
"2012-10-29",59.1401
"2012-10-30",59.3932
"2012-10-31",43.8818
"2012-11-01",3.4163
"2012-11-02",0
"2012-11-03",0
"2012-11-04",3.0187
"2012-11-05",5.1364
"2012-11-06",5.8524
"2012-11-07",9.909
"2012-11-08",4.9802
"2012-11-09",0
"2012-11-10",0
"2012-11-11",5.5127
"2012-11-12",0.138
"2012-11-13",0.2862
"2012-11-14",1.4427
"2012-11-15",1.6606
"2012-11-16",0.0815
"2012-11-17",0
"2012-11-18",0
"2012-11-19",0
"2012-11-20",0
"2012-11-21",0
"2012-11-22",1.1231
"2012-11-23",8.715
"2012-11-24",8.2498
"2012-11-25",58.4877
"2012-11-26",44.5357
"2012-11-27",0.5799
"2012-11-28",0
"2012-11-29",0
"2012-11-30",0
"2012-12-01",0
"2012-12-02",0
"2012-12-03",15.7764
"2012-12-04",1.1869
"2012-12-05",0
"2012-12-06",0.5911
"2012-12-07",0
"2012-12-08",1.9357
"2012-12-09",0.071
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0
"2012-12-13",0
"2012-12-14",0
"2012-12-15",14.7934
"2012-12-16",8.3408
"2012-12-17",22.2038
"2012-12-18",15.4663
"2012-12-19",26.7668
"2012-12-20",9.5164
"2012-12-21",1.6518
"2012-12-22",55.6082
"2012-12-23",14.0579
"2012-12-24",1.1413
"2012-12-25",4.6911
"2012-12-26",5.1032
"2012-12-27",150.7166
"2012-12-28",3.7432
"2012-12-29",1.6579
"2012-12-30",0
"2012-12-31",0
"2013-01-01",2.0542
"2013-01-02",0
"2013-01-03",8.164
"2013-01-04",0.1867
"2013-01-05",0
"2013-01-06",0.4381
"2013-01-07",8.0009
"2013-01-08",54.5744
"2013-01-09",33.4792
"2013-01-10",0.0418
"2013-01-11",0
"2013-01-12",0
"2013-01-13",0.3102
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",0
"2013-01-21",0
"2013-01-22",0
"2013-01-23",0
"2013-01-24",0
"2013-01-25",0
"2013-01-26",0
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",26.7547
"2013-02-05",19.6668
"2013-02-06",0.0172
"2013-02-07",0
"2013-02-08",0
"2013-02-09",0
"2013-02-10",0
"2013-02-11",12.4661
"2013-02-12",1.293
"2013-02-13",12.6323
"2013-02-14",16.3569
"2013-02-15",0
"2013-02-16",0.0059
"2013-02-17",0
"2013-02-18",0
"2013-02-19",2.0113
"2013-02-20",0
"2013-02-21",0
"2013-02-22",0
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",0
"2013-03-01",0
"2013-03-02",0
"2013-03-03",6.8164
"2013-03-04",17.4783
"2013-03-05",17.2823
"2013-03-06",0
"2013-03-07",0
"2013-03-08",0
"2013-03-09",0
"2013-03-10",0
"2013-03-11",0
"2013-03-12",0
"2013-03-13",0
"2013-03-14",0
"2013-03-15",1.6346
"2013-03-16",0
"2013-03-17",0
"2013-03-18",0
"2013-03-19",0
"2013-03-20",0
"2013-03-21",0
"2013-03-22",0
"2013-03-23",0
"2013-03-24",1.1994
"2013-03-25",0
"2013-03-26",0.1714
"2013-03-27",0.3503
"2013-03-28",0.5992
"2013-03-29",1.9201
"2013-03-30",1.4257
"2013-03-31",0
"2013-04-01",0.1726
"2013-04-02",0.8904
"2013-04-03",2.4196
"2013-04-04",0
"2013-04-05",0
"2013-04-06",0.2102
"2013-04-07",0
"2013-04-08",0
"2013-04-09",0
"2013-04-10",0
"2013-04-11",0
"2013-04-12",0
"2013-04-13",10.1611
"2013-04-14",4.6931
"2013-04-15",0.3426
"2013-04-16",0
"2013-04-17",0
"2013-04-18",0
"2013-04-19",0
"2013-04-20",0
"2013-04-21",0.0916
"2013-04-22",0.0916
"2013-04-23",1.2041
"2013-04-24",0.4835
"2013-04-25",0.4156
"2013-04-26",0.3623
"2013-04-27",0
"2013-04-28",0
"2013-04-29",0.0687
"2013-04-30",3.1497
"2013-05-01",3.3261
"2013-05-02",2.0698
"2013-05-03",0.1333
"2013-05-04",1.0545
"2013-05-05",6.1414
"2013-05-06",1.445
"2013-05-07",0.3866
"2013-05-08",0.0021
"2013-05-09",0
"2013-05-10",0.6941
"2013-05-11",1.8929
"2013-05-12",4.6786
"2013-05-13",5.8341
"2013-05-14",0
"2013-05-15",0
"2013-05-16",0
"2013-05-17",0
"2013-05-18",0
"2013-05-19",0
"2013-05-20",0
"2013-05-21",0
"2013-05-22",0
"2013-05-23",0
"2013-05-24",0
"2013-05-25",0
"2013-05-26",0.0004
"2013-05-27",0
"2013-05-28",0
"2013-05-29",0
"2013-05-30",0.5969
"2013-05-31",0.0014
"2013-06-01",0.0772
"2013-06-02",0
"2013-06-03",0
"2013-06-04",0
"2013-06-05",0.622
"2013-06-06",0
"2013-06-07",0.0012
"2013-06-08",0
"2013-06-09",0
"2013-06-10",0
"2013-06-11",0
"2013-06-12",0
"2013-06-13",0
"2013-06-14",0
"2013-06-15",0
"2013-06-16",0
"2013-06-17",0
"2013-06-18",0
"2013-06-19",0
"2013-06-20",0
"2013-06-21",0
"2013-06-22",0
"2013-06-23",0
"2013-06-24",0
"2013-06-25",0
"2013-06-26",0
"2013-06-27",0
"2013-06-28",0
"2013-06-29",0
"2013-06-30",0
"2013-07-01",0
"2013-07-02",0
"2013-07-03",0
"2013-07-04",0
"2013-07-05",0
"2013-07-06",0
"2013-07-07",0
"2013-07-08",0
"2013-07-09",0
"2013-07-10",0
"2013-07-11",0
"2013-07-12",0
"2013-07-13",0
"2013-07-14",0
"2013-07-15",0
"2013-07-16",0
"2013-07-17",0
"2013-07-18",0
"2013-07-19",0
"2013-07-20",0
"2013-07-21",0.0503
"2013-07-22",0
"2013-07-23",0.0659
"2013-07-24",0.0322
"2013-07-25",0
"2013-07-26",0
"2013-07-27",0
"2013-07-28",0
"2013-07-29",0.0426
"2013-07-30",0
"2013-07-31",0
"2013-08-01",0
"2013-08-02",0.0238
"2013-08-03",0.4941
"2013-08-04",2.4155
"2013-08-05",2.7746
"2013-08-06",0
"2013-08-07",0
"2013-08-08",0.0663
"2013-08-09",0.884
"2013-08-10",5.2554
"2013-08-11",0.3651
"2013-08-12",0
"2013-08-13",0.0917
"2013-08-14",3.5003
"2013-08-15",1.7853
"2013-08-16",0
"2013-08-17",0
"2013-08-18",0
"2013-08-19",0
"2013-08-20",0
"2013-08-21",0.0333
"2013-08-22",0
"2013-08-23",0
"2013-08-24",0.0419
"2013-08-25",0
"2013-08-26",0
"2013-08-27",0
"2013-08-28",0
"2013-08-29",0
"2013-08-30",0
"2013-08-31",0.6899
"2013-09-01",0.3124
"2013-09-02",0.9413
"2013-09-03",0
"2013-09-04",1.0996
"2013-09-05",1.5966
"2013-09-06",7.5593
"2013-09-07",7.5648
"2013-09-08",0.4475
"2013-09-09",1.9867
"2013-09-10",4.8351
"2013-09-11",1.4727
"2013-09-12",5.9958
"2013-09-13",0.0216
"2013-09-14",0.2746
"2013-09-15",0
"2013-09-16",0
"2013-09-17",0
"2013-09-18",0.4284
"2013-09-19",0
"2013-09-20",0
"2013-09-21",0.0076
"2013-09-22",0
"2013-09-23",0
"2013-09-24",0
"2013-09-25",0
"2013-09-26",0.0559
"2013-09-27",0
"2013-09-28",0
"2013-09-29",2.7022
"2013-09-30",0
"2013-10-01",0
"2013-10-02",0
"2013-10-03",0
"2013-10-04",0
"2013-10-05",0
"2013-10-06",0
"2013-10-07",0
"2013-10-08",0.1439
"2013-10-09",8.6016
"2013-10-10",0.7075
"2013-10-11",0
"2013-10-12",0
"2013-10-13",0
"2013-10-14",0.0454
"2013-10-15",0
"2013-10-16",4.1339
"2013-10-17",0
"2013-10-18",2.7465
"2013-10-19",7.5606
"2013-10-20",20.1196
"2013-10-21",7.6844
