,"(mm) Precipitation (CHIRPS) at Nuwara Eliya, 2007-01-01 to 2025-12-31"
"2010-03-10",0
"2010-03-11",0
"2010-03-12",0.3967
"2010-03-13",16.673
"2010-03-14",2.7968
"2010-03-15",0
"2010-03-16",0.6547
"2010-03-17",0
"2010-03-18",7.5655
"2010-03-19",1.4617
"2010-03-20",0
"2010-03-21",7.0526
"2010-03-22",0
"2010-03-23",9.4845
"2010-03-24",13.3204
"2010-03-25",0.7133
"2010-03-26",27.0361
"2010-03-27",13.2557
"2010-03-28",7.4823
"2010-03-29",20.5776
"2010-03-30",21.9566
"2010-03-31",6.0469
"2010-04-01",2.3998
"2010-04-02",0
"2010-04-03",0
"2010-04-04",6.3707
"2010-04-05",14.7873
"2010-04-06",6.4832
"2010-04-07",9.209
"2010-04-08",10.5604
"2010-04-09",12.087
"2010-04-10",15.3031
"2010-04-11",2.2444
"2010-04-12",9.9543
"2010-04-13",6.265
"2010-04-14",13.6099
"2010-04-15",1.0498
"2010-04-16",17.0947
"2010-04-17",18.4197
"2010-04-18",13.6234
"2010-04-19",13.6228
"2010-04-20",1.2557
"2010-04-21",18.5816
"2010-04-22",19.4319
"2010-04-23",21.2381
"2010-04-24",13.122
"2010-04-25",14.4818
"2010-04-26",22.8501
"2010-04-27",14.3434
"2010-04-28",14.7144
"2010-04-29",24.9237
"2010-04-30",25.2925
"2010-05-01",10.3156
"2010-05-02",22.6177
"2010-05-03",10.4942
"2010-05-04",6.4812
"2010-05-05",3.6816
"2010-05-06",6.9991
"2010-05-07",14.1713
"2010-05-08",13.0193
"2010-05-09",18.3823
"2010-05-10",6.2592
"2010-05-11",9.9238
"2010-05-12",3.3977
"2010-05-13",6.1534
"2010-05-14",5.6925
"2010-05-15",12.2499
"2010-05-16",1.0475
"2010-05-17",21.6939
"2010-05-18",8.0017
"2010-05-19",31.3924
"2010-05-20",25.7083
"2010-05-21",0
"2010-05-22",0.1149
"2010-05-23",0
"2010-05-24",7.1941
"2010-05-25",0
"2010-05-26",0
"2010-05-27",0
"2010-05-28",4.1602
"2010-05-29",0
"2010-05-30",0.9044
"2010-05-31",3.0226
"2010-06-01",0
"2010-06-02",0
"2010-06-03",0.256
"2010-06-04",0
"2010-06-05",11.7004
"2010-06-06",8.3048
"2010-06-07",13.4324
"2010-06-08",34.2848
"2010-06-09",0
"2010-06-10",2.401
"2010-06-11",54.3747
"2010-06-12",0
"2010-06-13",0
"2010-06-14",0.0046
"2010-06-15",31.0729
"2010-06-16",17.5436
"2010-06-17",22.2512
"2010-06-18",14.1358
"2010-06-19",3.2484
"2010-06-20",5.1013
"2010-06-21",6.8367
"2010-06-22",2.3125
"2010-06-23",34.9947
"2010-06-24",0
"2010-06-25",0
"2010-06-26",0
"2010-06-27",26.7315
"2010-06-28",5.6618
"2010-06-29",0
"2010-06-30",0
"2010-07-01",1.0715
"2010-07-02",0
"2010-07-03",0.2989
"2010-07-04",0
"2010-07-05",7.9393
"2010-07-06",34.2102
"2010-07-07",19.9905
"2010-07-08",14.7486
"2010-07-09",14.6713
"2010-07-10",2.1498
"2010-07-11",2.1743
"2010-07-12",5.9165
"2010-07-13",4.9706
"2010-07-14",4.5796
"2010-07-15",13.1405
"2010-07-16",5.486
"2010-07-17",5.5115
"2010-07-18",34.8531
"2010-07-19",43.5869
"2010-07-20",2.4045
"2010-07-21",0.7539
"2010-07-22",9.0031
"2010-07-23",5.1232
"2010-07-24",0.5993
"2010-07-25",0
"2010-07-26",0.362
"2010-07-27",0
"2010-07-28",9.0666
"2010-07-29",1.3852
"2010-07-30",0
"2010-07-31",0
"2010-08-01",1.851
"2010-08-02",2.4267
"2010-08-03",8.8241
"2010-08-04",2.695
"2010-08-05",0
"2010-08-06",0.0338
"2010-08-07",1.0155
"2010-08-08",4.1375
"2010-08-09",0
"2010-08-10",0.0766
"2010-08-11",4.5768
"2010-08-12",5.7536
"2010-08-13",8.0293
"2010-08-14",23.1862
"2010-08-15",9.6209
"2010-08-16",2.5114
"2010-08-17",0
"2010-08-18",0
"2010-08-19",46.3269
"2010-08-20",37.1321
"2010-08-21",24.0218
"2010-08-22",0
"2010-08-23",0
"2010-08-24",19.1352
"2010-08-25",0
"2010-08-26",0.41
"2010-08-27",1.3636
"2010-08-28",0.0131
"2010-08-29",34.7461
"2010-08-30",0.4169
"2010-08-31",1.1632
"2010-09-01",0
"2010-09-02",11.2112
"2010-09-03",8.7209
"2010-09-04",0
"2010-09-05",0
"2010-09-06",0
"2010-09-07",0
"2010-09-08",0.7919
"2010-09-09",7.0391
"2010-09-10",17.9877
"2010-09-11",11.2151
"2010-09-12",4.2226
"2010-09-13",2.8765
"2010-09-14",4.171
"2010-09-15",0.1423
"2010-09-16",0
"2010-09-17",0
"2010-09-18",0
"2010-09-19",1.4221
"2010-09-20",28.178
"2010-09-21",26.8461
"2010-09-22",24.1537
"2010-09-23",13.6383
"2010-09-24",13.6204
"2010-09-25",4.0263
"2010-09-26",13.6112
"2010-09-27",8.6756
"2010-09-28",30.4958
"2010-09-29",37.9618
"2010-09-30",13.9025
"2010-10-01",59.4387
"2010-10-02",41.9794
"2010-10-03",12.7047
"2010-10-04",4.337
"2010-10-05",0
"2010-10-06",0
"2010-10-07",1.6388
"2010-10-08",17.3483
"2010-10-09",7.8017
"2010-10-10",27.5984
"2010-10-11",0
"2010-10-12",5.2871
"2010-10-13",0
"2010-10-14",0
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",0.0889
"2010-10-19",0.2214
"2010-10-20",7.0417
"2010-10-21",0
"2010-10-22",0
"2010-10-23",0
"2010-10-24",0
"2010-10-25",9.2436
"2010-10-26",5.4931
"2010-10-27",19.9983
"2010-10-28",20.4258
"2010-10-29",15.4102
"2010-10-30",9.3889
"2010-10-31",7.5326
"2010-11-01",6.7311
"2010-11-02",2.6213
"2010-11-03",8.8989
"2010-11-04",22.4177
"2010-11-05",9.466
"2010-11-06",50.1696
"2010-11-07",18.5533
"2010-11-08",1.6925
"2010-11-09",11.1395
"2010-11-10",5.0941
"2010-11-11",1.92
"2010-11-12",1.2801
"2010-11-13",12.2016
"2010-11-14",1.1477
"2010-11-15",2.0946
"2010-11-16",7.9353
"2010-11-17",19.0887
"2010-11-18",14.8064
"2010-11-19",19.4204
"2010-11-20",37.8259
"2010-11-21",17.7899
"2010-11-22",42.8363
"2010-11-23",27.7744
"2010-11-24",21.0986
"2010-11-25",13.0669
"2010-11-26",24.3445
"2010-11-27",19.7024
"2010-11-28",20.9736
"2010-11-29",1.3102
"2010-11-30",42.5889
"2010-12-01",38.3334
"2010-12-02",55.7167
"2010-12-03",50.8839
"2010-12-04",8.3024
"2010-12-05",0.8448
"2010-12-06",0
"2010-12-07",16.5492
"2010-12-08",0
"2010-12-09",15.2193
"2010-12-10",0
"2010-12-11",0.9719
"2010-12-12",0
"2010-12-13",0
"2010-12-14",0
"2010-12-15",0
"2010-12-16",0.4018
"2010-12-17",0
"2010-12-18",10.4314
"2010-12-19",0
"2010-12-20",3.2961
"2010-12-21",5.43
"2010-12-22",23.8555
"2010-12-23",41.4668
"2010-12-24",26.0187
"2010-12-25",21.0696
"2010-12-26",1.9576
"2010-12-27",0.1004
"2010-12-28",6.0114
"2010-12-29",12.8553
"2010-12-30",18.5893
"2010-12-31",5.779
"2011-01-01",8.3881
"2011-01-02",1.851
"2011-01-03",10.0923
"2011-01-04",10.5318
"2011-01-05",10.6643
"2011-01-06",10.7652
"2011-01-07",17.7748
"2011-01-08",30.5338
"2011-01-09",38.0143
"2011-01-10",32.1338
"2011-01-11",25.7051
"2011-01-12",30.039
"2011-01-13",1.6235
"2011-01-14",0.0203
"2011-01-15",0
"2011-01-16",0
"2011-01-17",0
"2011-01-18",0
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",0
"2011-01-26",22.8278
"2011-01-27",5.9946
"2011-01-28",29.3615
"2011-01-29",5.6881
"2011-01-30",3.5315
"2011-01-31",23.5612
"2011-02-01",77.1434
"2011-02-02",70.4258
"2011-02-03",13.3426
"2011-02-04",9.7457
"2011-02-05",0.1872
"2011-02-06",21.9296
"2011-02-07",59.9613
"2011-02-08",5.4095
"2011-02-09",0.1326
"2011-02-10",1.0646
"2011-02-11",0
"2011-02-12",0
"2011-02-13",0
"2011-02-14",1.8725
"2011-02-15",11.2712
"2011-02-16",7.5098
"2011-02-17",0
"2011-02-18",0
"2011-02-19",9.8214
"2011-02-20",17.0442
"2011-02-21",29.8926
"2011-02-22",0.2625
"2011-02-23",0
"2011-02-24",0
"2011-02-25",2.6756
"2011-02-26",6.7647
"2011-02-27",0.6929
"2011-02-28",4
"2011-03-01",0.1893
"2011-03-02",0.5106
"2011-03-03",18.859
"2011-03-04",0.3285
"2011-03-05",14.0654
"2011-03-06",0
"2011-03-07",1.2171
"2011-03-08",0
"2011-03-09",0
"2011-03-10",0
"2011-03-11",0
"2011-03-12",6.7138
"2011-03-13",25.4806
"2011-03-14",2.1749
"2011-03-15",0.0971
"2011-03-16",0.431
"2011-03-17",0
"2011-03-18",0
"2011-03-19",10.3222
"2011-03-20",14.5018
"2011-03-21",10.6688
"2011-03-22",10.4815
"2011-03-23",13.2612
"2011-03-24",9.6308
"2011-03-25",8.2148
"2011-03-26",11.8283
"2011-03-27",10.5597
"2011-03-28",13.1554
"2011-03-29",4.7281
"2011-03-30",0.4594
"2011-03-31",0
"2011-04-01",0
"2011-04-02",0.682
"2011-04-03",0
"2011-04-04",0.6083
"2011-04-05",0
"2011-04-06",0
"2011-04-07",2.6645
"2011-04-08",16.6018
"2011-04-09",20.5267
"2011-04-10",17.2052
"2011-04-11",19.3649
"2011-04-12",19.4539
"2011-04-13",12.021
"2011-04-14",15.0564
"2011-04-15",20.4387
"2011-04-16",11.1678
"2011-04-17",25.1835
"2011-04-18",17.5456
"2011-04-19",26.8692
"2011-04-20",9.7705
"2011-04-21",21.8721
"2011-04-22",19.5996
"2011-04-23",10.5093
"2011-04-24",25.8448
"2011-04-25",12.8806
"2011-04-26",25.4421
"2011-04-27",30.5539
"2011-04-28",32.6865
"2011-04-29",0.3773
"2011-04-30",19.399
"2011-05-01",9.0809
"2011-05-02",11.4245
"2011-05-03",0
"2011-05-04",2.4639
"2011-05-05",2.6948
"2011-05-06",0.1585
"2011-05-07",0
"2011-05-08",0
"2011-05-09",1.2195
"2011-05-10",0
"2011-05-11",8.1459
"2011-05-12",0
"2011-05-13",11.5431
"2011-05-14",0
"2011-05-15",12.1096
"2011-05-16",0
"2011-05-17",4.7846
"2011-05-18",4.6938
"2011-05-19",0
"2011-05-20",0
"2011-05-21",1.4287
"2011-05-22",0
"2011-05-23",18.0457
"2011-05-24",13.1912
"2011-05-25",13.8977
"2011-05-26",17.8416
"2011-05-27",22.2724
"2011-05-28",14.8581
"2011-05-29",0.0685
"2011-05-30",0.555
"2011-05-31",1.2933
"2011-06-01",2.6164
"2011-06-02",30.4801
"2011-06-03",0
"2011-06-04",0.0814
"2011-06-05",0
"2011-06-06",20.6536
"2011-06-07",19.1348
"2011-06-08",0
"2011-06-09",0.0513
"2011-06-10",0
"2011-06-11",0
"2011-06-12",0
"2011-06-13",0
"2011-06-14",0.3095
"2011-06-15",19.8599
"2011-06-16",0
"2011-06-17",0
"2011-06-18",0
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0.1385
"2011-06-26",1.7778
"2011-06-27",0.1967
"2011-06-28",0.4253
"2011-06-29",4.3616
"2011-06-30",0.022
"2011-07-01",16.0887
"2011-07-02",3.823
"2011-07-03",0
"2011-07-04",0
"2011-07-05",2.3494
"2011-07-06",4.071
"2011-07-07",0
"2011-07-08",10.4161
"2011-07-09",12.9827
"2011-07-10",4.7972
"2011-07-11",5.6879
"2011-07-12",13.3628
"2011-07-13",0.0852
"2011-07-14",0.7995
"2011-07-15",0.1052
"2011-07-16",2.2514
"2011-07-17",0
"2011-07-18",0
"2011-07-19",5.1725
"2011-07-20",7.3556
"2011-07-21",0
"2011-07-22",0
"2011-07-23",3.3326
"2011-07-24",8.2119
"2011-07-25",29.9054
"2011-07-26",12.9161
"2011-07-27",0
"2011-07-28",0
"2011-07-29",0
"2011-07-30",6.2981
"2011-07-31",0
"2011-08-01",1.5101
"2011-08-02",0
"2011-08-03",15.0857
"2011-08-04",0
"2011-08-05",17.4284
"2011-08-06",4.2549
"2011-08-07",0
"2011-08-08",0
"2011-08-09",0.0189
"2011-08-10",15.6773
"2011-08-11",0
"2011-08-12",3.492
"2011-08-13",7.8264
"2011-08-14",8.7982
"2011-08-15",14.1945
"2011-08-16",0
"2011-08-17",33.5514
"2011-08-18",0
"2011-08-19",0
"2011-08-20",0
"2011-08-21",0
"2011-08-22",3.4461
"2011-08-23",10.4922
"2011-08-24",8.4384
"2011-08-25",0.6464
"2011-08-26",0
"2011-08-27",4.2272
"2011-08-28",13.0268
"2011-08-29",0
"2011-08-30",7.3246
"2011-08-31",0.3402
"2011-09-01",4.4748
"2011-09-02",0
"2011-09-03",0
"2011-09-04",0
"2011-09-05",19.0119
"2011-09-06",26.042
"2011-09-07",7.1758
"2011-09-08",11.3323
"2011-09-09",16.2566
"2011-09-10",4.2026
"2011-09-11",1.9919
"2011-09-12",46.2453
"2011-09-13",29.406
"2011-09-14",19.1021
"2011-09-15",0
"2011-09-16",4.4266
"2011-09-17",8.3708
"2011-09-18",0
"2011-09-19",1.7391
"2011-09-20",0
"2011-09-21",0.015
"2011-09-22",9.5565
"2011-09-23",0
"2011-09-24",0
"2011-09-25",0
"2011-09-26",10.07
"2011-09-27",2.0359
"2011-09-28",0.6972
"2011-09-29",1.0798
"2011-09-30",11.5976
"2011-10-01",8.1772
"2011-10-02",0.5631
"2011-10-03",1.5545
"2011-10-04",9.669
"2011-10-05",4.704
"2011-10-06",0.3238
"2011-10-07",0
"2011-10-08",1.0102
"2011-10-09",1.3378
"2011-10-10",7.0468
"2011-10-11",6.8243
"2011-10-12",10.5392
"2011-10-13",2.0578
"2011-10-14",9.335
"2011-10-15",13.5575
"2011-10-16",11.7399
"2011-10-17",3.6056
"2011-10-18",16.6158
"2011-10-19",16.6974
"2011-10-20",11.9003
"2011-10-21",20.3268
"2011-10-22",8.287
"2011-10-23",13.0906
"2011-10-24",11.3255
"2011-10-25",35.0695
"2011-10-26",10.0273
"2011-10-27",5.74
"2011-10-28",30.8809
"2011-10-29",18.7713
"2011-10-30",11.8565
"2011-10-31",6.9528
"2011-11-01",8.1453
"2011-11-02",5.6685
"2011-11-03",0.6727
"2011-11-04",8.0994
"2011-11-05",8.2607
"2011-11-06",9.395
"2011-11-07",2.9413
"2011-11-08",0.878
"2011-11-09",0
"2011-11-10",4.5307
"2011-11-11",0.0281
"2011-11-12",0
"2011-11-13",2.8294
"2011-11-14",0
"2011-11-15",3.3302
"2011-11-16",0.6198
"2011-11-17",10.2176
"2011-11-18",11.304
"2011-11-19",8.9755
"2011-11-20",3.3051
"2011-11-21",5.0324
"2011-11-22",9.396
"2011-11-23",26.3735
"2011-11-24",29.6953
"2011-11-25",19.9494
"2011-11-26",20.3326
"2011-11-27",11.5883
"2011-11-28",1.7948
"2011-11-29",0.7846
"2011-11-30",10.9706
"2011-12-01",0.6439
"2011-12-02",12.305
"2011-12-03",3.2744
"2011-12-04",0
"2011-12-05",0
"2011-12-06",0
"2011-12-07",0
"2011-12-08",0
"2011-12-09",0.3552
"2011-12-10",0.4622
"2011-12-11",7.1652
"2011-12-12",3.9844
"2011-12-13",13.1133
"2011-12-14",11.2041
"2011-12-15",11.9049
"2011-12-16",4.9562
"2011-12-17",0.0399
"2011-12-18",5.4511
"2011-12-19",13.8086
"2011-12-20",18.0038
"2011-12-21",5.9226
"2011-12-22",14.9197
"2011-12-23",22.4563
"2011-12-24",0.1648
"2011-12-25",0
"2011-12-26",0
"2011-12-27",13.4042
"2011-12-28",1.3807
"2011-12-29",0
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",0.7152
"2012-01-05",0.9943
"2012-01-06",25.3927
"2012-01-07",6.8581
"2012-01-08",0.1552
"2012-01-09",2.2782
"2012-01-10",2.805
"2012-01-11",0
"2012-01-12",0
"2012-01-13",0
"2012-01-14",0.0183
"2012-01-15",0.6152
"2012-01-16",0
"2012-01-17",0.3037
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",0
"2012-01-22",1.5053
"2012-01-23",0.4271
"2012-01-24",0.0207
"2012-01-25",0
"2012-01-26",0
"2012-01-27",0
"2012-01-28",0
"2012-01-29",0
"2012-01-30",0
"2012-01-31",0.1437
"2012-02-01",0
"2012-02-02",0
"2012-02-03",0
"2012-02-04",15.1309
"2012-02-05",8.6244
"2012-02-06",4.3467
"2012-02-07",1.1232
"2012-02-08",2.4368
"2012-02-09",2.7377
"2012-02-10",11.3603
"2012-02-11",0
"2012-02-12",0
"2012-02-13",0
"2012-02-14",35.082
"2012-02-15",9.4301
"2012-02-16",17.554
"2012-02-17",0
"2012-02-18",0.1325
"2012-02-19",0
"2012-02-20",0
"2012-02-21",0
"2012-02-22",2.3437
"2012-02-23",0.2993
"2012-02-24",0.1954
"2012-02-25",0
"2012-02-26",0
"2012-02-27",2.941
"2012-02-28",20.2786
"2012-02-29",0
"2012-03-01",0.1152
"2012-03-02",0
"2012-03-03",0
"2012-03-04",1.2589
"2012-03-05",0
"2012-03-06",0
"2012-03-07",0
"2012-03-08",0
"2012-03-09",0
"2012-03-10",0
"2012-03-11",0.1743
"2012-03-12",10.074
"2012-03-13",1.8005
"2012-03-14",0
"2012-03-15",1.5569
"2012-03-16",5.4889
"2012-03-17",0.0217
"2012-03-18",0
"2012-03-19",0
"2012-03-20",0
"2012-03-21",0
"2012-03-22",0
"2012-03-23",0
"2012-03-24",0
"2012-03-25",0
"2012-03-26",0
"2012-03-27",3.2176
"2012-03-28",24.0928
"2012-03-29",30.9587
"2012-03-30",4.359
"2012-03-31",0.0918
"2012-04-01",5.4088
"2012-04-02",9.5004
"2012-04-03",9.4526
"2012-04-04",6.9889
"2012-04-05",0
"2012-04-06",3.7948
"2012-04-07",9.6489
"2012-04-08",14.4138
"2012-04-09",9.8846
"2012-04-10",10.8481
"2012-04-11",14.2973
"2012-04-12",25.7173
"2012-04-13",8.6375
"2012-04-14",28.8567
"2012-04-15",20.1294
"2012-04-16",12.8407
"2012-04-17",12.9765
"2012-04-18",7.5434
"2012-04-19",5.3455
"2012-04-20",2.471
"2012-04-21",10.4634
"2012-04-22",14.6295
"2012-04-23",2.755
"2012-04-24",9.1824
"2012-04-25",0
"2012-04-26",0
"2012-04-27",0.6943
"2012-04-28",4.2266
"2012-04-29",1.6494
"2012-04-30",6.9759
"2012-05-01",0
"2012-05-02",0
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0
"2012-05-06",0
"2012-05-07",3.2819
"2012-05-08",0.3672
"2012-05-09",6.839
"2012-05-10",0
"2012-05-11",0.0367
"2012-05-12",0
"2012-05-13",0
"2012-05-14",3.9092
"2012-05-15",0
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0
"2012-05-19",0
"2012-05-20",0.0673
"2012-05-21",0
"2012-05-22",0
"2012-05-23",0
"2012-05-24",0.2356
"2012-05-25",28.3794
"2012-05-26",10.9417
"2012-05-27",0.0038
"2012-05-28",0.5216
"2012-05-29",0
"2012-05-30",1.319
"2012-05-31",0
"2012-06-01",0.1889
"2012-06-02",0
"2012-06-03",6.021
"2012-06-04",0
"2012-06-05",0
"2012-06-06",12.1014
"2012-06-07",1.0981
"2012-06-08",0.4118
"2012-06-09",15.6731
"2012-06-10",0.0552
"2012-06-11",10.9249
"2012-06-12",2.2246
"2012-06-13",0
"2012-06-14",0
"2012-06-15",0
"2012-06-16",0
"2012-06-17",17.1216
"2012-06-18",17.1451
"2012-06-19",0.1333
"2012-06-20",0.4796
"2012-06-21",15.8422
"2012-06-22",0
"2012-06-23",0
"2012-06-24",12.6128
"2012-06-25",0.4782
"2012-06-26",2.055
"2012-06-27",4.0139
"2012-06-28",0.8797
"2012-06-29",0.8363
"2012-06-30",19.1939
"2012-07-01",0.2135
"2012-07-02",30.2173
"2012-07-03",0.658
"2012-07-04",0
"2012-07-05",0
"2012-07-06",2.1782
"2012-07-07",3.8219
"2012-07-08",29.3352
"2012-07-09",0.8256
"2012-07-10",4.196
"2012-07-11",0
"2012-07-12",0.8658
"2012-07-13",22.3855
"2012-07-14",36.0631
"2012-07-15",25.4246
"2012-07-16",4.0047
"2012-07-17",4.87
"2012-07-18",0
"2012-07-19",0
"2012-07-20",0.001
"2012-07-21",0.2124
"2012-07-22",0
"2012-07-23",6.2527
"2012-07-24",0
"2012-07-25",0
"2012-07-26",0
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0
"2012-07-30",0
"2012-07-31",0
"2012-08-01",0
"2012-08-02",0
"2012-08-03",2.8337
"2012-08-04",4.9256
"2012-08-05",5.6576
"2012-08-06",4.5448
"2012-08-07",8.5332
"2012-08-08",0
"2012-08-09",1.967
"2012-08-10",0.0846
"2012-08-11",1.5863
"2012-08-12",7.2736
"2012-08-13",15.2258
"2012-08-14",18.8718
"2012-08-15",0.0441
"2012-08-16",0.612
"2012-08-17",0.3293
"2012-08-18",0
"2012-08-19",0
"2012-08-20",0
"2012-08-21",11.8159
"2012-08-22",3.2802
"2012-08-23",0.3081
"2012-08-24",14.6625
"2012-08-25",13.8036
"2012-08-26",0
"2012-08-27",4.2001
"2012-08-28",1.8913
"2012-08-29",26.8025
"2012-08-30",2.2295
"2012-08-31",29.5682
"2012-09-01",8.1584
"2012-09-02",8.8681
"2012-09-03",1.4898
"2012-09-04",2.8602
"2012-09-05",0
"2012-09-06",0.0184
"2012-09-07",14.834
"2012-09-08",10.2679
"2012-09-09",0.1056
"2012-09-10",11.2823
"2012-09-11",0
"2012-09-12",12.2873
"2012-09-13",0
"2012-09-14",1.4111
"2012-09-15",6.7605
"2012-09-16",8.2726
"2012-09-17",2.222
"2012-09-18",1.068
"2012-09-19",4.8897
"2012-09-20",6.1579
"2012-09-21",6.3629
"2012-09-22",12.5012
"2012-09-23",8.4897
"2012-09-24",7.4117
"2012-09-25",12.7673
"2012-09-26",0.072
"2012-09-27",10.8819
"2012-09-28",1.8775
"2012-09-29",0.37
"2012-09-30",0
"2012-10-01",0
"2012-10-02",0
"2012-10-03",0
"2012-10-04",0
"2012-10-05",0
"2012-10-06",6.874
"2012-10-07",10.9214
"2012-10-08",9.0654
"2012-10-09",24.0735
"2012-10-10",17.3929
"2012-10-11",7.9997
"2012-10-12",4.7025
"2012-10-13",14.8454
"2012-10-14",17.8416
"2012-10-15",13.8024
"2012-10-16",36.6895
"2012-10-17",14.8247
"2012-10-18",17.3741
"2012-10-19",14.0889
"2012-10-20",21.1632
"2012-10-21",16.6563
"2012-10-22",15.5743
"2012-10-23",26.2071
"2012-10-24",6.7322
"2012-10-25",4.142
"2012-10-26",9.4881
"2012-10-27",11.599
"2012-10-28",29.8079
"2012-10-29",47.9548
"2012-10-30",48.2697
"2012-10-31",33.8149
"2012-11-01",29.8283
"2012-11-02",13.2545
"2012-11-03",12.0131
"2012-11-04",9.119
"2012-11-05",5.7414
"2012-11-06",12.8761
"2012-11-07",7.5155
"2012-11-08",14.6698
"2012-11-09",9.9778
"2012-11-10",15.3419
"2012-11-11",9.6008
"2012-11-12",14.807
"2012-11-13",5.0302
"2012-11-14",2.9149
"2012-11-15",3.0295
"2012-11-16",1.7548
"2012-11-17",2.1188
"2012-11-18",3.4409
"2012-11-19",5.533
"2012-11-20",1.3423
"2012-11-21",0
"2012-11-22",9.3027
"2012-11-23",28.4599
"2012-11-24",15.5172
"2012-11-25",23.3074
"2012-11-26",27.4718
"2012-11-27",26.9561
"2012-11-28",5.974
"2012-11-29",20.1661
"2012-11-30",4.1887
"2012-12-01",0
"2012-12-02",0
"2012-12-03",0
"2012-12-04",9.6867
"2012-12-05",0
"2012-12-06",15.7515
"2012-12-07",0
"2012-12-08",2.0568
"2012-12-09",6.2939
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0.0604
"2012-12-13",0
"2012-12-14",0
"2012-12-15",20.6278
"2012-12-16",50.1415
"2012-12-17",92.9703
"2012-12-18",55.8104
"2012-12-19",40.0902
"2012-12-20",0.1624
"2012-12-21",11.9717
"2012-12-22",58.9687
"2012-12-23",2.7606
"2012-12-24",5.7848
"2012-12-25",0.8936
"2012-12-26",40.079
"2012-12-27",34.8893
"2012-12-28",0.2487
"2012-12-29",0
"2012-12-30",0.1511
"2012-12-31",0.9408
"2013-01-01",8.2679
"2013-01-02",1.3971
"2013-01-03",17.3527
"2013-01-04",13.4472
"2013-01-05",16.103
"2013-01-06",28.7213
"2013-01-07",64.4966
"2013-01-08",2.7168
"2013-01-09",0.58
"2013-01-10",58.9569
"2013-01-11",18.8521
"2013-01-12",4.5279
"2013-01-13",3.5402
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",2.4801
"2013-01-21",0
"2013-01-22",0
"2013-01-23",2.6804
"2013-01-24",13.594
"2013-01-25",2.2549
"2013-01-26",0.0399
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",7.1029
"2013-02-05",0
"2013-02-06",22.8836
"2013-02-07",37.4461
"2013-02-08",20.0284
"2013-02-09",11.1671
"2013-02-10",0
"2013-02-11",20.4742
"2013-02-12",35.0102
"2013-02-13",37.2499
"2013-02-14",10.1983
"2013-02-15",6.2205
"2013-02-16",6.5536
"2013-02-17",16.8165
"2013-02-18",13.2232
"2013-02-19",10.4204
"2013-02-20",0
"2013-02-21",0
"2013-02-22",0
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",0
"2013-03-01",0
"2013-03-02",0
"2013-03-03",14.3526
"2013-03-04",31.3323
"2013-03-05",0.0364
"2013-03-06",10.6567
"2013-03-07",13.7809
"2013-03-08",13.3259
"2013-03-09",9.0614
"2013-03-10",2.3656
"2013-03-11",9.4262
"2013-03-12",1.0103
"2013-03-13",0.2066
"2013-03-14",12.5674
"2013-03-15",28.6354
"2013-03-16",4.808
"2013-03-17",6.1802
"2013-03-18",14.9225
"2013-03-19",6.7181
"2013-03-20",0
"2013-03-21",3.9385
"2013-03-22",0.0717
"2013-03-23",10.3281
"2013-03-24",21.0087
"2013-03-25",15.3747
"2013-03-26",16.7644
"2013-03-27",12.4874
"2013-03-28",9.6454
"2013-03-29",9.1516
"2013-03-30",4.5062
"2013-03-31",0
"2013-04-01",0
"2013-04-02",2.6599
"2013-04-03",0.0047
"2013-04-04",12.4503
"2013-04-05",1.8647
"2013-04-06",0.016
"2013-04-07",2.4118
"2013-04-08",0.7014
"2013-04-09",2.4839
"2013-04-10",1.5386
"2013-04-11",4.7027
"2013-04-12",18.6104
"2013-04-13",18.0097
"2013-04-14",17.9741
"2013-04-15",12.5495
"2013-04-16",0
"2013-04-17",0
"2013-04-18",0.5341
"2013-04-19",0
"2013-04-20",0
"2013-04-21",0.8844
"2013-04-22",10.1259
"2013-04-23",3.3029
"2013-04-24",14.0947
"2013-04-25",12.0666
"2013-04-26",7.9546
"2013-04-27",8.0477
"2013-04-28",7.6826
"2013-04-29",6.7467
"2013-04-30",7.2185
"2013-05-01",9.809
"2013-05-02",7.4417
"2013-05-03",17.5072
"2013-05-04",10.7717
"2013-05-05",12.3679
"2013-05-06",13.1301
