,"(mm) Precipitation (CHIRPS) at Kandy, 2007-01-01 to 2025-12-31"
"2010-03-23",9.326
"2010-03-24",15.9886
"2010-03-25",0
"2010-03-26",23.6821
"2010-03-27",25.6518
"2010-03-28",2.3176
"2010-03-29",9.9006
"2010-03-30",27.0966
"2010-03-31",3.467
"2010-04-01",0.2652
"2010-04-02",0
"2010-04-03",0
"2010-04-04",6.1713
"2010-04-05",14.0936
"2010-04-06",2.6648
"2010-04-07",8.2132
"2010-04-08",9.4003
"2010-04-09",9.8992
"2010-04-10",13.5197
"2010-04-11",1.8724
"2010-04-12",7.7232
"2010-04-13",4.4732
"2010-04-14",9.4974
"2010-04-15",1.7557
"2010-04-16",16.5681
"2010-04-17",18.3052
"2010-04-18",14.8905
"2010-04-19",13.3206
"2010-04-20",1.2942
"2010-04-21",12.8327
"2010-04-22",16.0526
"2010-04-23",18.635
"2010-04-24",14.688
"2010-04-25",11.5478
"2010-04-26",22.1424
"2010-04-27",13.4348
"2010-04-28",14.032
"2010-04-29",25.1618
"2010-04-30",26.2066
"2010-05-01",8.92
"2010-05-02",14.8162
"2010-05-03",5.8103
"2010-05-04",1.5068
"2010-05-05",3.1618
"2010-05-06",7.121
"2010-05-07",9.0493
"2010-05-08",9.441
"2010-05-09",9.8721
"2010-05-10",4.8834
"2010-05-11",7.7206
"2010-05-12",1.7797
"2010-05-13",2.0247
"2010-05-14",3.5354
"2010-05-15",4.6325
"2010-05-16",0.0168
"2010-05-17",19.7137
"2010-05-18",5.2698
"2010-05-19",11.224
"2010-05-20",16.2871
"2010-05-21",1.6279
"2010-05-22",6.4678
"2010-05-23",3.8051
"2010-05-24",8.0266
"2010-05-25",0
"2010-05-26",0
"2010-05-27",0
"2010-05-28",1.9801
"2010-05-29",0
"2010-05-30",9.03
"2010-05-31",0.8291
"2010-06-01",0
"2010-06-02",0
"2010-06-03",0
"2010-06-04",0
"2010-06-05",13.389
"2010-06-06",4.6081
"2010-06-07",4.1105
"2010-06-08",30.5948
"2010-06-09",0
"2010-06-10",4.553
"2010-06-11",26.9035
"2010-06-12",1.0441
"2010-06-13",6.4994
"2010-06-14",0
"2010-06-15",20.2138
"2010-06-16",14.3416
"2010-06-17",22.671
"2010-06-18",9.979
"2010-06-19",12.4581
"2010-06-20",9.9025
"2010-06-21",10.0985
"2010-06-22",2.1013
"2010-06-23",19.0558
"2010-06-24",0.1139
"2010-06-25",0
"2010-06-26",0
"2010-06-27",1.347
"2010-06-28",17.2521
"2010-06-29",0
"2010-06-30",0
"2010-07-01",0.776
"2010-07-02",0
"2010-07-03",0.5484
"2010-07-04",0
"2010-07-05",26.3585
"2010-07-06",30.1892
"2010-07-07",17.0614
"2010-07-08",15.8168
"2010-07-09",12.9272
"2010-07-10",3.1676
"2010-07-11",15.1211
"2010-07-12",11.4291
"2010-07-13",8.0847
"2010-07-14",8.1908
"2010-07-15",1.6899
"2010-07-16",0.9787
"2010-07-17",0.9624
"2010-07-18",6.9158
"2010-07-19",23.8072
"2010-07-20",1.9962
"2010-07-21",0
"2010-07-22",10.1231
"2010-07-23",6.0373
"2010-07-24",0
"2010-07-25",0
"2010-07-26",0.0797
"2010-07-27",0
"2010-07-28",3.0511
"2010-07-29",1.1043
"2010-07-30",3.2997
"2010-07-31",0
"2010-08-01",0.0679
"2010-08-02",2.0418
"2010-08-03",3.9011
"2010-08-04",0.2486
"2010-08-05",0
"2010-08-06",0.0856
"2010-08-07",0.9536
"2010-08-08",0.0638
"2010-08-09",0
"2010-08-10",0.1122
"2010-08-11",2.196
"2010-08-12",14.1995
"2010-08-13",1.5436
"2010-08-14",16.8413
"2010-08-15",11.861
"2010-08-16",1.013
"2010-08-17",0
"2010-08-18",0
"2010-08-19",33.2291
"2010-08-20",42.8368
"2010-08-21",22.0629
"2010-08-22",0
"2010-08-23",0.5723
"2010-08-24",14.1252
"2010-08-25",0
"2010-08-26",6.0968
"2010-08-27",1.0703
"2010-08-28",0.8667
"2010-08-29",25.5596
"2010-08-30",3.413
"2010-08-31",0.0485
"2010-09-01",0
"2010-09-02",6.5886
"2010-09-03",11.1804
"2010-09-04",0
"2010-09-05",0
"2010-09-06",0
"2010-09-07",0
"2010-09-08",0.5176
"2010-09-09",5.7586
"2010-09-10",19.511
"2010-09-11",5.4793
"2010-09-12",4.443
"2010-09-13",7.5702
"2010-09-14",7.9736
"2010-09-15",0
"2010-09-16",0
"2010-09-17",0
"2010-09-18",0
"2010-09-19",15.1557
"2010-09-20",12.3477
"2010-09-21",16.6311
"2010-09-22",12.9143
"2010-09-23",10.2104
"2010-09-24",8.2308
"2010-09-25",6.28
"2010-09-26",9.595
"2010-09-27",13.0421
"2010-09-28",35.6892
"2010-09-29",49.6145
"2010-09-30",24.1153
"2010-10-01",52.0244
"2010-10-02",38.1038
"2010-10-03",19.898
"2010-10-04",0
"2010-10-05",0
"2010-10-06",0
"2010-10-07",0
"2010-10-08",6.6028
"2010-10-09",9.763
"2010-10-10",23.7073
"2010-10-11",0
"2010-10-12",8.6858
"2010-10-13",0
"2010-10-14",0
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",0
"2010-10-19",1.0651
"2010-10-20",2.8926
"2010-10-21",0
"2010-10-22",0
"2010-10-23",0
"2010-10-24",0
"2010-10-25",9.884
"2010-10-26",5.6845
"2010-10-27",19.3656
"2010-10-28",23.6321
"2010-10-29",21.0017
"2010-10-30",9.0971
"2010-10-31",10.0921
"2010-11-01",5.2369
"2010-11-02",1.4817
"2010-11-03",5.0519
"2010-11-04",24.8445
"2010-11-05",11.4844
"2010-11-06",52.1978
"2010-11-07",19.1977
"2010-11-08",0.2483
"2010-11-09",10.2866
"2010-11-10",2.2243
"2010-11-11",0
"2010-11-12",0
"2010-11-13",3.6298
"2010-11-14",0
"2010-11-15",1.3034
"2010-11-16",3.6597
"2010-11-17",23.0715
"2010-11-18",12.2451
"2010-11-19",34.8014
"2010-11-20",41.185
"2010-11-21",22.6507
"2010-11-22",47.2415
"2010-11-23",33.437
"2010-11-24",34.8496
"2010-11-25",6.9492
"2010-11-26",21.6806
"2010-11-27",25.581
"2010-11-28",17.0223
"2010-11-29",3.4326
"2010-11-30",44.3996
"2010-12-01",42.748
"2010-12-02",48.8643
"2010-12-03",61.9206
"2010-12-04",5.3414
"2010-12-05",15.6772
"2010-12-06",0
"2010-12-07",3.5758
"2010-12-08",0
"2010-12-09",10.3786
"2010-12-10",0
"2010-12-11",0
"2010-12-12",0
"2010-12-13",0
"2010-12-14",0
"2010-12-15",0
"2010-12-16",0
"2010-12-17",0
"2010-12-18",7.7666
"2010-12-19",0
"2010-12-20",10.3741
"2010-12-21",15.087
"2010-12-22",38.1529
"2010-12-23",60.5268
"2010-12-24",31.669
"2010-12-25",15.3348
"2010-12-26",4.294
"2010-12-27",2.7046
"2010-12-28",9.303
"2010-12-29",19.4609
"2010-12-30",20.1636
"2010-12-31",7.9085
"2011-01-01",0.9175
"2011-01-02",3.2378
"2011-01-03",18.1359
"2011-01-04",19.8899
"2011-01-05",10.0449
"2011-01-06",6.4304
"2011-01-07",22.0651
"2011-01-08",45.0209
"2011-01-09",64.6915
"2011-01-10",44.6135
"2011-01-11",33.2203
"2011-01-12",40.8829
"2011-01-13",5.3344
"2011-01-14",6.0478
"2011-01-15",0
"2011-01-16",0
"2011-01-17",0
"2011-01-18",0
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",0.7798
"2011-01-26",50.1511
"2011-01-27",5.2387
"2011-01-28",43.5762
"2011-01-29",3.8227
"2011-01-30",0.5846
"2011-01-31",23.5193
"2011-02-01",64.309
"2011-02-02",72.4092
"2011-02-03",27.3387
"2011-02-04",20.5755
"2011-02-05",0.6004
"2011-02-06",27.1771
"2011-02-07",65.6924
"2011-02-08",11.0737
"2011-02-09",0.9051
"2011-02-10",1.3375
"2011-02-11",0
"2011-02-12",0.3169
"2011-02-13",0
"2011-02-14",0
"2011-02-15",4.1684
"2011-02-16",1.7264
"2011-02-17",0
"2011-02-18",0
"2011-02-19",6.7396
"2011-02-20",19.3017
"2011-02-21",28.716
"2011-02-22",0.1245
"2011-02-23",0
"2011-02-24",0
"2011-02-25",0.0504
"2011-02-26",6.766
"2011-02-27",12.8747
"2011-02-28",3.0454
"2011-03-01",0.6996
"2011-03-02",0.1544
"2011-03-03",12.9482
"2011-03-04",2.0195
"2011-03-05",10.0741
"2011-03-06",0
"2011-03-07",0.3873
"2011-03-08",0
"2011-03-09",0
"2011-03-10",0
"2011-03-11",0
"2011-03-12",4.4233
"2011-03-13",25.3385
"2011-03-14",0.1014
"2011-03-15",2.2296
"2011-03-16",0
"2011-03-17",0
"2011-03-18",0
"2011-03-19",7.6749
"2011-03-20",10.1213
"2011-03-21",8.5244
"2011-03-22",7.2289
"2011-03-23",11.9439
"2011-03-24",9.3339
"2011-03-25",6.7309
"2011-03-26",1.6807
"2011-03-27",6.879
"2011-03-28",8.6331
"2011-03-29",1.0057
"2011-03-30",0.0232
"2011-03-31",0
"2011-04-01",0
"2011-04-02",0.0205
"2011-04-03",0
"2011-04-04",0.4917
"2011-04-05",0
"2011-04-06",0
"2011-04-07",0.0467
"2011-04-08",17.3643
"2011-04-09",30.4316
"2011-04-10",16.2725
"2011-04-11",20.1031
"2011-04-12",22.4254
"2011-04-13",13.6351
"2011-04-14",13.5791
"2011-04-15",14.5567
"2011-04-16",17.4497
"2011-04-17",29.0245
"2011-04-18",24.7873
"2011-04-19",28.3686
"2011-04-20",19.3353
"2011-04-21",26.206
"2011-04-22",18.6743
"2011-04-23",18.823
"2011-04-24",31.3236
"2011-04-25",16.5422
"2011-04-26",17.9008
"2011-04-27",28.6864
"2011-04-28",20.1527
"2011-04-29",0.1753
"2011-04-30",12.3036
"2011-05-01",6.4761
"2011-05-02",12.2553
"2011-05-03",0
"2011-05-04",2.9616
"2011-05-05",0.4686
"2011-05-06",0
"2011-05-07",0
"2011-05-08",0
"2011-05-09",0.0399
"2011-05-10",0
"2011-05-11",3.8874
"2011-05-12",0.1236
"2011-05-13",8.9781
"2011-05-14",0
"2011-05-15",6.7963
"2011-05-16",0
"2011-05-17",1.0333
"2011-05-18",3.8736
"2011-05-19",0
"2011-05-20",1.4858
"2011-05-21",3.7835
"2011-05-22",0
"2011-05-23",12.5771
"2011-05-24",12.173
"2011-05-25",8.6564
"2011-05-26",20.7128
"2011-05-27",13.7728
"2011-05-28",14.2629
"2011-05-29",0.0033
"2011-05-30",0
"2011-05-31",0
"2011-06-01",0.7085
"2011-06-02",32.2499
"2011-06-03",0
"2011-06-04",1.2651
"2011-06-05",0.0246
"2011-06-06",7.9938
"2011-06-07",16.5978
"2011-06-08",0
"2011-06-09",2.1649
"2011-06-10",0
"2011-06-11",0
"2011-06-12",0
"2011-06-13",0
"2011-06-14",0.339
"2011-06-15",8.9281
"2011-06-16",0
"2011-06-17",0.0115
"2011-06-18",0.1783
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0.1886
"2011-06-26",0
"2011-06-27",0
"2011-06-28",0.529
"2011-06-29",4.4898
"2011-06-30",0.7483
"2011-07-01",8.6052
"2011-07-02",1.6862
"2011-07-03",0
"2011-07-04",0
"2011-07-05",0.7369
"2011-07-06",1.653
"2011-07-07",0.0872
"2011-07-08",11.8216
"2011-07-09",4.4666
"2011-07-10",0.5304
"2011-07-11",8.8741
"2011-07-12",11.7037
"2011-07-13",1.9492
"2011-07-14",0
"2011-07-15",0
"2011-07-16",0.7091
"2011-07-17",0.0127
"2011-07-18",0
"2011-07-19",0.247
"2011-07-20",0
"2011-07-21",0
"2011-07-22",0
"2011-07-23",6.6249
"2011-07-24",0.2286
"2011-07-25",27.1882
"2011-07-26",3.9414
"2011-07-27",0
"2011-07-28",0.5608
"2011-07-29",0
"2011-07-30",1.1726
"2011-07-31",0
"2011-08-01",0
"2011-08-02",0
"2011-08-03",3.2798
"2011-08-04",0
"2011-08-05",21.8599
"2011-08-06",0.0033
"2011-08-07",0
"2011-08-08",0
"2011-08-09",2.6814
"2011-08-10",9.1282
"2011-08-11",0
"2011-08-12",3.9905
"2011-08-13",5.5185
"2011-08-14",7.335
"2011-08-15",5.7069
"2011-08-16",0
"2011-08-17",20.7895
"2011-08-18",0.069
"2011-08-19",0
"2011-08-20",0
"2011-08-21",0
"2011-08-22",10.5422
"2011-08-23",1.0291
"2011-08-24",6.6443
"2011-08-25",5.9478
"2011-08-26",0
"2011-08-27",14.5789
"2011-08-28",5.0592
"2011-08-29",0
"2011-08-30",0.161
"2011-08-31",0
"2011-09-01",0
"2011-09-02",0
"2011-09-03",0
"2011-09-04",0
"2011-09-05",1.6734
"2011-09-06",22.2886
"2011-09-07",0.4773
"2011-09-08",9.0076
"2011-09-09",9.2531
"2011-09-10",9.2976
"2011-09-11",4.0682
"2011-09-12",45.6882
"2011-09-13",10.1725
"2011-09-14",20.0311
"2011-09-15",0
"2011-09-16",5.2662
"2011-09-17",2.6355
"2011-09-18",0
"2011-09-19",4.6881
"2011-09-20",0
"2011-09-21",0.0719
"2011-09-22",6.3568
"2011-09-23",0
"2011-09-24",0
"2011-09-25",0
"2011-09-26",5.4901
"2011-09-27",4.6409
"2011-09-28",3.4579
"2011-09-29",4.6074
"2011-09-30",6.9681
"2011-10-01",6.3471
"2011-10-02",0
"2011-10-03",1.1252
"2011-10-04",8.8587
"2011-10-05",10.986
"2011-10-06",3.8388
"2011-10-07",0
"2011-10-08",2.1758
"2011-10-09",1.8248
"2011-10-10",5.0278
"2011-10-11",6.7151
"2011-10-12",13.3424
"2011-10-13",0.5621
"2011-10-14",12.5731
"2011-10-15",13.7662
"2011-10-16",13.1566
"2011-10-17",4.6599
"2011-10-18",14.0743
"2011-10-19",15.79
"2011-10-20",8.4624
"2011-10-21",19.674
"2011-10-22",3.6257
"2011-10-23",17.6684
"2011-10-24",23.0025
"2011-10-25",32.5902
"2011-10-26",14.4108
"2011-10-27",6.5399
"2011-10-28",35.1524
"2011-10-29",25.8997
"2011-10-30",13.4729
"2011-10-31",7.7601
"2011-11-01",9.4454
"2011-11-02",5.1427
"2011-11-03",3.5807
"2011-11-04",5.0758
"2011-11-05",5.0572
"2011-11-06",7.4609
"2011-11-07",9.7358
"2011-11-08",0
"2011-11-09",0
"2011-11-10",0.2325
"2011-11-11",0
"2011-11-12",0
"2011-11-13",0.9881
"2011-11-14",0
"2011-11-15",1.1685
"2011-11-16",0
"2011-11-17",12.982
"2011-11-18",10.3227
"2011-11-19",5.3219
"2011-11-20",7.99
"2011-11-21",13.5483
"2011-11-22",7.9751
"2011-11-23",21.0253
"2011-11-24",31.5022
"2011-11-25",32.5236
"2011-11-26",23.9395
"2011-11-27",7.4823
"2011-11-28",0.6396
"2011-11-29",0
"2011-11-30",14.0231
"2011-12-01",9.9423
"2011-12-02",2.347
"2011-12-03",0.1538
"2011-12-04",0
"2011-12-05",0
"2011-12-06",0
"2011-12-07",0
"2011-12-08",0
"2011-12-09",2.1988
"2011-12-10",0
"2011-12-11",9.4213
"2011-12-12",3.0314
"2011-12-13",14.3433
"2011-12-14",11.3974
"2011-12-15",8.8097
"2011-12-16",0.9603
"2011-12-17",0.094
"2011-12-18",9.5255
"2011-12-19",17.2197
"2011-12-20",21.7205
"2011-12-21",7.736
"2011-12-22",14.3649
"2011-12-23",29.4603
"2011-12-24",0.6963
"2011-12-25",0
"2011-12-26",0
"2011-12-27",15.6286
"2011-12-28",3.2209
"2011-12-29",0
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",0.737
"2012-01-05",3.0975
"2012-01-06",34.1826
"2012-01-07",8.1565
"2012-01-08",3.1549
"2012-01-09",0.6959
"2012-01-10",0.0027
"2012-01-11",0.1554
"2012-01-12",0
"2012-01-13",0
"2012-01-14",0
"2012-01-15",2.5921
"2012-01-16",0
"2012-01-17",0
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",0
"2012-01-22",2.5791
"2012-01-23",0.3582
"2012-01-24",4.5152
"2012-01-25",0
"2012-01-26",0
"2012-01-27",0
"2012-01-28",0
"2012-01-29",0
"2012-01-30",0
"2012-01-31",0
"2012-02-01",0
"2012-02-02",0
"2012-02-03",2.6121
"2012-02-04",5.6782
"2012-02-05",13.3086
"2012-02-06",7.6012
"2012-02-07",2.934
"2012-02-08",6.0971
"2012-02-09",27.58
"2012-02-10",7.4088
"2012-02-11",0
"2012-02-12",0
"2012-02-13",0
"2012-02-14",32.9488
"2012-02-15",23.9388
"2012-02-16",14.2217
"2012-02-17",0.2129
"2012-02-18",0
"2012-02-19",0
"2012-02-20",0
"2012-02-21",0
"2012-02-22",1.2305
"2012-02-23",0.0475
"2012-02-24",1.1632
"2012-02-25",0
"2012-02-26",0
"2012-02-27",1.8941
"2012-02-28",21.94
"2012-02-29",0
"2012-03-01",0.1784
"2012-03-02",0
"2012-03-03",0
"2012-03-04",0.0698
"2012-03-05",0
"2012-03-06",0
"2012-03-07",0
"2012-03-08",0
"2012-03-09",0
"2012-03-10",0
"2012-03-11",0.789
"2012-03-12",1.4957
"2012-03-13",0.199
"2012-03-14",0
"2012-03-15",8.2692
"2012-03-16",0.6617
"2012-03-17",0
"2012-03-18",0
"2012-03-19",0
"2012-03-20",0
"2012-03-21",0
"2012-03-22",0
"2012-03-23",0
"2012-03-24",0
"2012-03-25",0
"2012-03-26",0.0447
"2012-03-27",10.2309
"2012-03-28",22.3817
"2012-03-29",20.5275
"2012-03-30",0.0026
"2012-03-31",8.158
"2012-04-01",9.1726
"2012-04-02",8.803
"2012-04-03",9.5491
"2012-04-04",7.9533
"2012-04-05",0
"2012-04-06",0.4825
"2012-04-07",7.173
"2012-04-08",16.9846
"2012-04-09",12.5798
"2012-04-10",12.3497
"2012-04-11",16.5573
"2012-04-12",20.8821
"2012-04-13",6.6808
"2012-04-14",20.9803
"2012-04-15",20.1371
"2012-04-16",11.8956
"2012-04-17",12.0384
"2012-04-18",7.2211
"2012-04-19",4.6447
"2012-04-20",0.4482
"2012-04-21",5.8323
"2012-04-22",14.4858
"2012-04-23",6.2758
"2012-04-24",12.9547
"2012-04-25",0.602
"2012-04-26",0.3443
"2012-04-27",3.3496
"2012-04-28",1.2853
"2012-04-29",2.4625
"2012-04-30",6.3479
"2012-05-01",0
"2012-05-02",0
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0
"2012-05-06",0
"2012-05-07",5.0916
"2012-05-08",0.0116
"2012-05-09",2.9582
"2012-05-10",0
"2012-05-11",0.1251
"2012-05-12",1.0122
"2012-05-13",0
"2012-05-14",4.0277
"2012-05-15",0
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0
"2012-05-19",0
"2012-05-20",0.0739
"2012-05-21",0.7881
"2012-05-22",0
"2012-05-23",0
"2012-05-24",1.0784
"2012-05-25",14.5256
"2012-05-26",5.7695
"2012-05-27",0.6089
"2012-05-28",0
"2012-05-29",0
"2012-05-30",0.0179
"2012-05-31",0
"2012-06-01",0
"2012-06-02",0
"2012-06-03",0
"2012-06-04",0
"2012-06-05",0
"2012-06-06",5.3821
"2012-06-07",0.0257
"2012-06-08",0
"2012-06-09",10.188
"2012-06-10",0.2446
"2012-06-11",0.3208
"2012-06-12",0.1359
"2012-06-13",0.9899
"2012-06-14",0
"2012-06-15",0
"2012-06-16",0
"2012-06-17",21.4854
"2012-06-18",10.7119
"2012-06-19",0
"2012-06-20",0
"2012-06-21",11.7287
"2012-06-22",0
"2012-06-23",0.1619
"2012-06-24",9.6599
"2012-06-25",8.2267
"2012-06-26",1.8418
"2012-06-27",11.2232
"2012-06-28",0.1583
"2012-06-29",0
"2012-06-30",7.9778
"2012-07-01",6.6536
"2012-07-02",13.9971
"2012-07-03",2.7382
"2012-07-04",0
"2012-07-05",0
"2012-07-06",0
"2012-07-07",0
"2012-07-08",11.7403
"2012-07-09",0.2028
"2012-07-10",2.1584
"2012-07-11",0
"2012-07-12",7.9913
"2012-07-13",19.646
"2012-07-14",25.9761
"2012-07-15",17.5349
"2012-07-16",2.9905
"2012-07-17",1.1992
"2012-07-18",0
"2012-07-19",0
"2012-07-20",0.1383
"2012-07-21",0.3848
"2012-07-22",0
"2012-07-23",0
"2012-07-24",0
"2012-07-25",0
"2012-07-26",0
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0
"2012-07-30",0
"2012-07-31",0
"2012-08-01",0
"2012-08-02",0
"2012-08-03",0.3476
"2012-08-04",4.3145
"2012-08-05",7.7686
"2012-08-06",0.6249
"2012-08-07",2.767
"2012-08-08",0
"2012-08-09",3.8481
"2012-08-10",0
"2012-08-11",7.1826
"2012-08-12",10.0318
"2012-08-13",10.0581
"2012-08-14",10.2768
"2012-08-15",4.7668
"2012-08-16",1.6622
"2012-08-17",0
"2012-08-18",0
"2012-08-19",0
"2012-08-20",0
"2012-08-21",2.5466
"2012-08-22",10.9751
"2012-08-23",4.9628
"2012-08-24",11.2272
"2012-08-25",5.9279
"2012-08-26",0
"2012-08-27",2.8273
"2012-08-28",1.9992
"2012-08-29",28.0815
"2012-08-30",0
"2012-08-31",11.5075
"2012-09-01",12.9239
"2012-09-02",2.9732
"2012-09-03",0.5039
"2012-09-04",2.8306
"2012-09-05",0
"2012-09-06",2.2346
"2012-09-07",12.6732
"2012-09-08",9.6238
"2012-09-09",0
"2012-09-10",2.6954
"2012-09-11",0
"2012-09-12",10.3562
"2012-09-13",0
"2012-09-14",0.6747
"2012-09-15",0.3575
"2012-09-16",4.8005
"2012-09-17",0.8234
"2012-09-18",1.3905
"2012-09-19",3.0872
"2012-09-20",8.7053
"2012-09-21",6.0131
"2012-09-22",10.5238
"2012-09-23",4.4197
"2012-09-24",4.1204
"2012-09-25",5.615
"2012-09-26",1.2396
"2012-09-27",7.1213
"2012-09-28",3.209
"2012-09-29",0
"2012-09-30",0
"2012-10-01",0
"2012-10-02",0
"2012-10-03",0.9053
"2012-10-04",0
"2012-10-05",0
"2012-10-06",5.1952
"2012-10-07",8.5385
"2012-10-08",14.9621
"2012-10-09",20.6604
"2012-10-10",21.3251
"2012-10-11",3.0264
"2012-10-12",13.5189
"2012-10-13",18.5837
"2012-10-14",21.3302
"2012-10-15",20.2889
"2012-10-16",33.0635
"2012-10-17",14.4109
"2012-10-18",17.1476
"2012-10-19",22.0155
"2012-10-20",24.8901
"2012-10-21",13.8045
"2012-10-22",18.8252
"2012-10-23",20.2195
"2012-10-24",7.3673
"2012-10-25",2.1598
"2012-10-26",9.9566
"2012-10-27",13.397
"2012-10-28",32.2167
"2012-10-29",50.0645
"2012-10-30",50.0645
"2012-10-31",37.8391
"2012-11-01",30.2267
"2012-11-02",6.0455
"2012-11-03",8.8905
"2012-11-04",8.1054
"2012-11-05",6.2203
"2012-11-06",12.064
"2012-11-07",8.3537
"2012-11-08",13.8592
"2012-11-09",6.5891
"2012-11-10",11.0627
"2012-11-11",9.7115
"2012-11-12",12.6305
"2012-11-13",3.3227
"2012-11-14",0.2444
"2012-11-15",5.4868
"2012-11-16",1.9541
"2012-11-17",0
"2012-11-18",0.9023
"2012-11-19",0.6858
"2012-11-20",0
"2012-11-21",0
"2012-11-22",2.3789
"2012-11-23",27.9951
"2012-11-24",10.9659
"2012-11-25",25.9394
"2012-11-26",37.0188
"2012-11-27",30.1224
"2012-11-28",6.7317
"2012-11-29",11.1002
"2012-11-30",0.9118
"2012-12-01",0
"2012-12-02",0
"2012-12-03",0
"2012-12-04",3.9599
"2012-12-05",0
"2012-12-06",29.5629
"2012-12-07",0
"2012-12-08",0
"2012-12-09",3.8253
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0.0008
"2012-12-13",0
"2012-12-14",0
"2012-12-15",26.9411
"2012-12-16",67.4681
"2012-12-17",100.5879
"2012-12-18",59.8254
"2012-12-19",50.5223
"2012-12-20",3.4547
"2012-12-21",18.7488
"2012-12-22",78.6145
"2012-12-23",0.9813
"2012-12-24",3.0442
"2012-12-25",2.9448
"2012-12-26",24.4405
"2012-12-27",51.0312
"2012-12-28",1.3806
"2012-12-29",0
"2012-12-30",0.6794
"2012-12-31",8.2865
"2013-01-01",14.1694
"2013-01-02",3.9217
"2013-01-03",26.0701
"2013-01-04",18.4697
"2013-01-05",19.6135
"2013-01-06",41.4093
"2013-01-07",77.9108
"2013-01-08",2.0285
"2013-01-09",5.4043
"2013-01-10",99.7195
"2013-01-11",19.6616
"2013-01-12",0.4089
"2013-01-13",11.1681
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",0
"2013-01-21",0
"2013-01-22",0
"2013-01-23",20.4607
"2013-01-24",9.2583
"2013-01-25",0.5013
"2013-01-26",0
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",10.3271
"2013-02-05",0
"2013-02-06",19.5528
"2013-02-07",20.0529
"2013-02-08",23.3216
"2013-02-09",20.1764
"2013-02-10",0
"2013-02-11",20.9127
"2013-02-12",37.3507
"2013-02-13",40.9509
"2013-02-14",14.5255
"2013-02-15",11.2214
"2013-02-16",1.0136
"2013-02-17",14.2357
"2013-02-18",19.9012
"2013-02-19",6.346
"2013-02-20",0
"2013-02-21",0
"2013-02-22",0
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",0
"2013-03-01",0
"2013-03-02",0
"2013-03-03",18.3204
"2013-03-04",38.9561
"2013-03-05",0.3721
"2013-03-06",14.9421
"2013-03-07",5.3496
"2013-03-08",11.2604
"2013-03-09",16.4556
"2013-03-10",0.6344
"2013-03-11",1.0292
"2013-03-12",0
"2013-03-13",0.5791
"2013-03-14",8.6408
"2013-03-15",32.9646
"2013-03-16",8.5826
"2013-03-17",4.2566
"2013-03-18",6.2838
"2013-03-19",5.7298
"2013-03-20",0
"2013-03-21",1.9316
"2013-03-22",0.3111
"2013-03-23",12.2951
"2013-03-24",19.0217
"2013-03-25",19.9574
"2013-03-26",20.3234
"2013-03-27",17.288
"2013-03-28",11.2464
"2013-03-29",5.1714
"2013-03-30",1.3894
"2013-03-31",0.1642
"2013-04-01",0
"2013-04-02",1.6108
"2013-04-03",0.274
"2013-04-04",9.4793
"2013-04-05",0.8081
"2013-04-06",0
"2013-04-07",2.4123
"2013-04-08",0.2496
"2013-04-09",0.0912
"2013-04-10",1.8933
"2013-04-11",3.4314
"2013-04-12",13.8406
"2013-04-13",21.7442
"2013-04-14",16.9874
"2013-04-15",14.7437
"2013-04-16",0
"2013-04-17",0
"2013-04-18",0.3158
"2013-04-19",0
"2013-04-20",0
"2013-04-21",2.1428
"2013-04-22",9.1709
"2013-04-23",6.1229
"2013-04-24",12.1846
"2013-04-25",10.3388
"2013-04-26",6.8343
"2013-04-27",8.0717
"2013-04-28",7.2034
"2013-04-29",6.0441
"2013-04-30",2.2205
"2013-05-01",9.1134
"2013-05-02",6.2175
"2013-05-03",12.1879
"2013-05-04",7.806
"2013-05-05",9.7292
"2013-05-06",8.5441
"2013-05-07",1.5781
"2013-05-08",10.2343
"2013-05-09",1.1416
"2013-05-10",2.6637
"2013-05-11",19.6654
"2013-05-12",16.8163
"2013-05-13",25.5688
"2013-05-14",1.5555
"2013-05-15",6.8756
"2013-05-16",0
"2013-05-17",1.5911
"2013-05-18",2.1694
"2013-05-19",6.599
"2013-05-20",9.7559
"2013-05-21",4.1395
"2013-05-22",0
"2013-05-23",0
"2013-05-24",0
"2013-05-25",0
"2013-05-26",0
