,"(mm) Precipitation (CHIRPS) at Trincomalee, 2007-01-01 to 2025-12-31"
"2010-04-27",1.8709
"2010-04-28",1.8327
"2010-04-29",5.273
"2010-04-30",12.0329
"2010-05-01",0.2236
"2010-05-02",4.009
"2010-05-03",3.416
"2010-05-04",1.082
"2010-05-05",0.0314
"2010-05-06",8.2405
"2010-05-07",0.7578
"2010-05-08",9.0892
"2010-05-09",7.233
"2010-05-10",0.2383
"2010-05-11",0
"2010-05-12",0.8032
"2010-05-13",0.0001
"2010-05-14",2.954
"2010-05-15",4.7117
"2010-05-16",3.7283
"2010-05-17",8.8367
"2010-05-18",12.9723
"2010-05-19",3.713
"2010-05-20",0
"2010-05-21",0.2084
"2010-05-22",2.2407
"2010-05-23",0.3968
"2010-05-24",0
"2010-05-25",0.2782
"2010-05-26",0
"2010-05-27",0
"2010-05-28",0
"2010-05-29",0
"2010-05-30",0
"2010-05-31",0
"2010-06-01",0
"2010-06-02",0
"2010-06-03",0
"2010-06-04",0
"2010-06-05",1.9302
"2010-06-06",0.2368
"2010-06-07",0.3492
"2010-06-08",1.3928
"2010-06-09",0.6103
"2010-06-10",0.1074
"2010-06-11",0.0529
"2010-06-12",0
"2010-06-13",0
"2010-06-14",0
"2010-06-15",0
"2010-06-16",0.9611
"2010-06-17",0.0155
"2010-06-18",0.0162
"2010-06-19",0
"2010-06-20",0.244
"2010-06-21",0
"2010-06-22",0
"2010-06-23",0.0384
"2010-06-24",0.0466
"2010-06-25",0
"2010-06-26",0
"2010-06-27",0
"2010-06-28",0
"2010-06-29",0
"2010-06-30",0.0343
"2010-07-01",0
"2010-07-02",0.6219
"2010-07-03",0.3007
"2010-07-04",1.489
"2010-07-05",1.3086
"2010-07-06",8.6937
"2010-07-07",0.4355
"2010-07-08",0.0885
"2010-07-09",0
"2010-07-10",0
"2010-07-11",1.1293
"2010-07-12",0
"2010-07-13",0
"2010-07-14",2.838
"2010-07-15",0.0018
"2010-07-16",0.0596
"2010-07-17",0.9105
"2010-07-18",0.2574
"2010-07-19",8.2416
"2010-07-20",8.9802
"2010-07-21",1.3428
"2010-07-22",3.8738
"2010-07-23",1.5477
"2010-07-24",0.3192
"2010-07-25",0.4392
"2010-07-26",0
"2010-07-27",1.885
"2010-07-28",0.4408
"2010-07-29",0.2576
"2010-07-30",4.3046
"2010-07-31",0
"2010-08-01",0
"2010-08-02",7.129
"2010-08-03",2.7081
"2010-08-04",0.089
"2010-08-05",0
"2010-08-06",0
"2010-08-07",0
"2010-08-08",0
"2010-08-09",3.2191
"2010-08-10",0.5273
"2010-08-11",4.3059
"2010-08-12",0.744
"2010-08-13",6.5326
"2010-08-14",21.3696
"2010-08-15",2.8587
"2010-08-16",0.2456
"2010-08-17",0.8189
"2010-08-18",2.7895
"2010-08-19",14.4816
"2010-08-20",18.5533
"2010-08-21",10.2497
"2010-08-22",1.1858
"2010-08-23",3.4851
"2010-08-24",9.4328
"2010-08-25",3.0533
"2010-08-26",0.1194
"2010-08-27",1.496
"2010-08-28",0
"2010-08-29",12.2439
"2010-08-30",2.4575
"2010-08-31",0.2783
"2010-09-01",0
"2010-09-02",0.1945
"2010-09-03",9.0886
"2010-09-04",0
"2010-09-05",1.0623
"2010-09-06",1.0303
"2010-09-07",0
"2010-09-08",2.3785
"2010-09-09",6.1735
"2010-09-10",12.7713
"2010-09-11",9.0943
"2010-09-12",9.3464
"2010-09-13",8.2007
"2010-09-14",10.5803
"2010-09-15",0
"2010-09-16",0
"2010-09-17",8.6326
"2010-09-18",8.0331
"2010-09-19",10.9015
"2010-09-20",3.5084
"2010-09-21",6.4463
"2010-09-22",17.1257
"2010-09-23",26.1538
"2010-09-24",3.3582
"2010-09-25",12.2617
"2010-09-26",21.0248
"2010-09-27",4.8603
"2010-09-28",9.3626
"2010-09-29",18.2815
"2010-09-30",15.1891
"2010-10-01",2.624
"2010-10-02",11.7626
"2010-10-03",20.7675
"2010-10-04",2.3826
"2010-10-05",9.804
"2010-10-06",0
"2010-10-07",0
"2010-10-08",0
"2010-10-09",2.5829
"2010-10-10",16.0047
"2010-10-11",1.3168
"2010-10-12",2.1163
"2010-10-13",0
"2010-10-14",0.0326
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",5.4798
"2010-10-19",6.0478
"2010-10-20",6.8676
"2010-10-21",2.7917
"2010-10-22",0
"2010-10-23",0
"2010-10-24",0
"2010-10-25",0.5744
"2010-10-26",1.9628
"2010-10-27",15.5298
"2010-10-28",21.5305
"2010-10-29",4.0811
"2010-10-30",14.5269
"2010-10-31",7.9
"2010-11-01",3.2318
"2010-11-02",3.9175
"2010-11-03",4.3322
"2010-11-04",15.9123
"2010-11-05",33.563
"2010-11-06",33.1198
"2010-11-07",10.8861
"2010-11-08",0.2345
"2010-11-09",1.4019
"2010-11-10",1.2992
"2010-11-11",0.0052
"2010-11-12",1.0172
"2010-11-13",0
"2010-11-14",0.0405
"2010-11-15",0
"2010-11-16",3.8337
"2010-11-17",0
"2010-11-18",6.6773
"2010-11-19",40.1102
"2010-11-20",35.2502
"2010-11-21",14.4329
"2010-11-22",34.156
"2010-11-23",43.0685
"2010-11-24",28.8812
"2010-11-25",9.7663
"2010-11-26",33.3564
"2010-11-27",1.0575
"2010-11-28",12.9595
"2010-11-29",1.0915
"2010-11-30",62.8581
"2010-12-01",33.5951
"2010-12-02",29.5752
"2010-12-03",55.962
"2010-12-04",29.5694
"2010-12-05",37.7683
"2010-12-06",33.0652
"2010-12-07",9.6981
"2010-12-08",0
"2010-12-09",0.5558
"2010-12-10",0
"2010-12-11",7.3442
"2010-12-12",0.2224
"2010-12-13",0
"2010-12-14",0
"2010-12-15",0
"2010-12-16",0
"2010-12-17",0
"2010-12-18",0.4526
"2010-12-19",0
"2010-12-20",43.7377
"2010-12-21",20.1029
"2010-12-22",40.9753
"2010-12-23",36.9114
"2010-12-24",17.0353
"2010-12-25",48.4688
"2010-12-26",17.8365
"2010-12-27",16.7037
"2010-12-28",14.9424
"2010-12-29",20.8842
"2010-12-30",29.0245
"2010-12-31",13.4626
"2011-01-01",0.3272
"2011-01-02",20.6766
"2011-01-03",44.2479
"2011-01-04",18.1814
"2011-01-05",24.2652
"2011-01-06",10.3021
"2011-01-07",51.4166
"2011-01-08",25.4808
"2011-01-09",81.5811
"2011-01-10",62.8535
"2011-01-11",46.1945
"2011-01-12",72.8907
"2011-01-13",6.2737
"2011-01-14",7.3562
"2011-01-15",10.9042
"2011-01-16",1.2289
"2011-01-17",0
"2011-01-18",0
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",0
"2011-01-26",48.6559
"2011-01-27",0.0952
"2011-01-28",8.7054
"2011-01-29",10.4376
"2011-01-30",42.5468
"2011-01-31",41.7086
"2011-02-01",24.0381
"2011-02-02",32.684
"2011-02-03",39.6794
"2011-02-04",34.4622
"2011-02-05",11.2257
"2011-02-06",22.1186
"2011-02-07",66.2808
"2011-02-08",31.9955
"2011-02-09",0.044
"2011-02-10",0.6046
"2011-02-11",0
"2011-02-12",0.7061
"2011-02-13",0
"2011-02-14",0.0456
"2011-02-15",0
"2011-02-16",0
"2011-02-17",0
"2011-02-18",0
"2011-02-19",0
"2011-02-20",0
"2011-02-21",6.9622
"2011-02-22",0
"2011-02-23",0
"2011-02-24",0
"2011-02-25",0
"2011-02-26",1.2751
"2011-02-27",2.5391
"2011-02-28",0.0341
"2011-03-01",3.9381
"2011-03-02",1.7979
"2011-03-03",1.0324
"2011-03-04",0
"2011-03-05",0
"2011-03-06",0
"2011-03-07",0
"2011-03-08",0
"2011-03-09",0
"2011-03-10",0
"2011-03-11",0
"2011-03-12",0
"2011-03-13",0
"2011-03-14",0.7686
"2011-03-15",0.0681
"2011-03-16",0.0309
"2011-03-17",0
"2011-03-18",0
"2011-03-19",0
"2011-03-20",0.0011
"2011-03-21",0.0029
"2011-03-22",0
"2011-03-23",0
"2011-03-24",4.3785
"2011-03-25",0.0587
"2011-03-26",0
"2011-03-27",0
"2011-03-28",0
"2011-03-29",0
"2011-03-30",1.9081
"2011-03-31",0
"2011-04-01",0
"2011-04-02",0
"2011-04-03",0.0008
"2011-04-04",0
"2011-04-05",0
"2011-04-06",0
"2011-04-07",0
"2011-04-08",0.9488
"2011-04-09",6.063
"2011-04-10",0.2438
"2011-04-11",0.6723
"2011-04-12",4.4103
"2011-04-13",3.6186
"2011-04-14",6.9559
"2011-04-15",0.1458
"2011-04-16",10.1403
"2011-04-17",12.1949
"2011-04-18",11.4257
"2011-04-19",11.4628
"2011-04-20",7.2332
"2011-04-21",12.4425
"2011-04-22",12.0896
"2011-04-23",8.4924
"2011-04-24",17.4198
"2011-04-25",18.2649
"2011-04-26",7.8302
"2011-04-27",11.7743
"2011-04-28",5.1613
"2011-04-29",0.9777
"2011-04-30",13.6504
"2011-05-01",9.9538
"2011-05-02",0.5013
"2011-05-03",0.2478
"2011-05-04",2.6931
"2011-05-05",0.4005
"2011-05-06",0
"2011-05-07",0
"2011-05-08",0
"2011-05-09",0
"2011-05-10",0
"2011-05-11",0
"2011-05-12",0
"2011-05-13",0
"2011-05-14",0
"2011-05-15",0
"2011-05-16",0
"2011-05-17",1.9914
"2011-05-18",0.0009
"2011-05-19",0
"2011-05-20",0
"2011-05-21",0.7083
"2011-05-22",2.7866
"2011-05-23",2.5494
"2011-05-24",0.2677
"2011-05-25",0
"2011-05-26",0
"2011-05-27",2.0631
"2011-05-28",0
"2011-05-29",0
"2011-05-30",0
"2011-05-31",0
"2011-06-01",0
"2011-06-02",1.7067
"2011-06-03",0
"2011-06-04",0
"2011-06-05",0.2892
"2011-06-06",0
"2011-06-07",0.2029
"2011-06-08",0
"2011-06-09",0
"2011-06-10",0
"2011-06-11",0
"2011-06-12",0
"2011-06-13",0
"2011-06-14",0.1365
"2011-06-15",0
"2011-06-16",0
"2011-06-17",0
"2011-06-18",0
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0.0529
"2011-06-26",0
"2011-06-27",0
"2011-06-28",0
"2011-06-29",0.3142
"2011-06-30",0.0376
"2011-07-01",0.0383
"2011-07-02",0.7892
"2011-07-03",3.0822
"2011-07-04",0.3001
"2011-07-05",7.2642
"2011-07-06",0
"2011-07-07",0.1482
"2011-07-08",4.5722
"2011-07-09",4.1663
"2011-07-10",0.0019
"2011-07-11",0.0296
"2011-07-12",0.9266
"2011-07-13",0.5747
"2011-07-14",0
"2011-07-15",1.0216
"2011-07-16",0
"2011-07-17",0
"2011-07-18",0
"2011-07-19",0.9295
"2011-07-20",0
"2011-07-21",0
"2011-07-22",2.7845
"2011-07-23",0.6385
"2011-07-24",2.5303
"2011-07-25",9.1071
"2011-07-26",0
"2011-07-27",0
"2011-07-28",0.1
"2011-07-29",0.7456
"2011-07-30",1.193
"2011-07-31",0
"2011-08-01",0.0291
"2011-08-02",0
"2011-08-03",0
"2011-08-04",0
"2011-08-05",0.0386
"2011-08-06",0
"2011-08-07",0
"2011-08-08",0
"2011-08-09",0
"2011-08-10",0
"2011-08-11",0.0258
"2011-08-12",15.8508
"2011-08-13",10.6081
"2011-08-14",9.0468
"2011-08-15",3.317
"2011-08-16",7.1416
"2011-08-17",23.7734
"2011-08-18",4.2507
"2011-08-19",0.3657
"2011-08-20",0.279
"2011-08-21",0.5992
"2011-08-22",3.6361
"2011-08-23",0
"2011-08-24",0
"2011-08-25",0
"2011-08-26",1.3342
"2011-08-27",4.7899
"2011-08-28",0
"2011-08-29",0
"2011-08-30",0.5065
"2011-08-31",0.0109
"2011-09-01",0
"2011-09-02",0
"2011-09-03",0
"2011-09-04",0
"2011-09-05",0.0809
"2011-09-06",0
"2011-09-07",0
"2011-09-08",0.6342
"2011-09-09",0
"2011-09-10",6.5401
"2011-09-11",0.4179
"2011-09-12",17.9566
"2011-09-13",0
"2011-09-14",4.9173
"2011-09-15",0
"2011-09-16",0
"2011-09-17",0
"2011-09-18",0
"2011-09-19",0
"2011-09-20",0.05
"2011-09-21",1.0667
"2011-09-22",0.0072
"2011-09-23",0
"2011-09-24",0
"2011-09-25",0
"2011-09-26",0
"2011-09-27",0.2169
"2011-09-28",1.9078
"2011-09-29",3.9265
"2011-09-30",1.7819
"2011-10-01",10.7995
"2011-10-02",0
"2011-10-03",11.1213
"2011-10-04",18.8566
"2011-10-05",6.3821
"2011-10-06",11.2382
"2011-10-07",2.6319
"2011-10-08",4.4619
"2011-10-09",3.5404
"2011-10-10",6.9482
"2011-10-11",13.6036
"2011-10-12",11.9378
"2011-10-13",14.2638
"2011-10-14",10.8423
"2011-10-15",15.1979
"2011-10-16",9.3836
"2011-10-17",21.8291
"2011-10-18",12.9512
"2011-10-19",17.1018
"2011-10-20",6.6227
"2011-10-21",0
"2011-10-22",7.9915
"2011-10-23",10.2239
"2011-10-24",35.0761
"2011-10-25",37.5218
"2011-10-26",16.7517
"2011-10-27",9.8915
"2011-10-28",44.8965
"2011-10-29",31.4689
"2011-10-30",4.2786
"2011-10-31",12.7607
"2011-11-01",19.9597
"2011-11-02",9.7139
"2011-11-03",1.8306
"2011-11-04",1.5548
"2011-11-05",1.4904
"2011-11-06",0.0888
"2011-11-07",6.4998
"2011-11-08",0
"2011-11-09",0
"2011-11-10",10.7165
"2011-11-11",0.0347
"2011-11-12",0
"2011-11-13",0
"2011-11-14",0
"2011-11-15",0
"2011-11-16",8.3906
"2011-11-17",0
"2011-11-18",5.7513
"2011-11-19",47.6507
"2011-11-20",60.4704
"2011-11-21",42.828
"2011-11-22",2.3428
"2011-11-23",54.695
"2011-11-24",67.8873
"2011-11-25",51.9462
"2011-11-26",19.743
"2011-11-27",0
"2011-11-28",7.0681
"2011-11-29",0
"2011-11-30",24.38
"2011-12-01",8.9106
"2011-12-02",0
"2011-12-03",0
"2011-12-04",0
"2011-12-05",0
"2011-12-06",0
"2011-12-07",0
"2011-12-08",0
"2011-12-09",0
"2011-12-10",3.061
"2011-12-11",22.0443
"2011-12-12",31.0302
"2011-12-13",33.3789
"2011-12-14",0
"2011-12-15",15.8477
"2011-12-16",0
"2011-12-17",0.8365
"2011-12-18",30.8144
"2011-12-19",55.3322
"2011-12-20",8.8219
"2011-12-21",0.6378
"2011-12-22",9.626
"2011-12-23",55.6062
"2011-12-24",10.4406
"2011-12-25",0.0033
"2011-12-26",0.0271
"2011-12-27",12.0553
"2011-12-28",20.9405
"2011-12-29",3.1675
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",0.2777
"2012-01-05",0.022
"2012-01-06",6.5363
"2012-01-07",0.7824
"2012-01-08",0.0859
"2012-01-09",0
"2012-01-10",0
"2012-01-11",0
"2012-01-12",0
"2012-01-13",0
"2012-01-14",0
"2012-01-15",0
"2012-01-16",0
"2012-01-17",0
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",0
"2012-01-22",0.3123
"2012-01-23",17.4759
"2012-01-24",4.3227
"2012-01-25",0
"2012-01-26",0
"2012-01-27",0.2096
"2012-01-28",0
"2012-01-29",0
"2012-01-30",0
"2012-01-31",0
"2012-02-01",0
"2012-02-02",0
"2012-02-03",0
"2012-02-04",0
"2012-02-05",20.5625
"2012-02-06",12.2182
"2012-02-07",16.1641
"2012-02-08",9.3818
"2012-02-09",13.025
"2012-02-10",0
"2012-02-11",0
"2012-02-12",0
"2012-02-13",0
"2012-02-14",5.1961
"2012-02-15",9.5044
"2012-02-16",0.1964
"2012-02-17",0
"2012-02-18",0
"2012-02-19",0
"2012-02-20",0
"2012-02-21",0
"2012-02-22",2.494
"2012-02-23",0.6439
"2012-02-24",0
"2012-02-25",0
"2012-02-26",0
"2012-02-27",0
"2012-02-28",0.2873
"2012-02-29",0
"2012-03-01",0
"2012-03-02",0
"2012-03-03",0
"2012-03-04",0.1619
"2012-03-05",0.2622
"2012-03-06",0
"2012-03-07",0.087
"2012-03-08",0
"2012-03-09",0
"2012-03-10",0
"2012-03-11",3.0503
"2012-03-12",0
"2012-03-13",0
"2012-03-14",0
"2012-03-15",0
"2012-03-16",0
"2012-03-17",0
"2012-03-18",0
"2012-03-19",0
"2012-03-20",0
"2012-03-21",0.0868
"2012-03-22",0
"2012-03-23",0
"2012-03-24",0
"2012-03-25",0
"2012-03-26",0
"2012-03-27",2.76
"2012-03-28",13.1439
"2012-03-29",8.4376
"2012-03-30",0
"2012-03-31",4.4422
"2012-04-01",3.8499
"2012-04-02",1.3716
"2012-04-03",2.5801
"2012-04-04",1.8391
"2012-04-05",0.6765
"2012-04-06",2.7688
"2012-04-07",3.4629
"2012-04-08",6.8438
"2012-04-09",8.4161
"2012-04-10",14.1828
"2012-04-11",3.3974
"2012-04-12",5.4778
"2012-04-13",1.1823
"2012-04-14",9.2469
"2012-04-15",4.939
"2012-04-16",4.763
"2012-04-17",4.6704
"2012-04-18",0
"2012-04-19",4.7745
"2012-04-20",0.5188
"2012-04-21",1.8056
"2012-04-22",7.5707
"2012-04-23",6.0506
"2012-04-24",3.8305
"2012-04-25",1.0576
"2012-04-26",2.2718
"2012-04-27",0
"2012-04-28",0
"2012-04-29",3.668
"2012-04-30",2.2636
"2012-05-01",0
"2012-05-02",0
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0.0018
"2012-05-06",0
"2012-05-07",8.2872
"2012-05-08",0.2851
"2012-05-09",0.1304
"2012-05-10",0
"2012-05-11",0.0225
"2012-05-12",0
"2012-05-13",0
"2012-05-14",0
"2012-05-15",0
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0
"2012-05-19",0
"2012-05-20",0
"2012-05-21",0
"2012-05-22",0
"2012-05-23",0
"2012-05-24",0.0507
"2012-05-25",0.5676
"2012-05-26",0.5489
"2012-05-27",0.0153
"2012-05-28",0
"2012-05-29",0
"2012-05-30",0.0422
"2012-05-31",0
"2012-06-01",0
"2012-06-02",0
"2012-06-03",0
"2012-06-04",0
"2012-06-05",0
"2012-06-06",0.2674
"2012-06-07",0.0182
"2012-06-08",0
"2012-06-09",0.237
"2012-06-10",0.0108
"2012-06-11",0.0913
"2012-06-12",0.0722
"2012-06-13",0
"2012-06-14",0
"2012-06-15",0
"2012-06-16",0
"2012-06-17",0
"2012-06-18",0.8408
"2012-06-19",0
"2012-06-20",0.0028
"2012-06-21",0.6583
"2012-06-22",0
"2012-06-23",0
"2012-06-24",0
"2012-06-25",0.1697
"2012-06-26",0.0009
"2012-06-27",1.4537
"2012-06-28",0
"2012-06-29",0
"2012-06-30",0.0904
"2012-07-01",0.8211
"2012-07-02",0.0134
"2012-07-03",0
"2012-07-04",0
"2012-07-05",0
"2012-07-06",0
"2012-07-07",0
"2012-07-08",1.6164
"2012-07-09",0
"2012-07-10",2.497
"2012-07-11",0
"2012-07-12",3.942
"2012-07-13",6.9805
"2012-07-14",8.4878
"2012-07-15",9.3589
"2012-07-16",5.018
"2012-07-17",0.2005
"2012-07-18",0.8797
"2012-07-19",0.0816
"2012-07-20",0
"2012-07-21",0.0158
"2012-07-22",0
"2012-07-23",0
"2012-07-24",0
"2012-07-25",0
"2012-07-26",0
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0
"2012-07-30",0
"2012-07-31",0
"2012-08-01",0.1858
"2012-08-02",0.601
"2012-08-03",1.6498
"2012-08-04",3.7803
"2012-08-05",0
"2012-08-06",0.8442
"2012-08-07",0.001
"2012-08-08",0
"2012-08-09",0
"2012-08-10",0.6075
"2012-08-11",0
"2012-08-12",0
"2012-08-13",1.178
"2012-08-14",0
"2012-08-15",0.3972
"2012-08-16",0.2451
"2012-08-17",2.4713
"2012-08-18",0
"2012-08-19",0
"2012-08-20",0
"2012-08-21",0.2
"2012-08-22",0
"2012-08-23",0
"2012-08-24",0
"2012-08-25",0
"2012-08-26",0.0255
"2012-08-27",0
"2012-08-28",0
"2012-08-29",0
"2012-08-30",0.2702
"2012-08-31",0
"2012-09-01",0
"2012-09-02",0
"2012-09-03",7.6836
"2012-09-04",6.4744
"2012-09-05",0
"2012-09-06",0
"2012-09-07",9.8406
"2012-09-08",15.6988
"2012-09-09",2.1404
"2012-09-10",0
"2012-09-11",11.9726
"2012-09-12",0
"2012-09-13",0
"2012-09-14",0
"2012-09-15",0
"2012-09-16",2.9266
"2012-09-17",2.4422
"2012-09-18",8.6252
"2012-09-19",0
"2012-09-20",3.9225
"2012-09-21",2.1811
"2012-09-22",8.2606
"2012-09-23",1.536
"2012-09-24",5.2637
"2012-09-25",15.7196
"2012-09-26",10.7689
"2012-09-27",20.7251
"2012-09-28",2.1086
"2012-09-29",0.9751
"2012-09-30",0.4142
"2012-10-01",0
"2012-10-02",0
"2012-10-03",0
"2012-10-04",0
"2012-10-05",0
"2012-10-06",0
"2012-10-07",6.5342
"2012-10-08",13.2115
"2012-10-09",15.4226
"2012-10-10",15.1358
"2012-10-11",7.4803
"2012-10-12",11.7542
"2012-10-13",39.0017
"2012-10-14",14.0818
"2012-10-15",15.6297
"2012-10-16",13.8441
"2012-10-17",17.5736
"2012-10-18",5.4526
"2012-10-19",21.3175
"2012-10-20",6.752
"2012-10-21",0
"2012-10-22",18.821
"2012-10-23",22.451
"2012-10-24",9.8873
"2012-10-25",1.2835
"2012-10-26",0.1142
"2012-10-27",3.0968
"2012-10-28",40.7081
"2012-10-29",60.6287
"2012-10-30",60.6287
"2012-10-31",27.9349
"2012-11-01",11.4122
"2012-11-02",0
"2012-11-03",0.0569
"2012-11-04",0
"2012-11-05",3.9309
"2012-11-06",0
"2012-11-07",3.0046
"2012-11-08",0
"2012-11-09",0
"2012-11-10",5.8722
"2012-11-11",24.8136
"2012-11-12",4.3567
"2012-11-13",4.7266
"2012-11-14",0.526
"2012-11-15",44.7709
"2012-11-16",22.4104
"2012-11-17",0
"2012-11-18",0
"2012-11-19",0
"2012-11-20",0
"2012-11-21",0
"2012-11-22",0
"2012-11-23",0
"2012-11-24",5.9096
"2012-11-25",48.3618
"2012-11-26",33.9184
"2012-11-27",9.898
"2012-11-28",0
"2012-11-29",1.064
"2012-11-30",0.3861
"2012-12-01",0
"2012-12-02",0
"2012-12-03",1.3659
"2012-12-04",0
"2012-12-05",0.71
"2012-12-06",12.7926
"2012-12-07",0.8639
"2012-12-08",0
"2012-12-09",1.83
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0
"2012-12-13",0
"2012-12-14",0
"2012-12-15",45.4397
"2012-12-16",43.0034
"2012-12-17",59.4482
"2012-12-18",63.0257
"2012-12-19",41.4336
"2012-12-20",33.8468
"2012-12-21",71.5303
"2012-12-22",152.3992
"2012-12-23",38.8074
"2012-12-24",32.8789
"2012-12-25",0.1722
"2012-12-26",6.7625
"2012-12-27",13.1133
"2012-12-28",0.5855
"2012-12-29",0
"2012-12-30",0
"2012-12-31",0
"2013-01-01",10.6488
"2013-01-02",7.325
"2013-01-03",47.6334
"2013-01-04",11.0984
"2013-01-05",18.7504
"2013-01-06",29.1422
"2013-01-07",59.539
"2013-01-08",24.2934
"2013-01-09",35.8746
"2013-01-10",24.6112
"2013-01-11",0
"2013-01-12",0
"2013-01-13",1.8518
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",0
"2013-01-21",0
"2013-01-22",0
"2013-01-23",0.914
"2013-01-24",30.2499
"2013-01-25",18.7401
"2013-01-26",0
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",53.6041
"2013-02-05",37.6683
"2013-02-06",3.2018
"2013-02-07",0
"2013-02-08",1.4545
"2013-02-09",0
"2013-02-10",0
"2013-02-11",28.9688
"2013-02-12",36.7174
"2013-02-13",18.0418
"2013-02-14",5.5053
"2013-02-15",2.2362
"2013-02-16",0.2483
"2013-02-17",0.6533
"2013-02-18",0.4009
"2013-02-19",0
"2013-02-20",0
"2013-02-21",0
"2013-02-22",0
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",0
"2013-03-01",0
"2013-03-02",0
"2013-03-03",6.632
"2013-03-04",49.3261
"2013-03-05",20.8886
"2013-03-06",0.131
"2013-03-07",0
"2013-03-08",2.7713
"2013-03-09",1.2305
"2013-03-10",0
"2013-03-11",0
"2013-03-12",0
"2013-03-13",0
"2013-03-14",6.6346
"2013-03-15",9.7248
"2013-03-16",0.0116
"2013-03-17",0
"2013-03-18",0
"2013-03-19",0
"2013-03-20",0
"2013-03-21",0
"2013-03-22",2.1151
"2013-03-23",7.2093
"2013-03-24",15.6473
"2013-03-25",10.7693
"2013-03-26",9.9331
"2013-03-27",1.2428
"2013-03-28",4.265
"2013-03-29",0
"2013-03-30",0
"2013-03-31",0
"2013-04-01",0
"2013-04-02",0.1035
"2013-04-03",1.3347
"2013-04-04",0.1767
"2013-04-05",0.926
"2013-04-06",1.2391
"2013-04-07",0
"2013-04-08",0
"2013-04-09",0
"2013-04-10",0.9143
"2013-04-11",0
"2013-04-12",0.0074
"2013-04-13",3.1753
"2013-04-14",0.7351
"2013-04-15",4.4925
"2013-04-16",0
"2013-04-17",0
"2013-04-18",0
"2013-04-19",0
"2013-04-20",0.1606
"2013-04-21",0.7833
"2013-04-22",1.1468
"2013-04-23",1.7532
"2013-04-24",1.3134
"2013-04-25",2.7411
"2013-04-26",0.4963
"2013-04-27",0.4236
"2013-04-28",0.5181
"2013-04-29",2.2811
"2013-04-30",0.296
"2013-05-01",4.0149
"2013-05-02",5.9373
"2013-05-03",4.1319
"2013-05-04",2.0838
"2013-05-05",7.8948
"2013-05-06",5.1387
"2013-05-07",0
"2013-05-08",5.2111
"2013-05-09",0
"2013-05-10",1.2762
"2013-05-11",4.4186
"2013-05-12",22.424
"2013-05-13",21.2861
"2013-05-14",0
"2013-05-15",0
"2013-05-16",0
"2013-05-17",0
"2013-05-18",0
"2013-05-19",0
"2013-05-20",0.8068
"2013-05-21",0
"2013-05-22",0
"2013-05-23",0
"2013-05-24",0
"2013-05-25",0
"2013-05-26",0
"2013-05-27",0
"2013-05-28",0
"2013-05-29",0
"2013-05-30",0
"2013-05-31",5.5109
"2013-06-01",0.4262
"2013-06-02",0
"2013-06-03",0
"2013-06-04",0.1922
"2013-06-05",0.9059
"2013-06-06",0.6859
"2013-06-07",0.0199
"2013-06-08",0
"2013-06-09",0
"2013-06-10",0
"2013-06-11",0
"2013-06-12",0
"2013-06-13",0.1077
"2013-06-14",0
"2013-06-15",0
"2013-06-16",0
"2013-06-17",0.0867
"2013-06-18",0.008
"2013-06-19",0
"2013-06-20",0
"2013-06-21",0
"2013-06-22",0.856
"2013-06-23",0.4878
"2013-06-24",0.0308
"2013-06-25",0
"2013-06-26",0
"2013-06-27",0.2274
"2013-06-28",1.7648
"2013-06-29",0.7346
"2013-06-30",0.6757
"2013-07-01",0.2278
"2013-07-02",0.0954
"2013-07-03",0.8219
"2013-07-04",0
"2013-07-05",6.8122
"2013-07-06",6.814
"2013-07-07",5.2598
"2013-07-08",0.1742
"2013-07-09",0.1253
"2013-07-10",5.4557
"2013-07-11",2.5585
"2013-07-12",0
"2013-07-13",0
"2013-07-14",0
"2013-07-15",5.3243
"2013-07-16",3.0354
"2013-07-17",1.1693
"2013-07-18",3.689
"2013-07-19",0.6218
"2013-07-20",3.1547
"2013-07-21",1.7234
"2013-07-22",0.7235
"2013-07-23",0.0065
"2013-07-24",2.6834
"2013-07-25",0.3211
"2013-07-26",0
"2013-07-27",0
"2013-07-28",0.0551
"2013-07-29",0
"2013-07-30",0
"2013-07-31",0
"2013-08-01",0
