,"(mm) Precipitation (CHIRPS) at Vavuniya, 2007-01-01 to 2025-12-31"
"2010-05-05",0.9138
"2010-05-06",7.0803
"2010-05-07",4.0697
"2010-05-08",10.1018
"2010-05-09",7.2322
"2010-05-10",2.8339
"2010-05-11",0.2804
"2010-05-12",1.2754
"2010-05-13",0.1784
"2010-05-14",4.8572
"2010-05-15",2.4015
"2010-05-16",4.5649
"2010-05-17",8.957
"2010-05-18",20.3777
"2010-05-19",5.0916
"2010-05-20",0.0253
"2010-05-21",0.6756
"2010-05-22",0.1644
"2010-05-23",0
"2010-05-24",0
"2010-05-25",0
"2010-05-26",0
"2010-05-27",0
"2010-05-28",0
"2010-05-29",0
"2010-05-30",0
"2010-05-31",0
"2010-06-01",0
"2010-06-02",0.0181
"2010-06-03",0.0099
"2010-06-04",0
"2010-06-05",2.5053
"2010-06-06",0.0705
"2010-06-07",0.0434
"2010-06-08",0.3879
"2010-06-09",0.1255
"2010-06-10",0.1559
"2010-06-11",0
"2010-06-12",0
"2010-06-13",0
"2010-06-14",0
"2010-06-15",0
"2010-06-16",0
"2010-06-17",0
"2010-06-18",0
"2010-06-19",0
"2010-06-20",0
"2010-06-21",0
"2010-06-22",0.0003
"2010-06-23",0.0021
"2010-06-24",0
"2010-06-25",0
"2010-06-26",0
"2010-06-27",0
"2010-06-28",0
"2010-06-29",0
"2010-06-30",0.0099
"2010-07-01",0
"2010-07-02",0
"2010-07-03",0
"2010-07-04",1.5993
"2010-07-05",0.6369
"2010-07-06",8.5286
"2010-07-07",4.4594
"2010-07-08",1.2312
"2010-07-09",0.2362
"2010-07-10",0.8588
"2010-07-11",2.2445
"2010-07-12",0
"2010-07-13",0
"2010-07-14",1.3045
"2010-07-15",0
"2010-07-16",0
"2010-07-17",0
"2010-07-18",1.2524
"2010-07-19",6.2657
"2010-07-20",6.4708
"2010-07-21",2.8474
"2010-07-22",2.1906
"2010-07-23",1.5079
"2010-07-24",0.196
"2010-07-25",1.961
"2010-07-26",0
"2010-07-27",0.032
"2010-07-28",1.108
"2010-07-29",1.6055
"2010-07-30",3.4382
"2010-07-31",0
"2010-08-01",0
"2010-08-02",2.0721
"2010-08-03",1.4145
"2010-08-04",0.0035
"2010-08-05",0
"2010-08-06",0
"2010-08-07",0
"2010-08-08",0
"2010-08-09",1.0381
"2010-08-10",0
"2010-08-11",1.8877
"2010-08-12",1.624
"2010-08-13",4.3024
"2010-08-14",11.0866
"2010-08-15",0
"2010-08-16",0
"2010-08-17",3.6872
"2010-08-18",0.2144
"2010-08-19",5.0805
"2010-08-20",12.3698
"2010-08-21",9.9821
"2010-08-22",4.7356
"2010-08-23",3.6984
"2010-08-24",8.4705
"2010-08-25",2.6854
"2010-08-26",0
"2010-08-27",0.2868
"2010-08-28",0
"2010-08-29",7.3338
"2010-08-30",0.7498
"2010-08-31",0
"2010-09-01",0
"2010-09-02",0
"2010-09-03",10.0832
"2010-09-04",0
"2010-09-05",2.8075
"2010-09-06",0.0027
"2010-09-07",0
"2010-09-08",0.4367
"2010-09-09",7.6426
"2010-09-10",12.052
"2010-09-11",7.2691
"2010-09-12",18.8679
"2010-09-13",11.0827
"2010-09-14",10.4019
"2010-09-15",0
"2010-09-16",0
"2010-09-17",10.96
"2010-09-18",5.3482
"2010-09-19",15.5117
"2010-09-20",20.2053
"2010-09-21",14.4242
"2010-09-22",21.2183
"2010-09-23",16.1631
"2010-09-24",0.5009
"2010-09-25",12.476
"2010-09-26",31.7692
"2010-09-27",13.1708
"2010-09-28",14.2522
"2010-09-29",27.479
"2010-09-30",23.6985
"2010-10-01",4.1072
"2010-10-02",15.3711
"2010-10-03",19.7842
"2010-10-04",3.7833
"2010-10-05",14.6578
"2010-10-06",0.1902
"2010-10-07",0
"2010-10-08",0
"2010-10-09",4.2123
"2010-10-10",4.8373
"2010-10-11",0.4803
"2010-10-12",0.0265
"2010-10-13",0
"2010-10-14",0.1276
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",4.1339
"2010-10-19",5.1585
"2010-10-20",6.1468
"2010-10-21",0
"2010-10-22",0
"2010-10-23",0
"2010-10-24",0
"2010-10-25",0
"2010-10-26",2.2115
"2010-10-27",9.5064
"2010-10-28",21.3995
"2010-10-29",4.8692
"2010-10-30",23.6632
"2010-10-31",12.5992
"2010-11-01",4.0326
"2010-11-02",0.312
"2010-11-03",0.6704
"2010-11-04",12.1054
"2010-11-05",31.134
"2010-11-06",30.2324
"2010-11-07",11.3372
"2010-11-08",3.485
"2010-11-09",3.2937
"2010-11-10",0.9808
"2010-11-11",0
"2010-11-12",0.1352
"2010-11-13",0
"2010-11-14",0
"2010-11-15",0
"2010-11-16",9.9531
"2010-11-17",7.1652
"2010-11-18",1.5966
"2010-11-19",43.9411
"2010-11-20",20.6591
"2010-11-21",25.6638
"2010-11-22",29.2066
"2010-11-23",49.2782
"2010-11-24",53.3704
"2010-11-25",26.719
"2010-11-26",31.4138
"2010-11-27",11.4698
"2010-11-28",18.5749
"2010-11-29",0.9701
"2010-11-30",61.3407
"2010-12-01",27.5135
"2010-12-02",20.7333
"2010-12-03",42.1906
"2010-12-04",16.0674
"2010-12-05",56.4069
"2010-12-06",28.2278
"2010-12-07",14.4769
"2010-12-08",0.0393
"2010-12-09",1.3181
"2010-12-10",0
"2010-12-11",0
"2010-12-12",2.1996
"2010-12-13",0
"2010-12-14",0.2231
"2010-12-15",0
"2010-12-16",0
"2010-12-17",0
"2010-12-18",0
"2010-12-19",0
"2010-12-20",21.7477
"2010-12-21",28.9394
"2010-12-22",12.7244
"2010-12-23",22.672
"2010-12-24",17.4475
"2010-12-25",27.0723
"2010-12-26",14.3771
"2010-12-27",14.642
"2010-12-28",16.352
"2010-12-29",11.0546
"2010-12-30",20.924
"2010-12-31",11.6851
"2011-01-01",0.6996
"2011-01-02",3.673
"2011-01-03",10.9611
"2011-01-04",7.1518
"2011-01-05",26.1492
"2011-01-06",3.0318
"2011-01-07",6.1287
"2011-01-08",14.2419
"2011-01-09",61.0696
"2011-01-10",38.3971
"2011-01-11",20.553
"2011-01-12",33.6967
"2011-01-13",19.9075
"2011-01-14",4.32
"2011-01-15",2.1152
"2011-01-16",0.0936
"2011-01-17",0
"2011-01-18",0
"2011-01-19",0
"2011-01-20",0
"2011-01-21",0
"2011-01-22",0
"2011-01-23",0
"2011-01-24",0
"2011-01-25",0
"2011-01-26",3.3511
"2011-01-27",0
"2011-01-28",15.2934
"2011-01-29",11.1569
"2011-01-30",25.5854
"2011-01-31",32.0131
"2011-02-01",18.0359
"2011-02-02",18.9841
"2011-02-03",28.5082
"2011-02-04",17.5435
"2011-02-05",3.1359
"2011-02-06",7.4597
"2011-02-07",66.9686
"2011-02-08",8.8867
"2011-02-09",0
"2011-02-10",0.0191
"2011-02-11",0
"2011-02-12",0
"2011-02-13",0
"2011-02-14",0
"2011-02-15",0
"2011-02-16",0
"2011-02-17",0
"2011-02-18",0
"2011-02-19",0
"2011-02-20",0.0555
"2011-02-21",23.5541
"2011-02-22",0
"2011-02-23",0
"2011-02-24",0
"2011-02-25",0
"2011-02-26",2.6979
"2011-02-27",1.3155
"2011-02-28",0.9095
"2011-03-01",0
"2011-03-02",0.0082
"2011-03-03",0.0092
"2011-03-04",0
"2011-03-05",0
"2011-03-06",0
"2011-03-07",0
"2011-03-08",0
"2011-03-09",0
"2011-03-10",0
"2011-03-11",0
"2011-03-12",0
"2011-03-13",0
"2011-03-14",0.1425
"2011-03-15",0
"2011-03-16",0
"2011-03-17",0
"2011-03-18",0
"2011-03-19",0
"2011-03-20",4.6129
"2011-03-21",6.5585
"2011-03-22",1.3546
"2011-03-23",0.0488
"2011-03-24",1.5671
"2011-03-25",2.2361
"2011-03-26",1.5218
"2011-03-27",0
"2011-03-28",0
"2011-03-29",0
"2011-03-30",6.009
"2011-03-31",0
"2011-04-01",0.037
"2011-04-02",0
"2011-04-03",0.003
"2011-04-04",0
"2011-04-05",0
"2011-04-06",0
"2011-04-07",0
"2011-04-08",4.2211
"2011-04-09",5.2449
"2011-04-10",10.3262
"2011-04-11",7.6639
"2011-04-12",10.7826
"2011-04-13",8.369
"2011-04-14",5.3922
"2011-04-15",2.6329
"2011-04-16",16.3764
"2011-04-17",23.2064
"2011-04-18",16.8911
"2011-04-19",16.736
"2011-04-20",22.085
"2011-04-21",25.6819
"2011-04-22",28.5503
"2011-04-23",14.1371
"2011-04-24",25.4089
"2011-04-25",44.3226
"2011-04-26",7.6004
"2011-04-27",13.6439
"2011-04-28",14.8675
"2011-04-29",0.2996
"2011-04-30",11.48
"2011-05-01",10.8745
"2011-05-02",0.292
"2011-05-03",0
"2011-05-04",0
"2011-05-05",0
"2011-05-06",0
"2011-05-07",0
"2011-05-08",0
"2011-05-09",0
"2011-05-10",0
"2011-05-11",0
"2011-05-12",0
"2011-05-13",0
"2011-05-14",0
"2011-05-15",0
"2011-05-16",0.9361
"2011-05-17",3.4442
"2011-05-18",1.24
"2011-05-19",0
"2011-05-20",0
"2011-05-21",0
"2011-05-22",0
"2011-05-23",0
"2011-05-24",0.7722
"2011-05-25",0.8388
"2011-05-26",1.4436
"2011-05-27",0.0283
"2011-05-28",0
"2011-05-29",0
"2011-05-30",0
"2011-05-31",0
"2011-06-01",0
"2011-06-02",0.9684
"2011-06-03",0
"2011-06-04",0
"2011-06-05",0.294
"2011-06-06",0.0074
"2011-06-07",0.0657
"2011-06-08",0
"2011-06-09",0
"2011-06-10",0
"2011-06-11",0
"2011-06-12",0
"2011-06-13",0
"2011-06-14",0
"2011-06-15",0
"2011-06-16",0
"2011-06-17",0
"2011-06-18",0
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0.0008
"2011-06-26",0
"2011-06-27",0
"2011-06-28",0
"2011-06-29",0.5185
"2011-06-30",0.2573
"2011-07-01",0
"2011-07-02",0.0243
"2011-07-03",3.2011
"2011-07-04",0.2815
"2011-07-05",5.5889
"2011-07-06",0.0624
"2011-07-07",0.3019
"2011-07-08",2.6439
"2011-07-09",5.6227
"2011-07-10",2.4034
"2011-07-11",0.0635
"2011-07-12",0.2256
"2011-07-13",0.0154
"2011-07-14",0
"2011-07-15",0.0019
"2011-07-16",0
"2011-07-17",0
"2011-07-18",0
"2011-07-19",0.0897
"2011-07-20",0
"2011-07-21",0
"2011-07-22",2.9755
"2011-07-23",0.0598
"2011-07-24",4.0837
"2011-07-25",6.519
"2011-07-26",0.0889
"2011-07-27",0
"2011-07-28",0
"2011-07-29",0.0027
"2011-07-30",0.121
"2011-07-31",0
"2011-08-01",0
"2011-08-02",0
"2011-08-03",1.0964
"2011-08-04",0
"2011-08-05",0
"2011-08-06",0
"2011-08-07",0
"2011-08-08",0
"2011-08-09",0
"2011-08-10",0.1186
"2011-08-11",0
"2011-08-12",8.7074
"2011-08-13",1.9538
"2011-08-14",10.1262
"2011-08-15",6.7314
"2011-08-16",5.2735
"2011-08-17",7.6329
"2011-08-18",0.0464
"2011-08-19",2.1242
"2011-08-20",3.7033
"2011-08-21",4.7799
"2011-08-22",2.5754
"2011-08-23",0
"2011-08-24",0
"2011-08-25",0
"2011-08-26",3.1714
"2011-08-27",3.5967
"2011-08-28",0
"2011-08-29",0
"2011-08-30",0.0849
"2011-08-31",0
"2011-09-01",0
"2011-09-02",0
"2011-09-03",0.0869
"2011-09-04",0
"2011-09-05",0.0603
"2011-09-06",0
"2011-09-07",0
"2011-09-08",1.7206
"2011-09-09",0
"2011-09-10",6.7285
"2011-09-11",2.4445
"2011-09-12",7.3828
"2011-09-13",0.0437
"2011-09-14",8.0766
"2011-09-15",0
"2011-09-16",0
"2011-09-17",0
"2011-09-18",0
"2011-09-19",0
"2011-09-20",0.5109
"2011-09-21",1.5573
"2011-09-22",0
"2011-09-23",0
"2011-09-24",0
"2011-09-25",0
"2011-09-26",0
"2011-09-27",2.9013
"2011-09-28",5.2422
"2011-09-29",2.2522
"2011-09-30",5.522
"2011-10-01",18.0404
"2011-10-02",0
"2011-10-03",11.4907
"2011-10-04",21
"2011-10-05",9.3963
"2011-10-06",1.3847
"2011-10-07",6.3943
"2011-10-08",5.2456
"2011-10-09",6.5799
"2011-10-10",8.5721
"2011-10-11",15.201
"2011-10-12",6.8333
"2011-10-13",15.1289
"2011-10-14",10.4365
"2011-10-15",16.4237
"2011-10-16",6.5416
"2011-10-17",12.3552
"2011-10-18",10.4092
"2011-10-19",12.6534
"2011-10-20",5.4573
"2011-10-21",2.7761
"2011-10-22",3.4334
"2011-10-23",12.5611
"2011-10-24",23.1205
"2011-10-25",44.6144
"2011-10-26",16.0829
"2011-10-27",7.9868
"2011-10-28",31.3675
"2011-10-29",15.1767
"2011-10-30",12.0831
"2011-10-31",16.5063
"2011-11-01",41.7975
"2011-11-02",1.1644
"2011-11-03",17.9725
"2011-11-04",3.6279
"2011-11-05",4.8026
"2011-11-06",2.4597
"2011-11-07",2.5187
"2011-11-08",0
"2011-11-09",0
"2011-11-10",8.0422
"2011-11-11",0.3445
"2011-11-12",0.5819
"2011-11-13",0
"2011-11-14",0
"2011-11-15",0
"2011-11-16",29.5967
"2011-11-17",0.558
"2011-11-18",15.4712
"2011-11-19",52.2723
"2011-11-20",28.2944
"2011-11-21",32.4668
"2011-11-22",0
"2011-11-23",53.8282
"2011-11-24",73.9173
"2011-11-25",58.9837
"2011-11-26",15.5198
"2011-11-27",7.5836
"2011-11-28",9.7024
"2011-11-29",0
"2011-11-30",30.4401
"2011-12-01",11.198
"2011-12-02",0
"2011-12-03",0
"2011-12-04",0
"2011-12-05",0
"2011-12-06",0
"2011-12-07",0
"2011-12-08",0
"2011-12-09",0
"2011-12-10",0.0224
"2011-12-11",14.114
"2011-12-12",37.8774
"2011-12-13",27.9737
"2011-12-14",0
"2011-12-15",15.3206
"2011-12-16",0
"2011-12-17",4.7799
"2011-12-18",26.7905
"2011-12-19",36.7281
"2011-12-20",17.3099
"2011-12-21",0.2984
"2011-12-22",6.8668
"2011-12-23",32.7729
"2011-12-24",0
"2011-12-25",0
"2011-12-26",0
"2011-12-27",12.3988
"2011-12-28",20.2893
"2011-12-29",6.9346
"2011-12-30",0
"2011-12-31",0
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",0.4032
"2012-01-05",0.0836
"2012-01-06",0
"2012-01-07",3.8536
"2012-01-08",0.6523
"2012-01-09",0
"2012-01-10",0
"2012-01-11",0
"2012-01-12",0
"2012-01-13",0
"2012-01-14",0
"2012-01-15",0
"2012-01-16",0
"2012-01-17",0
"2012-01-18",0
"2012-01-19",0
"2012-01-20",0
"2012-01-21",0
"2012-01-22",0.7616
"2012-01-23",20.5942
"2012-01-24",4.3604
"2012-01-25",0
"2012-01-26",0
"2012-01-27",0
"2012-01-28",0
"2012-01-29",0
"2012-01-30",0
"2012-01-31",0
"2012-02-01",0
"2012-02-02",0
"2012-02-03",0
"2012-02-04",0
"2012-02-05",0.0361
"2012-02-06",6.3225
"2012-02-07",10.5893
"2012-02-08",5.4362
"2012-02-09",15.8333
"2012-02-10",0
"2012-02-11",0
"2012-02-12",0
"2012-02-13",0
"2012-02-14",0.1867
"2012-02-15",0.974
"2012-02-16",0.0072
"2012-02-17",0
"2012-02-18",0
"2012-02-19",0
"2012-02-20",0
"2012-02-21",0
"2012-02-22",0.969
"2012-02-23",4.46
"2012-02-24",0
"2012-02-25",0
"2012-02-26",0
"2012-02-27",0
"2012-02-28",0.8421
"2012-02-29",0
"2012-03-01",0
"2012-03-02",0
"2012-03-03",0
"2012-03-04",0
"2012-03-05",0.252
"2012-03-06",0
"2012-03-07",0.3002
"2012-03-08",0
"2012-03-09",0
"2012-03-10",0
"2012-03-11",1.5124
"2012-03-12",0
"2012-03-13",0
"2012-03-14",0.9578
"2012-03-15",0.0511
"2012-03-16",0
"2012-03-17",0
"2012-03-18",0
"2012-03-19",0
"2012-03-20",0
"2012-03-21",0.3721
"2012-03-22",0.1771
"2012-03-23",0
"2012-03-24",0
"2012-03-25",0
"2012-03-26",0
"2012-03-27",12.4394
"2012-03-28",12.9098
"2012-03-29",10.9851
"2012-03-30",0
"2012-03-31",2.5507
"2012-04-01",0
"2012-04-02",2.6203
"2012-04-03",0
"2012-04-04",0.0469
"2012-04-05",0
"2012-04-06",1.7343
"2012-04-07",2.4485
"2012-04-08",8.9214
"2012-04-09",12.7329
"2012-04-10",19.7044
"2012-04-11",5.5899
"2012-04-12",6.6037
"2012-04-13",0.0046
"2012-04-14",13.2295
"2012-04-15",10.6081
"2012-04-16",9.1021
"2012-04-17",1.1922
"2012-04-18",0.0432
"2012-04-19",9.6853
"2012-04-20",0.1772
"2012-04-21",0.0541
"2012-04-22",13.5966
"2012-04-23",8.2046
"2012-04-24",9.1649
"2012-04-25",0
"2012-04-26",0.4432
"2012-04-27",0
"2012-04-28",0
"2012-04-29",6.854
"2012-04-30",4.4292
"2012-05-01",0
"2012-05-02",0.0095
"2012-05-03",0
"2012-05-04",0
"2012-05-05",0
"2012-05-06",0.0029
"2012-05-07",6.182
"2012-05-08",3.3244
"2012-05-09",0
"2012-05-10",0.2659
"2012-05-11",0.1207
"2012-05-12",0
"2012-05-13",0
"2012-05-14",0
"2012-05-15",0
"2012-05-16",0
"2012-05-17",0
"2012-05-18",0
"2012-05-19",0
"2012-05-20",0
"2012-05-21",0
"2012-05-22",0
"2012-05-23",0
"2012-05-24",0.027
"2012-05-25",0.0807
"2012-05-26",0.0808
"2012-05-27",0
"2012-05-28",0.1127
"2012-05-29",0
"2012-05-30",0
"2012-05-31",0
"2012-06-01",0
"2012-06-02",0
"2012-06-03",0
"2012-06-04",0
"2012-06-05",0
"2012-06-06",0.0228
"2012-06-07",0
"2012-06-08",0
"2012-06-09",0.0083
"2012-06-10",0.159
"2012-06-11",0
"2012-06-12",0
"2012-06-13",0
"2012-06-14",0
"2012-06-15",0
"2012-06-16",0
"2012-06-17",0
"2012-06-18",0
"2012-06-19",0
"2012-06-20",0
"2012-06-21",0.012
"2012-06-22",0.0003
"2012-06-23",0
"2012-06-24",0
"2012-06-25",0
"2012-06-26",0.0321
"2012-06-27",0.8569
"2012-06-28",0
"2012-06-29",0
"2012-06-30",0.046
"2012-07-01",0.6747
"2012-07-02",0
"2012-07-03",0
"2012-07-04",0
"2012-07-05",0
"2012-07-06",0.0138
"2012-07-07",0
"2012-07-08",2.5439
"2012-07-09",0
"2012-07-10",5.8448
"2012-07-11",0
"2012-07-12",0.6077
"2012-07-13",4.1438
"2012-07-14",6.6193
"2012-07-15",8.6822
"2012-07-16",4.1827
"2012-07-17",0.3857
"2012-07-18",1.4843
"2012-07-19",0.0082
"2012-07-20",0
"2012-07-21",0.0023
"2012-07-22",0
"2012-07-23",0
"2012-07-24",0
"2012-07-25",0
"2012-07-26",0
"2012-07-27",0
"2012-07-28",0
"2012-07-29",0.0046
"2012-07-30",0
"2012-07-31",0
"2012-08-01",0.0819
"2012-08-02",0.0035
"2012-08-03",3.2917
"2012-08-04",3.8913
"2012-08-05",0
"2012-08-06",0.0997
"2012-08-07",0
"2012-08-08",0
"2012-08-09",0
"2012-08-10",0
"2012-08-11",0
"2012-08-12",0
"2012-08-13",0
"2012-08-14",0
"2012-08-15",0.8556
"2012-08-16",0.1227
"2012-08-17",0
"2012-08-18",0
"2012-08-19",0
"2012-08-20",0
"2012-08-21",0
"2012-08-22",0
"2012-08-23",0
"2012-08-24",0
"2012-08-25",0
"2012-08-26",0
"2012-08-27",0
"2012-08-28",0.0319
"2012-08-29",0.0976
"2012-08-30",0.1353
"2012-08-31",0
"2012-09-01",0
"2012-09-02",0
"2012-09-03",9.2633
"2012-09-04",3.1016
"2012-09-05",0
"2012-09-06",0
"2012-09-07",11.8501
"2012-09-08",29.4358
"2012-09-09",1.2563
"2012-09-10",0
"2012-09-11",7.9275
"2012-09-12",0
"2012-09-13",0
"2012-09-14",0
"2012-09-15",0.3035
"2012-09-16",1.0108
"2012-09-17",7.6607
"2012-09-18",16.088
"2012-09-19",0
"2012-09-20",2.7814
"2012-09-21",9.6639
"2012-09-22",12.6738
"2012-09-23",2.5229
"2012-09-24",2.6835
"2012-09-25",23.3729
"2012-09-26",11.3133
"2012-09-27",30.717
"2012-09-28",0
"2012-09-29",0.6757
"2012-09-30",0
"2012-10-01",0
"2012-10-02",0
"2012-10-03",0
"2012-10-04",0
"2012-10-05",0
"2012-10-06",2.0603
"2012-10-07",9.6333
"2012-10-08",12.8992
"2012-10-09",16.5011
"2012-10-10",18.4713
"2012-10-11",20.0675
"2012-10-12",23.8915
"2012-10-13",29.452
"2012-10-14",22.2456
"2012-10-15",4.9828
"2012-10-16",14.5462
"2012-10-17",17.596
"2012-10-18",4.8011
"2012-10-19",20.7402
"2012-10-20",28.5248
"2012-10-21",0.065
"2012-10-22",19.6129
"2012-10-23",32.9108
"2012-10-24",13.1309
"2012-10-25",0
"2012-10-26",1.9911
"2012-10-27",7.7768
"2012-10-28",36.6567
"2012-10-29",57.4056
"2012-10-30",60.3452
"2012-10-31",39.444
"2012-11-01",15.8094
"2012-11-02",0
"2012-11-03",0
"2012-11-04",1.323
"2012-11-05",3.3951
"2012-11-06",4.9174
"2012-11-07",5.4918
"2012-11-08",12.3831
"2012-11-09",3.955
"2012-11-10",0
"2012-11-11",15.8172
"2012-11-12",0.5892
"2012-11-13",2.0307
"2012-11-14",0.7802
"2012-11-15",19.2896
"2012-11-16",10.9192
"2012-11-17",0
"2012-11-18",0
"2012-11-19",0
"2012-11-20",0
"2012-11-21",0
"2012-11-22",2.4222
"2012-11-23",16.8692
"2012-11-24",9.9905
"2012-11-25",40.4126
"2012-11-26",47.0017
"2012-11-27",7.5989
"2012-11-28",0
"2012-11-29",0
"2012-11-30",0.3754
"2012-12-01",0
"2012-12-02",0
"2012-12-03",23.9462
"2012-12-04",0
"2012-12-05",0
"2012-12-06",16.4456
"2012-12-07",0
"2012-12-08",0
"2012-12-09",7.7667
"2012-12-10",0
"2012-12-11",0
"2012-12-12",0
"2012-12-13",0
"2012-12-14",0
"2012-12-15",22.0803
"2012-12-16",25.5607
"2012-12-17",36.022
"2012-12-18",31.9394
"2012-12-19",38.5046
"2012-12-20",18.5365
"2012-12-21",37.2652
"2012-12-22",113.3761
"2012-12-23",24.6866
"2012-12-24",7.5842
"2012-12-25",9.0005
"2012-12-26",20.7946
"2012-12-27",104.1359
"2012-12-28",1.1307
"2012-12-29",0
"2012-12-30",0
"2012-12-31",0
"2013-01-01",4.7193
"2013-01-02",0.2717
"2013-01-03",28.4745
"2013-01-04",5.3261
"2013-01-05",0.5661
"2013-01-06",6.9741
"2013-01-07",43.3403
"2013-01-08",54.2224
"2013-01-09",19.5967
"2013-01-10",15.8308
"2013-01-11",0
"2013-01-12",0
"2013-01-13",0.8788
"2013-01-14",0
"2013-01-15",0
"2013-01-16",0
"2013-01-17",0
"2013-01-18",0
"2013-01-19",0
"2013-01-20",0
"2013-01-21",0
"2013-01-22",0
"2013-01-23",0
"2013-01-24",0.1074
"2013-01-25",0
"2013-01-26",0
"2013-01-27",0
"2013-01-28",0
"2013-01-29",0
"2013-01-30",0
"2013-01-31",0
"2013-02-01",0
"2013-02-02",0
"2013-02-03",0
"2013-02-04",40.0136
"2013-02-05",23.5827
"2013-02-06",0.0302
"2013-02-07",0
"2013-02-08",0.7837
"2013-02-09",2.1802
"2013-02-10",0
"2013-02-11",33.2266
"2013-02-12",16.149
"2013-02-13",20.059
"2013-02-14",9.8589
"2013-02-15",0.13
"2013-02-16",10.3808
"2013-02-17",6.7735
"2013-02-18",6.7861
"2013-02-19",0.9457
"2013-02-20",0
"2013-02-21",0
"2013-02-22",0
"2013-02-23",0
"2013-02-24",0
"2013-02-25",0
"2013-02-26",0
"2013-02-27",0
"2013-02-28",0
"2013-03-01",0
"2013-03-02",0
"2013-03-03",4.7201
"2013-03-04",44.1759
"2013-03-05",21.5119
"2013-03-06",3.154
"2013-03-07",0.9598
"2013-03-08",10.621
"2013-03-09",4.7789
"2013-03-10",0
"2013-03-11",0
"2013-03-12",0
"2013-03-13",0
"2013-03-14",2.2515
"2013-03-15",7.1359
"2013-03-16",0
"2013-03-17",0
"2013-03-18",0
"2013-03-19",0
"2013-03-20",0
"2013-03-21",0
"2013-03-22",8.8596
"2013-03-23",1.1763
"2013-03-24",15.4672
"2013-03-25",5.0633
"2013-03-26",2.7197
"2013-03-27",1.7708
"2013-03-28",5.4406
"2013-03-29",10.0937
"2013-03-30",0.1675
"2013-03-31",0
"2013-04-01",0.1394
"2013-04-02",1.6245
"2013-04-03",1.0548
"2013-04-04",0
"2013-04-05",0.5429
"2013-04-06",4.7525
"2013-04-07",0
"2013-04-08",0
"2013-04-09",0.0118
"2013-04-10",1.3958
"2013-04-11",0.1099
"2013-04-12",0.8332
"2013-04-13",11.7008
"2013-04-14",6.179
"2013-04-15",4.9309
"2013-04-16",0.1793
"2013-04-17",0
"2013-04-18",0
"2013-04-19",0
"2013-04-20",0
"2013-04-21",0.8561
"2013-04-22",3.118
"2013-04-23",4.1559
"2013-04-24",2.0792
"2013-04-25",4.0425
"2013-04-26",4.0558
"2013-04-27",3.5437
"2013-04-28",0
"2013-04-29",2.3351
"2013-04-30",2.6298
"2013-05-01",9.7585
"2013-05-02",5.8888
"2013-05-03",1.8454
"2013-05-04",4.4799
"2013-05-05",10.4354
"2013-05-06",5.3687
"2013-05-07",0.0289
"2013-05-08",0.5823
"2013-05-09",0
"2013-05-10",1.0256
"2013-05-11",6.4657
"2013-05-12",16.298
"2013-05-13",18.8075
"2013-05-14",0
"2013-05-15",0.0285
"2013-05-16",0
"2013-05-17",0
"2013-05-18",0
"2013-05-19",0
"2013-05-20",0.5884
"2013-05-21",0
"2013-05-22",0
"2013-05-23",0
"2013-05-24",0
"2013-05-25",0
"2013-05-26",0
"2013-05-27",0
"2013-05-28",0
"2013-05-29",0
"2013-05-30",0.0896
"2013-05-31",0.8895
"2013-06-01",0.0523
"2013-06-02",0
"2013-06-03",0
"2013-06-04",0.1323
"2013-06-05",1.161
"2013-06-06",0.0507
"2013-06-07",0.0039
"2013-06-08",0.0022
"2013-06-09",0
"2013-06-10",0
"2013-06-11",0
"2013-06-12",0
"2013-06-13",0
"2013-06-14",0
"2013-06-15",0
"2013-06-16",0
"2013-06-17",0
"2013-06-18",0
"2013-06-19",0
"2013-06-20",0
"2013-06-21",0
"2013-06-22",0.0077
"2013-06-23",0.0113
"2013-06-24",0.0034
"2013-06-25",0
"2013-06-26",0
"2013-06-27",0.3066
"2013-06-28",0.7488
"2013-06-29",0.3177
"2013-06-30",0.0313
"2013-07-01",0
"2013-07-02",0
"2013-07-03",0.1199
"2013-07-04",0
"2013-07-05",3.0511
"2013-07-06",3.9823
"2013-07-07",5.1551
"2013-07-08",0.4698
"2013-07-09",0.9987
"2013-07-10",3.9391
"2013-07-11",6.1757
"2013-07-12",0
"2013-07-13",0
"2013-07-14",0
"2013-07-15",1.7149
"2013-07-16",2.9229
"2013-07-17",0.1182
"2013-07-18",2.3754
"2013-07-19",0
"2013-07-20",0.9388
"2013-07-21",0.6785
"2013-07-22",0.4062
"2013-07-23",1.1402
"2013-07-24",1.0281
"2013-07-25",0.0273
"2013-07-26",0
"2013-07-27",0
"2013-07-28",0.7274
"2013-07-29",0.0446
"2013-07-30",0
"2013-07-31",0
"2013-08-01",0
"2013-08-02",0
"2013-08-03",1.7441
"2013-08-04",10.0252
"2013-08-05",0.4248
"2013-08-06",0
"2013-08-07",0
"2013-08-08",0.0481
"2013-08-09",4.505
"2013-08-10",13.7355
"2013-08-11",2.3103
"2013-08-12",1.8328
"2013-08-13",3.2062
"2013-08-14",5.1278
"2013-08-15",0
"2013-08-16",0
"2013-08-17",0
